tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	174	parent	174	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s3_B	glacierkeep	3	B	US	Titanium collected (tiebreak)	1000	parent	1000	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
nordkap_s1_A	nordkap	1	A	OPP	Core destroyed	293	parent	293	25	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s1_A	nordkap	1	A	OPP	Core destroyed	293	parent	293	25	23	8	12,19	4	6.5	8	2	2	2	68	1	76	23	2	1
nordkap_s1_B	nordkap	1	B	US	Core destroyed	280	parent	280	6	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s1_B	nordkap	1	B	US	Core destroyed	280	parent	280	6	335	216	12,6	4	6.5	8	2	2	2	64	0	-1	4	0	1
nordkap_s2_A	nordkap	2	A	OPP	Core destroyed	245	parent	245	3	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s2_A	nordkap	2	A	OPP	Core destroyed	245	parent	245	3	24	8	11,20	2	4.5	8	2	2	2	3	1	11	1	0	1
nordkap_s2_B	nordkap	2	B	US	Core destroyed	336	parent	336	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s2_B	nordkap	2	B	US	Core destroyed	336	parent	336	2	94	72	12,8	5	8.5	8	1	1	2	264	0	-1	0	0	0
nordkap_s3_A	nordkap	3	A	OPP	Core destroyed	651	parent	651	56	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s3_A	nordkap	3	A	OPP	Core destroyed	651	parent	651	56	80	52	12,19	4	6.5	8	2	2	2	599	0	-1	54	28	1
nordkap_s3_B	nordkap	3	B	OPP	Core destroyed	278	parent	278	106	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s3_B	nordkap	3	B	OPP	Core destroyed	278	parent	278	106	74	28	8,8	2	4.5	8	2	2	2	250	0	-1	104	45	1
atoll_s28_A	atoll	28	A	US	Core destroyed	558	parent	558	73	19	5	12,4	2	8.5	8	1	1	2	4	1	9	2	0	1
atoll_s28_A	atoll	28	A	US	Core destroyed	558	parent	558	73	34	10	12,3	1	6.5	8	2	2	2	548	0	-1	10	0	1
atoll_s28_A	atoll	28	A	US	Core destroyed	558	parent	558	73	400	386	9,0	17	36.5	8	0	0	2	41	1	427	0	0	0
atoll_s28_B	atoll	28	B	US	Core destroyed	196	parent	196	30	23	6	3,12	1	6.5	8	2	2	2	190	0	-1	28	1	1
atoll_s29_A	atoll	29	A	US	Core destroyed	188	parent	188	38	27	10	13,4	2	4.5	8	2	2	2	2	1	12	1	0	1
atoll_s29_A	atoll	29	A	US	Core destroyed	188	parent	188	38	34	13	12,2	1	6.5	8	2	2	2	175	0	-1	35	0	1
atoll_s29_B	atoll	29	B	OPP	Core destroyed	843	parent	843	49	28	7	5,13	5	8.5	8	1	1	2	4	1	11	2	0	1
atoll_s29_B	atoll	29	B	OPP	Core destroyed	843	parent	843	49	39	12	5,14	4	6.5	8	2	2	2	3	1	15	1	0	1
atoll_s29_B	atoll	29	B	OPP	Core destroyed	843	parent	843	49	47	18	2,12	1	6.5	8	2	2	2	825	0	-1	43	0	1
atoll_s30_A	atoll	30	A	US	Core destroyed	158	parent	158	15	21	6	13,4	2	4.5	8	2	2	2	3	1	9	0	0	0
atoll_s30_A	atoll	30	A	US	Core destroyed	158	parent	158	15	39	12	12,2	1	6.5	8	2	2	2	146	0	-1	13	0	1
atoll_s30_B	atoll	30	B	OPP	Core destroyed	642	parent	642	42	21	5	5,13	5	8.5	8	1	1	2	14	1	19	6	3	1
atoll_s30_B	atoll	30	B	OPP	Core destroyed	642	parent	642	42	50	20	5,13	5	8.5	8	1	1	2	24	1	44	5	0	1
atoll_s30_B	atoll	30	B	OPP	Core destroyed	642	parent	642	42	642	541	7,10	25	40.5	8	0	0	2	1	1	542	1	0	1
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	240	parent	240	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	355	163	7,20	25	40.5	8	0	0	2	1	1	164	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	528	260	6,22	10	18.5	8	0	0	2	1	1	261	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	627	322	6,21	13	24.5	8	0	0	2	1	1	323	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	685	355	6,21	13	24.5	8	0	0	2	1	1	356	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	754	388	6,22	10	18.5	8	0	0	2	1	1	389	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	1025	549	6,25	9	12.5	8	0	0	2	1	1	550	1	0	1
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	712	84	1172	659	6,25	9	12.5	8	0	0	2	1	1	660	1	0	1
drakkarfjord_s29_A	drakkarfjord	29	A	OPP	Core destroyed	684	parent	684	239	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s29_A	drakkarfjord	29	A	OPP	Core destroyed	684	parent	684	239	1020	308	23,7	8	18.5	8	0	0	2	1	1	309	1	0	1
drakkarfjord_s29_B	drakkarfjord	29	B	US	Titanium collected (tiebreak)	1000	parent	1000	7	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s29_B	drakkarfjord	29	B	US	Titanium collected (tiebreak)	1000	parent	1000	7	177	296	2,22	1	6.5	8	2	2	2	704	0	-1	2	1	1
drakkarfjord_s30_A	drakkarfjord	30	A	OPP	Core destroyed	676	parent	676	171	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s30_A	drakkarfjord	30	A	OPP	Core destroyed	676	parent	676	171	93	39	27,7	4	6.5	8	2	2	2	637	0	-1	134	40	1
drakkarfjord_s30_B	drakkarfjord	30	B	US	Titanium collected (tiebreak)	1000	parent	1000	46	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s30_B	drakkarfjord	30	B	US	Titanium collected (tiebreak)	1000	parent	1000	46	111	47	4,22	2	8.5	8	1	1	2	953	0	-1	41	0	1
glacierkeep_s28_A	glacierkeep	28	A	US	Core destroyed	329	parent	329	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s28_B	glacierkeep	28	B	US	Core destroyed	209	parent	209	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s29_A	glacierkeep	29	A	US	Core destroyed	174	parent	174	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	253	parent	253	7	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	253	parent	253	7	125	154	14,0	1	6.5	8	2	2	2	99	0	-1	3	3	1
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	377	parent	377	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s30_B	glacierkeep	30	B	US	Titanium collected (tiebreak)	1000	parent	1000	4	14	7	17,6	13	18.5	8	0	0	2	1	1	8	1	0	1
nordkap_s28_A	nordkap	28	A	US	Titanium collected (tiebreak)	1000	parent	1000	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s28_B	nordkap	28	B	OPP	Core destroyed	658	parent	658	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s29_A	nordkap	29	A	OPP	Core destroyed	311	parent	311	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s29_B	nordkap	29	B	OPP	Core destroyed	188	parent	188	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s30_A	nordkap	30	A	US	Core destroyed	521	parent	521	3	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s30_A	nordkap	30	A	US	Core destroyed	521	parent	521	3	155	300	12,17	5	8.5	8	1	1	2	221	0	-1	0	0	0
nordkap_s30_B	nordkap	30	B	US	Core destroyed	272	parent	272	44	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s30_B	nordkap	30	B	US	Core destroyed	272	parent	272	44	162	68	12,8	5	8.5	8	1	1	2	204	0	-1	22	0	1
nordkap_s30_B	nordkap	30	B	US	Core destroyed	272	parent	272	44	197	88	7,6	1	6.5	8	2	2	2	184	0	-1	19	0	1
atoll_s31_A	atoll	31	A	US	Core destroyed	335	parent	335	33	26	8	15,5	4	6.5	8	2	2	2	327	0	-1	31	3	1
atoll_s31_B	atoll	31	B	OPP	Core destroyed	149	parent	149	18	24	6	3,12	1	6.5	8	2	2	2	3	1	9	1	1	1
atoll_s31_B	atoll	31	B	OPP	Core destroyed	149	parent	149	18	40	13	5,14	4	6.5	8	2	2	2	136	0	-1	12	0	1
atoll_s31_B	atoll	31	B	OPP	Core destroyed	149	parent	149	18	241	148	5,11	8	18.5	8	0	0	2	1	0	-1	0	0	0
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	660	18	28	7	12,4	2	8.5	8	1	1	2	8	1	15	2	0	1
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	660	18	52	18	14,0	1	6.5	8	2	2	2	24	1	42	0	0	0
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	660	18	338	152	15,5	4	6.5	8	2	2	2	508	0	-1	8	0	1
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	660	18	784	539	10,5	13	26.5	8	0	0	2	5	1	544	2	0	1
atoll_s32_B	atoll	32	B	OPP	Core destroyed	214	parent	214	2	108	54	0,15	1	6.5	8	2	2	2	35	1	89	0	0	0
atoll_s33_A	atoll	33	A	OPP	Core destroyed	359	parent	359	25	53	18	16,1	2	4.5	8	2	2	2	341	0	-1	2	0	1
atoll_s33_A	atoll	33	A	OPP	Core destroyed	359	parent	359	25	156	85	15,6	9	12.5	8	0	0	2	1	1	86	1	0	1
atoll_s33_A	atoll	33	A	OPP	Core destroyed	359	parent	359	25	314	193	15,6	9	12.5	8	0	0	2	1	1	194	1	0	1
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	407	parent	407	21	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	407	parent	407	21	618	288	28,7	5	8.5	8	1	1	2	119	0	-1	8	0	1
drakkarfjord_s31_B	drakkarfjord	31	B	US	Core destroyed	129	parent	129	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s32_A	drakkarfjord	32	A	OPP	Core destroyed	270	parent	270	52	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s32_A	drakkarfjord	32	A	OPP	Core destroyed	270	parent	270	52	93	39	27,7	4	6.5	8	2	2	2	231	0	-1	47	3	1
drakkarfjord_s32_B	drakkarfjord	32	B	US	Titanium collected (tiebreak)	1000	parent	1000	33	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s32_B	drakkarfjord	32	B	US	Titanium collected (tiebreak)	1000	parent	1000	33	110	47	2,22	1	6.5	8	2	2	2	953	0	-1	28	0	1
drakkarfjord_s33_A	drakkarfjord	33	A	US	Core destroyed	132	parent	132	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s33_B	drakkarfjord	33	B	US	Core destroyed	129	parent	129	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
glacierkeep_s31_A	glacierkeep	31	A	OPP	Core destroyed	521	parent	521	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s31_B	glacierkeep	31	B	US	Titanium collected (tiebreak)	1000	parent	1000	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s32_A	glacierkeep	32	A	US	Core destroyed	173	parent	173	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s32_B	glacierkeep	32	B	US	Core destroyed	865	parent	865	5	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s32_B	glacierkeep	32	B	US	Core destroyed	865	parent	865	5	169	762	14,0	1	6.5	8	2	2	2	103	0	-1	1	0	1
glacierkeep_s33_A	glacierkeep	33	A	US	Core destroyed	217	parent	217	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s33_B	glacierkeep	33	B	US	Core destroyed	189	parent	189	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
nordkap_s31_A	nordkap	31	A	US	Core destroyed	184	parent	184	3	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s31_A	nordkap	31	A	US	Core destroyed	184	parent	184	3	73	75	7,18	1	6.5	8	2	2	2	109	0	-1	1	0	1
nordkap_s31_B	nordkap	31	B	US	Core destroyed	300	parent	300	65	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s31_B	nordkap	31	B	US	Core destroyed	300	parent	300	65	76	32	11,9	5	8.5	8	1	1	2	268	0	-1	63	0	1
nordkap_s32_A	nordkap	32	A	US	Core destroyed	269	parent	269	16	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s32_A	nordkap	32	A	US	Core destroyed	269	parent	269	16	19	6	10,21	4	6.5	8	2	2	2	263	0	-1	14	1	1
nordkap_s32_B	nordkap	32	B	US	Core destroyed	725	parent	725	3	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s32_B	nordkap	32	B	US	Core destroyed	725	parent	725	3	237	428	12,6	4	6.5	8	2	2	2	3	1	431	0	0	0
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	889	115	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	889	115	23	8	12,19	4	6.5	8	2	2	2	318	1	326	88	3	1
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	889	115	115	352	8,16	2	8.5	8	1	1	2	537	0	-1	17	0	1
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	889	115	120	407	12,20	5	8.5	8	1	1	2	117	1	524	8	0	1
nordkap_s33_B	nordkap	33	B	US	Core destroyed	482	parent	482	23	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s33_B	nordkap	33	B	US	Core destroyed	482	parent	482	23	123	52	12,8	5	8.5	8	1	1	2	430	0	-1	19	0	1
atoll_s34_A	atoll	34	A	OPP	Core destroyed	233	parent	233	8	19	5	12,4	2	8.5	8	1	1	2	14	1	19	4	0	1
atoll_s34_A	atoll	34	A	OPP	Core destroyed	233	parent	233	8	221	96	12,7	17	26.5	8	0	0	2	1	1	97	1	0	1
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	616	27	21	5	5,13	5	8.5	8	1	1	2	14	1	19	6	3	1
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	616	27	50	20	5,13	5	8.5	8	1	1	2	24	1	44	5	0	1
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	616	27	261	176	7,10	25	40.5	8	0	0	2	1	1	177	1	0	1
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	616	27	287	199	8,13	26	32.5	8	0	0	2	1	1	200	1	0	1
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	616	27	676	475	8,13	26	32.5	8	0	0	2	1	1	476	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	20	6	13,4	2	4.5	8	2	2	2	4	1	10	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	50	20	13,0	2	8.5	8	1	1	2	642	0	-1	2	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	206	162	13,7	17	22.5	8	0	0	2	1	1	163	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	228	203	15,5	4	6.5	8	2	2	2	82	1	285	3	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	317	312	12,7	17	26.5	8	0	0	2	1	1	313	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	459	468	13,7	17	22.5	8	0	0	2	1	1	469	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	497	508	13,7	17	22.5	8	0	0	2	1	1	509	1	0	1
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	662	34	588	604	13,7	17	22.5	8	0	0	2	1	1	605	1	0	1
atoll_s35_B	atoll	35	B	OPP	Core destroyed	275	parent	275	11	24	7	5,15	4	6.5	8	2	2	2	9	1	16	4	1	1
atoll_s35_B	atoll	35	B	OPP	Core destroyed	275	parent	275	11	43	17	5,15	4	6.5	8	2	2	2	3	1	20	1	0	1
atoll_s35_B	atoll	35	B	OPP	Core destroyed	275	parent	275	11	225	142	0,14	1	6.5	8	2	2	2	133	0	-1	0	0	0
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	32	9	14,5	4	6.5	8	2	2	2	648	0	-1	134	7	1
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	313	198	11,5	8	18.5	8	0	0	2	1	1	199	1	0	1
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	413	256	11,3	4	12.5	8	0	0	2	1	1	257	1	0	1
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	449	277	13,7	17	22.5	8	0	0	2	1	1	278	1	0	1
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	950	593	15,8	25	30.5	8	0	0	2	1	1	594	1	0	1
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	657	156	964	601	15,8	25	30.5	8	0	0	2	1	1	602	1	0	1
atoll_s36_B	atoll	36	B	OPP	Core destroyed	175	parent	175	8	50	18	3,17	4	6.5	8	2	2	2	35	1	53	6	0	1
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	379	16	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	379	16	624	255	22,9	25	40.5	8	0	0	2	1	1	256	1	0	1
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	379	16	644	269	24,4	1	6.5	8	2	2	2	110	0	-1	5	0	1
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	379	16	686	306	23,7	8	18.5	8	0	0	2	1	1	307	1	0	1
drakkarfjord_s34_B	drakkarfjord	34	B	OPP	Core destroyed	902	parent	902	707	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s34_B	drakkarfjord	34	B	OPP	Core destroyed	902	parent	902	707	743	227	7,21	20	32.5	8	0	0	2	1	1	228	1	0	1
drakkarfjord_s35_A	drakkarfjord	35	A	OPP	Core destroyed	290	parent	290	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s35_B	drakkarfjord	35	B	US	Core destroyed	161	parent	161	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s36_A	drakkarfjord	36	A	OPP	Core destroyed	588	parent	588	232	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s36_B	drakkarfjord	36	B	US	Core destroyed	150	parent	150	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
glacierkeep_s34_A	glacierkeep	34	A	US	Core destroyed	152	parent	152	4	14	8	17,23	8	18.5	8	0	0	2	1	1	9	1	0	1
glacierkeep_s34_B	glacierkeep	34	B	US	Core destroyed	509	parent	509	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s35_A	glacierkeep	35	A	US	Core destroyed	241	parent	241	4	14	8	15,23	4	12.5	8	0	0	2	1	1	9	1	0	1
glacierkeep_s35_B	glacierkeep	35	B	OPP	Core destroyed	437	parent	437	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s36_A	glacierkeep	36	A	US	Core destroyed	163	parent	163	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s36_B	glacierkeep	36	B	US	Core destroyed	509	parent	509	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
nordkap_s34_A	nordkap	34	A	OPP	Core destroyed	192	parent	192	5	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s34_A	nordkap	34	A	OPP	Core destroyed	192	parent	192	5	31	10	12,19	4	6.5	8	2	2	2	182	0	-1	3	1	1
nordkap_s34_B	nordkap	34	B	US	Core destroyed	541	parent	541	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	469	parent	469	84	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	469	parent	469	84	24	8	11,20	2	4.5	8	2	2	2	3	1	11	1	0	1
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	469	parent	469	84	122	83	12,19	4	6.5	8	2	2	2	386	0	-1	48	12	1
nordkap_s35_B	nordkap	35	B	US	Core destroyed	403	parent	403	5	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s35_B	nordkap	35	B	US	Core destroyed	403	parent	403	5	241	335	9,10	9	12.5	8	0	0	2	1	1	336	1	0	1
nordkap_s36_A	nordkap	36	A	OPP	Core destroyed	334	parent	334	3	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s36_A	nordkap	36	A	OPP	Core destroyed	334	parent	334	3	27	8	11,20	2	4.5	8	2	2	2	2	1	10	1	0	1
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	178	parent	178	20	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	178	parent	178	20	74	28	8,8	2	4.5	8	2	2	2	69	1	97	18	4	1
yulerune_s34_B	yulerune	34	B	US	Core destroyed	236	parent	236	1	352	204	7,10	16	20.5	8	0	0	2	32	0	-1	1	0	1
yulerune_s34_B	yulerune	34	B	US	Core destroyed	236	parent	236	1	365	216	3,3	25	42.5	8	0	0	2	20	0	-1	0	0	0
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	17	5	12,4	2	8.5	8	1	1	2	4	1	9	1	1	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	46	19	13,0	2	8.5	8	1	1	2	512	0	-1	10	3	1
