tag	map	seed	seat	ours	cond	turn	arm	arrive	sent	kill	last	window	ge1	ge2	nobody	two_body_share	bought_sentinel	ge1_fp	ge2_fp	nobody_fp
yulerune_s3_A	yulerune	3	A	OPP	Titanium collected (tiebreak)	1000	parent	31	-1	-1	999	969	968	959	0.001	0.9897	0	969	965	0.0
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	194	parent	31	110	-1	193	79	77	67	0.0253	0.8481	1	79	75	0.0
atoll_s28_A	atoll	28	A	US	Core destroyed	558	parent	7	224	557	557	217	109	19	0.4977	0.0876	1	150	63	0.3088
atoll_s28_B	atoll	28	B	US	Core destroyed	196	parent	7	98	195	195	91	82	26	0.0989	0.2857	1	91	41	0.0
atoll_s29_A	atoll	29	A	US	Core destroyed	188	parent	11	67	187	187	56	35	0	0.375	0.0	1	56	0	0.0
atoll_s29_B	atoll	29	B	OPP	Core destroyed	843	parent	9	-1	-1	842	834	45	1	0.946	0.0012	0	121	6	0.8549
atoll_s30_A	atoll	30	A	US	Core destroyed	158	parent	7	66	157	157	59	41	4	0.3051	0.0678	1	59	5	0.0
atoll_s30_B	atoll	30	B	OPP	Core destroyed	642	parent	7	81	-1	641	74	23	0	0.6892	0.0	1	31	0	0.5811
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	240	parent	10	192	239	239	182	126	41	0.3077	0.2253	1	182	125	0.0
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	10	192	711	711	182	98	3	0.4615	0.0165	1	133	14	0.2692
drakkarfjord_s29_A	drakkarfjord	29	A	OPP	Core destroyed	684	parent	10	331	-1	683	321	43	0	0.866	0.0	1	71	0	0.7788
drakkarfjord_s29_B	drakkarfjord	29	B	US	Titanium collected (tiebreak)	1000	parent	10	92	-1	999	82	34	0	0.5854	0.0	1	82	0	0.0
drakkarfjord_s30_A	drakkarfjord	30	A	OPP	Core destroyed	676	parent	10	-1	-1	675	666	50	0	0.9249	0.0	0	68	0	0.8979
drakkarfjord_s30_B	drakkarfjord	30	B	US	Titanium collected (tiebreak)	1000	parent	10	71	-1	999	61	48	0	0.2131	0.0	1	58	0	0.0492
glacierkeep_s28_A	glacierkeep	28	A	US	Core destroyed	329	parent	8	148	328	328	140	86	7	0.3857	0.05	1	140	62	0.0
glacierkeep_s28_B	glacierkeep	28	B	US	Core destroyed	209	parent	8	104	208	208	96	54	0	0.4375	0.0	1	96	45	0.0
glacierkeep_s29_A	glacierkeep	29	A	US	Core destroyed	174	parent	8	104	173	173	96	66	8	0.3125	0.0833	1	96	56	0.0
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	253	parent	8	76	252	252	68	46	0	0.3235	0.0	1	68	34	0.0
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	377	parent	8	88	376	376	80	59	6	0.2625	0.075	1	79	51	0.0125
glacierkeep_s30_B	glacierkeep	30	B	US	Titanium collected (tiebreak)	1000	parent	8	49	-1	999	41	29	4	0.2927	0.0976	1	41	9	0.0
midgard_s28_A	midgard	28	A	OPP	Core destroyed	853	parent	48	-1	-1	852	805	359	196	0.554	0.2435	0	359	211	0.554
midgard_s28_B	midgard	28	B	OPP	Core destroyed	186	parent	48	-1	-1	185	138	76	17	0.4493	0.1232	0	76	24	0.4493
midgard_s29_A	midgard	29	A	OPP	Core destroyed	301	parent	53	-1	-1	300	248	27	0	0.8911	0.0	0	34	1	0.8629
midgard_s29_B	midgard	29	B	OPP	Core destroyed	285	parent	53	-1	-1	284	232	108	75	0.5345	0.3233	0	108	83	0.5345
midgard_s30_A	midgard	30	A	US	Titanium collected (tiebreak)	1000	parent	55	-1	-1	999	945	945	937	0.0	0.9915	0	945	943	0.0
midgard_s30_B	midgard	30	B	US	Core destroyed	235	parent	54	179	234	234	125	125	122	0.0	0.976	1	125	125	0.0
nordkap_s28_A	nordkap	28	A	US	Titanium collected (tiebreak)	1000	parent	4	-1	-1	999	996	86	23	0.9137	0.0231	0	132	60	0.8675
nordkap_s28_B	nordkap	28	B	OPP	Core destroyed	658	parent	4	-1	-1	657	654	648	357	0.0092	0.5459	0	654	613	0.0
nordkap_s29_A	nordkap	29	A	OPP	Core destroyed	311	parent	4	-1	-1	310	307	147	21	0.5212	0.0684	0	150	30	0.5114
nordkap_s29_B	nordkap	29	B	OPP	Core destroyed	188	parent	4	-1	-1	187	184	72	0	0.6087	0.0	0	80	0	0.5652
nordkap_s30_A	nordkap	30	A	US	Core destroyed	521	parent	4	352	520	520	348	161	0	0.5374	0.0	1	217	2	0.3764
nordkap_s30_B	nordkap	30	B	US	Core destroyed	272	parent	4	240	271	271	236	92	0	0.6102	0.0	1	128	0	0.4576
yulerune_s28_A	yulerune	28	A	US	Core destroyed	334	parent	27	278	333	333	251	249	233	0.008	0.9283	1	251	241	0.0
yulerune_s28_B	yulerune	28	B	OPP	Core destroyed	128	parent	27	-1	-1	127	101	100	89	0.0099	0.8812	0	101	97	0.0
yulerune_s29_A	yulerune	29	A	US	Core destroyed	280	parent	29	128	279	279	99	96	81	0.0303	0.8182	1	99	93	0.0
yulerune_s29_B	yulerune	29	B	US	Core destroyed	300	parent	26	162	299	299	136	129	113	0.0515	0.8309	1	136	123	0.0
yulerune_s30_A	yulerune	30	A	US	Core destroyed	572	parent	31	524	571	571	493	491	481	0.0041	0.9757	1	493	486	0.0
yulerune_s30_B	yulerune	30	B	OPP	Core destroyed	412	parent	29	-1	-1	411	383	124	58	0.6762	0.1514	0	130	79	0.6606
atoll_s31_A	atoll	31	A	US	Core destroyed	335	parent	6	72	334	334	66	50	7	0.2424	0.1061	1	66	31	0.0
atoll_s31_B	atoll	31	B	OPP	Core destroyed	149	parent	7	-1	-1	148	142	29	0	0.7958	0.0	0	37	0	0.7394
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	9	276	659	659	267	138	0	0.4831	0.0	1	193	1	0.2772
atoll_s32_B	atoll	32	B	OPP	Core destroyed	214	parent	6	78	-1	213	72	47	8	0.3472	0.1111	1	72	30	0.0
atoll_s33_A	atoll	33	A	OPP	Core destroyed	359	parent	6	-1	-1	358	353	52	0	0.8527	0.0	0	76	0	0.7847
atoll_s33_B	atoll	33	B	OPP	Core destroyed	148	parent	6	-1	-1	147	142	50	11	0.6479	0.0775	0	65	21	0.5423
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	407	parent	10	297	406	406	287	79	8	0.7247	0.0279	1	142	39	0.5052
drakkarfjord_s31_B	drakkarfjord	31	B	US	Core destroyed	129	parent	10	67	128	128	57	30	0	0.4737	0.0	1	57	0	0.0
drakkarfjord_s32_A	drakkarfjord	32	A	OPP	Core destroyed	270	parent	10	-1	-1	269	260	51	0	0.8038	0.0	0	67	0	0.7423
drakkarfjord_s32_B	drakkarfjord	32	B	US	Titanium collected (tiebreak)	1000	parent	10	69	-1	999	59	45	0	0.2373	0.0	1	56	0	0.0508
drakkarfjord_s33_A	drakkarfjord	33	A	US	Core destroyed	132	parent	10	76	131	131	66	46	8	0.303	0.1212	1	66	11	0.0
drakkarfjord_s33_B	drakkarfjord	33	B	US	Core destroyed	129	parent	10	67	128	128	57	30	0	0.4737	0.0	1	57	0	0.0
glacierkeep_s31_A	glacierkeep	31	A	OPP	Core destroyed	521	parent	8	87	-1	520	79	56	7	0.2911	0.0886	1	79	50	0.0
glacierkeep_s31_B	glacierkeep	31	B	US	Titanium collected (tiebreak)	1000	parent	8	64	-1	999	56	43	6	0.2321	0.1071	1	56	18	0.0
glacierkeep_s32_A	glacierkeep	32	A	US	Core destroyed	173	parent	8	72	172	172	64	44	2	0.3125	0.0312	1	64	32	0.0
glacierkeep_s32_B	glacierkeep	32	B	US	Core destroyed	865	parent	8	117	864	864	109	94	2	0.1376	0.0183	1	109	77	0.0
glacierkeep_s33_A	glacierkeep	33	A	US	Core destroyed	217	parent	8	89	216	216	81	67	12	0.1728	0.1481	1	81	52	0.0
glacierkeep_s33_B	glacierkeep	33	B	US	Core destroyed	189	parent	8	73	188	188	65	42	3	0.3538	0.0462	1	65	15	0.0
midgard_s31_A	midgard	31	A	OPP	Core destroyed	265	parent	53	-1	-1	264	212	211	202	0.0047	0.9528	0	212	208	0.0
midgard_s31_B	midgard	31	B	OPP	Core destroyed	493	parent	54	52	-1	492	0	0	0			1	0	0	
midgard_s32_A	midgard	32	A	OPP	Core destroyed	246	parent	50	-1	-1	245	196	196	13	0.0	0.0663	0	196	23	0.0
midgard_s32_B	midgard	32	B	US	Core destroyed	400	parent	53	344	399	399	291	290	287	0.0034	0.9863	1	291	287	0.0
midgard_s33_A	midgard	33	A	OPP	Core destroyed	346	parent	53	-1	-1	345	293	98	26	0.6655	0.0887	0	110	27	0.6246
midgard_s33_B	midgard	33	B	US	Core destroyed	201	parent	52	145	200	200	93	93	84	0.0	0.9032	1	93	92	0.0
nordkap_s31_A	nordkap	31	A	US	Core destroyed	184	parent	4	125	183	183	121	104	6	0.1405	0.0496	1	121	88	0.0
nordkap_s31_B	nordkap	31	B	US	Core destroyed	300	parent	4	144	299	299	140	132	29	0.0571	0.2071	1	140	44	0.0
nordkap_s32_A	nordkap	32	A	US	Core destroyed	269	parent	4	192	268	268	188	145	0	0.2287	0.0	1	155	0	0.1755
nordkap_s32_B	nordkap	32	B	US	Core destroyed	725	parent	4	468	724	724	464	353	46	0.2392	0.0991	1	367	69	0.2091
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	4	221	-1	888	217	205	117	0.0553	0.5392	1	214	134	0.0138
nordkap_s33_B	nordkap	33	B	US	Core destroyed	482	parent	4	80	481	481	76	63	31	0.1711	0.4079	1	76	58	0.0
yulerune_s31_A	yulerune	31	A	US	Core destroyed	508	parent	26	452	507	507	426	422	346	0.0094	0.8122	1	426	372	0.0
yulerune_s31_B	yulerune	31	B	OPP	Core destroyed	180	parent	37	-1	-1	179	143	142	136	0.007	0.951	0	143	141	0.0
yulerune_s32_A	yulerune	32	A	OPP	Core destroyed	157	parent	36	-1	-1	156	121	37	14	0.6942	0.1157	0	42	23	0.6529
yulerune_s32_B	yulerune	32	B	US	Core destroyed	889	parent	33	772	888	888	739	738	730	0.0014	0.9878	1	739	739	0.0
yulerune_s33_A	yulerune	33	A	OPP	Core destroyed	168	parent	33	-1	-1	167	135	133	127	0.0148	0.9407	0	135	130	0.0
yulerune_s33_B	yulerune	33	B	US	Core destroyed	274	parent	31	139	273	273	108	107	98	0.0093	0.9074	1	108	105	0.0
atoll_s34_A	atoll	34	A	OPP	Core destroyed	233	parent	7	-1	-1	232	226	27	0	0.8805	0.0	0	41	0	0.8186
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	7	81	615	615	74	23	0	0.6892	0.0	1	31	0	0.5811
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	7	180	-1	661	173	140	0	0.1908	0.0	1	164	2	0.052
atoll_s35_B	atoll	35	B	OPP	Core destroyed	275	parent	6	-1	-1	274	269	36	0	0.8662	0.0	0	117	0	0.5651
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	6	211	656	656	205	69	1	0.6634	0.0049	1	88	5	0.5707
atoll_s36_B	atoll	36	B	OPP	Core destroyed	175	parent	6	-1	-1	174	169	72	10	0.574	0.0592	0	76	14	0.5503
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	10	323	378	378	313	82	14	0.738	0.0447	1	128	17	0.5911
drakkarfjord_s34_B	drakkarfjord	34	B	OPP	Core destroyed	902	parent	10	161	-1	901	151	59	0	0.6093	0.0	1	71	0	0.5298
drakkarfjord_s35_A	drakkarfjord	35	A	OPP	Core destroyed	290	parent	10	-1	-1	289	280	28	0	0.9	0.0	0	33	0	0.8821
drakkarfjord_s35_B	drakkarfjord	35	B	US	Core destroyed	161	parent	10	97	160	160	87	48	0	0.4483	0.0	1	87	0	0.0
drakkarfjord_s36_A	drakkarfjord	36	A	OPP	Core destroyed	588	parent	10	-1	-1	587	578	80	10	0.8616	0.0173	0	111	16	0.808
drakkarfjord_s36_B	drakkarfjord	36	B	US	Core destroyed	150	parent	10	64	149	149	54	28	0	0.4815	0.0	1	54	0	0.0
glacierkeep_s34_A	glacierkeep	34	A	US	Core destroyed	152	parent	9	85	151	151	76	43	8	0.4342	0.1053	1	76	47	0.0
glacierkeep_s34_B	glacierkeep	34	B	US	Core destroyed	509	parent	8	76	508	508	68	56	7	0.1765	0.1029	1	68	40	0.0
glacierkeep_s35_A	glacierkeep	35	A	US	Core destroyed	241	parent	9	101	240	240	92	78	9	0.1522	0.0978	1	92	61	0.0
glacierkeep_s35_B	glacierkeep	35	B	OPP	Core destroyed	437	parent	8	74	-1	436	66	53	9	0.197	0.1364	1	66	28	0.0
glacierkeep_s36_A	glacierkeep	36	A	US	Core destroyed	163	parent	8	107	162	162	99	57	7	0.4242	0.0707	1	99	46	0.0
glacierkeep_s36_B	glacierkeep	36	B	US	Core destroyed	509	parent	8	76	508	508	68	56	7	0.1765	0.1029	1	68	40	0.0
midgard_s34_A	midgard	34	A	OPP	Core destroyed	243	parent	53	-1	-1	242	190	67	26	0.6474	0.1368	0	69	39	0.6368
midgard_s34_B	midgard	34	B	US	Titanium collected (tiebreak)	1000	parent	52	47	-1	999	0	0	0			1	0	0	
midgard_s35_A	midgard	35	A	OPP	Core destroyed	296	parent	57	184	-1	295	127	127	77	0.0	0.6063	1	127	88	0.0
midgard_s35_B	midgard	35	B	OPP	Core destroyed	505	parent	53	-1	-1	504	452	452	444	0.0	0.9823	0	452	451	0.0
midgard_s36_A	midgard	36	A	OPP	Core destroyed	447	parent	50	433	-1	446	383	374	367	0.0235	0.9582	1	380	373	0.0078
midgard_s36_B	midgard	36	B	US	Core destroyed	385	parent	51	220	384	384	169	168	159	0.0059	0.9408	1	169	162	0.0
nordkap_s34_A	nordkap	34	A	OPP	Core destroyed	192	parent	4	-1	-1	191	188	179	16	0.0479	0.0851	0	185	31	0.016
nordkap_s34_B	nordkap	34	B	US	Core destroyed	541	parent	4	364	540	540	360	356	290	0.0111	0.8056	1	360	340	0.0
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	469	parent	4	160	-1	468	156	104	5	0.3333	0.0321	1	116	16	0.2564
nordkap_s35_B	nordkap	35	B	US	Core destroyed	403	parent	4	112	402	402	108	94	11	0.1296	0.1019	1	108	88	0.0
nordkap_s36_A	nordkap	36	A	OPP	Core destroyed	334	parent	4	-1	-1	333	330	287	255	0.1303	0.7727	0	296	268	0.103
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	178	parent	4	-1	-1	177	174	81	23	0.5345	0.1322	0	85	28	0.5115
yulerune_s34_A	yulerune	34	A	OPP	Core destroyed	251	parent	33	-1	-1	250	218	217	206	0.0046	0.945	0	218	213	0.0
yulerune_s34_B	yulerune	34	B	US	Core destroyed	236	parent	33	180	235	235	147	146	132	0.0068	0.898	1	147	144	0.0
yulerune_s35_A	yulerune	35	A	US	Core destroyed	781	parent	27	564	780	780	537	535	517	0.0037	0.9628	1	537	524	0.0
yulerune_s35_B	yulerune	35	B	US	Titanium collected (tiebreak)	1000	parent	35	-1	-1	999	965	964	313	0.001	0.3244	0	965	325	0.0
yulerune_s36_A	yulerune	36	A	US	Core destroyed	785	parent	37	328	784	784	291	291	77	0.0	0.2646	1	291	136	0.0
yulerune_s36_B	yulerune	36	B	OPP	Core destroyed	237	parent	41	152	-1	236	111	111	94	0.0	0.8468	1	111	111	0.0
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	7	171	530	530	164	43	0	0.7378	0.0	1	70	0	0.5732
atoll_s37_B	atoll	37	B	OPP	Core destroyed	128	parent	47	-1	-1	127	81	3	0	0.963	0.0	0	4	0	0.9506
atoll_s38_A	atoll	38	A	US	Core destroyed	162	parent	6	90	161	161	84	77	5	0.0833	0.0595	1	83	17	0.0119
atoll_s38_B	atoll	38	B	OPP	Core destroyed	186	parent	7	100	-1	185	93	77	26	0.172	0.2796	1	93	42	0.0
atoll_s39_A	atoll	39	A	OPP	Core destroyed	322	parent	6	-1	-1	321	316	26	0	0.9177	0.0	0	34	0	0.8924
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	6	266	951	951	260	251	91	0.0346	0.35	1	257	183	0.0115
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	Core destroyed	276	parent	10	90	-1	275	80	54	16	0.325	0.2	1	77	20	0.0375
drakkarfjord_s37_B	drakkarfjord	37	B	US	Core destroyed	141	parent	10	82	140	140	72	32	1	0.5556	0.0139	1	70	5	0.0278
drakkarfjord_s38_A	drakkarfjord	38	A	OPP	Core destroyed	608	parent	10	-1	-1	607	598	48	0	0.9197	0.0	0	77	0	0.8712
drakkarfjord_s38_B	drakkarfjord	38	B	US	Core destroyed	582	parent	10	71	581	581	61	48	0	0.2131	0.0	1	58	0	0.0492
drakkarfjord_s39_A	drakkarfjord	39	A	OPP	Core destroyed	243	parent	10	-1	-1	242	233	36	0	0.8455	0.0	0	56	0	0.7597
drakkarfjord_s39_B	drakkarfjord	39	B	US	Core destroyed	129	parent	10	67	128	128	57	30	0	0.4737	0.0	1	57	0	0.0
glacierkeep_s37_A	glacierkeep	37	A	US	Core destroyed	413	parent	8	83	412	412	75	45	7	0.4	0.0933	1	75	43	0.0
glacierkeep_s37_B	glacierkeep	37	B	US	Core destroyed	189	parent	8	73	188	188	65	42	3	0.3538	0.0462	1	65	15	0.0
glacierkeep_s38_A	glacierkeep	38	A	US	Core destroyed	473	parent	8	380	472	472	372	341	0	0.0833	0.0	1	366	11	0.0161
glacierkeep_s38_B	glacierkeep	38	B	OPP	Core destroyed	656	parent	8	48	-1	655	40	30	4	0.25	0.1	1	40	8	0.0
glacierkeep_s39_A	glacierkeep	39	A	US	Titanium collected (tiebreak)	1000	parent	8	232	-1	999	224	196	0	0.125	0.0	1	209	0	0.067
glacierkeep_s39_B	glacierkeep	39	B	US	Core destroyed	157	parent	8	52	156	156	44	32	4	0.2727	0.0909	1	44	13	0.0
midgard_s37_A	midgard	37	A	US	Core destroyed	193	parent	53	152	192	192	99	99	82	0.0	0.8283	1	99	96	0.0
midgard_s37_B	midgard	37	B	OPP	Core destroyed	213	parent	52	89	-1	212	37	37	25	0.0	0.6757	1	37	30	0.0
midgard_s38_A	midgard	38	A	OPP	Titanium collected (tiebreak)	1000	parent	57	53	-1	999	0	0	0			1	0	0	
midgard_s38_B	midgard	38	B	OPP	Core destroyed	333	parent	51	-1	-1	332	282	281	274	0.0035	0.9716	0	282	280	0.0
midgard_s39_A	midgard	39	A	US	Core destroyed	485	parent	50	324	484	484	274	270	256	0.0146	0.9343	1	274	271	0.0
midgard_s39_B	midgard	39	B	US	Core destroyed	241	parent	51	185	240	240	134	134	128	0.0	0.9552	1	134	134	0.0
nordkap_s37_A	nordkap	37	A	OPP	Core destroyed	293	parent	4	-1	-1	292	289	88	51	0.6955	0.1765	0	91	67	0.6851
nordkap_s37_B	nordkap	37	B	US	Core destroyed	348	parent	4	108	347	347	104	91	51	0.125	0.4904	1	104	82	0.0
nordkap_s38_A	nordkap	38	A	OPP	Titanium collected (tiebreak)	1000	parent	4	-1	-1	999	996	166	25	0.8333	0.0251	0	244	35	0.755
nordkap_s38_B	nordkap	38	B	US	Core destroyed	252	parent	4	144	251	251	140	133	19	0.05	0.1357	1	137	123	0.0214
nordkap_s39_A	nordkap	39	A	US	Core destroyed	264	parent	4	208	263	263	204	199	129	0.0245	0.6324	1	202	190	0.0098
nordkap_s39_B	nordkap	39	B	OPP	Core destroyed	149	parent	4	-1	-1	148	145	101	1	0.3034	0.0069	0	112	8	0.2276
yulerune_s37_A	yulerune	37	A	US	Core destroyed	236	parent	33	180	235	235	147	146	138	0.0068	0.9388	1	147	144	0.0
yulerune_s37_B	yulerune	37	B	OPP	Core destroyed	283	parent	31	-1	-1	282	252	141	58	0.4405	0.2302	0	142	64	0.4365
yulerune_s38_A	yulerune	38	A	US	Core destroyed	347	parent	31	284	346	346	253	251	236	0.0079	0.9328	1	253	248	0.0
yulerune_s38_B	yulerune	38	B	OPP	Core destroyed	188	parent	29	-1	-1	187	159	153	139	0.0377	0.8742	0	159	154	0.0
yulerune_s39_A	yulerune	39	A	OPP	Core destroyed	425	parent	37	372	-1	424	335	335	331	0.0	0.9881	1	335	334	0.0
yulerune_s39_B	yulerune	39	B	US	Core destroyed	199	parent	31	143	198	198	112	112	106	0.0	0.9464	1	112	112	0.0
atoll_s40_A	atoll	40	A	OPP	Core destroyed	231	parent	6	-1	-1	230	225	7	0	0.9689	0.0	0	10	0	0.9556
atoll_s40_B	atoll	40	B	US	Core destroyed	277	parent	6	60	276	276	54	37	7	0.3148	0.1296	1	50	16	0.0741
atoll_s41_A	atoll	41	A	OPP	Core destroyed	197	parent	11	-1	-1	196	186	94	0	0.4946	0.0	0	115	5	0.3817
atoll_s41_B	atoll	41	B	OPP	Core destroyed	192	parent	7	55	-1	191	48	19	0	0.6042	0.0	1	32	0	0.3333
atoll_s42_A	atoll	42	A	US	Core destroyed	469	parent	6	120	468	468	114	16	0	0.8596	0.0	1	21	0	0.8158
atoll_s42_B	atoll	42	B	OPP	Core destroyed	202	parent	8	30	-1	201	22	11	0	0.5	0.0	1	15	0	0.3182
drakkarfjord_s40_A	drakkarfjord	40	A	US	Core destroyed	231	parent	10	175	230	230	165	114	39	0.3091	0.2364	1	165	108	0.0
drakkarfjord_s40_B	drakkarfjord	40	B	US	Core destroyed	456	parent	10	378	455	455	368	135	0	0.6332	0.0	1	153	0	0.5842
drakkarfjord_s41_A	drakkarfjord	41	A	OPP	Titanium collected (tiebreak)	1000	parent	10	-1	-1	999	990	52	0	0.9475	0.0	0	74	0	0.9253
drakkarfjord_s41_B	drakkarfjord	41	B	OPP	Core destroyed	308	parent	10	-1	-1	307	298	29	0	0.9027	0.0	0	38	0	0.8725
drakkarfjord_s42_A	drakkarfjord	42	A	US	Core destroyed	491	parent	10	438	490	490	428	122	0	0.715	0.0	1	198	0	0.5374
drakkarfjord_s42_B	drakkarfjord	42	B	OPP	Core destroyed	966	parent	10	85	-1	965	75	39	0	0.48	0.0	1	62	0	0.1733
glacierkeep_s40_A	glacierkeep	40	A	US	Core destroyed	112	parent	8	56	111	111	48	33	9	0.3125	0.1875	1	48	21	0.0
glacierkeep_s40_B	glacierkeep	40	B	US	Core destroyed	293	parent	8	65	292	292	57	46	11	0.193	0.193	1	57	25	0.0
glacierkeep_s41_A	glacierkeep	41	A	US	Core destroyed	125	parent	8	48	124	124	40	26	5	0.35	0.125	1	40	11	0.0
glacierkeep_s41_B	glacierkeep	41	B	US	Core destroyed	437	parent	8	108	436	436	100	90	33	0.1	0.33	1	100	67	0.0
glacierkeep_s42_A	glacierkeep	42	A	US	Core destroyed	349	parent	8	74	348	348	66	47	9	0.2879	0.1364	1	60	29	0.0909
