tag	map	seed	seat	ours	cond	turn	arm	arrive	sent	kill	last	window	ge1	ge2	nobody	two_body_share	bought_sentinel	ge1_fp	ge2_fp	nobody_fp
yulerune_s1_B	yulerune	1	B	OPP	Core destroyed	435	v520	27	-1	-1	434	408	278	181	0.3186	0.4436	0	279	184	0.3162
yulerune_s2_A	yulerune	2	A	US	Core destroyed	486	v520	29	436	485	485	407	406	29	0.0025	0.0713	1	407	38	0.0
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	228	v520	32	220	-1	227	188	188	53	0.0	0.2819	1	188	57	0.0
yulerune_s3_A	yulerune	3	A	OPP	Core destroyed	193	v520	31	-1	-1	192	162	159	10	0.0185	0.0617	0	162	20	0.0
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	445	v520	29	219	-1	444	190	79	20	0.5842	0.1053	1	87	23	0.5421
atoll_s28_A	atoll	28	A	US	Core destroyed	159	v520	10	88	158	158	78	68	26	0.1282	0.3333	1	78	73	0.0
atoll_s28_B	atoll	28	B	US	Core destroyed	609	v520	10	540	608	608	530	233	42	0.5604	0.0792	1	337	119	0.3642
atoll_s29_A	atoll	29	A	US	Titanium collected (tiebreak)	1000	v520	11	64	-1	999	53	52	21	0.0189	0.3962	1	53	46	0.0
atoll_s29_B	atoll	29	B	US	Core destroyed	161	v520	11	60	160	160	49	28	5	0.4286	0.102	1	49	23	0.0
atoll_s30_A	atoll	30	A	OPP	Core destroyed	427	v520	10	-1	-1	426	417	54	5	0.8705	0.012	0	58	16	0.8609
atoll_s30_B	atoll	30	B	OPP	Core destroyed	306	v520	10	-1	-1	305	296	146	42	0.5068	0.1419	0	193	126	0.348
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	101	v520	14	45	100	100	31	26	8	0.1613	0.2581	1	31	21	0.0
drakkarfjord_s28_B	drakkarfjord	28	B	US	Titanium collected (tiebreak)	1000	v520	14	41	-1	999	27	23	11	0.1481	0.4074	1	27	26	0.0
drakkarfjord_s29_A	drakkarfjord	29	A	US	Core destroyed	133	v520	14	72	132	132	58	30	8	0.4828	0.1379	1	46	21	0.2069
drakkarfjord_s29_B	drakkarfjord	29	B	US	Core destroyed	122	v520	14	40	121	121	26	23	10	0.1154	0.3846	1	26	25	0.0
drakkarfjord_s30_A	drakkarfjord	30	A	US	Core destroyed	92	v520	14	36	91	91	22	17	7	0.2273	0.3182	1	21	17	0.0455
drakkarfjord_s30_B	drakkarfjord	30	B	OPP	Titanium collected (tiebreak)	1000	v520	14	-1	-1	999	986	110	6	0.8884	0.0061	0	158	17	0.8398
glacierkeep_s28_A	glacierkeep	28	A	US	Core destroyed	144	v520	12	75	143	143	63	53	23	0.1587	0.3651	1	63	63	0.0
glacierkeep_s28_B	glacierkeep	28	B	US	Harvesters (tiebreak)	1000	v520	12	-1	-1	999	988	466	14	0.5283	0.0142	0	988	107	0.0
glacierkeep_s29_A	glacierkeep	29	A	US	Core destroyed	190	v520	12	100	189	189	88	77	43	0.125	0.4886	1	88	88	0.0
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	261	v520	12	108	260	260	96	57	19	0.4062	0.1979	1	96	81	0.0
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	123	v520	12	67	122	122	55	51	30	0.0727	0.5455	1	55	55	0.0
glacierkeep_s30_B	glacierkeep	30	B	US	Core destroyed	217	v520	12	68	216	216	56	20	6	0.6429	0.1071	1	56	35	0.0
midgard_s28_A	midgard	28	A	OPP	Core destroyed	216	v520	48	-1	-1	215	168	84	51	0.5	0.3036	0	84	69	0.5
midgard_s28_B	midgard	28	B	US	Core destroyed	377	v520	51	280	376	376	229	229	220	0.0	0.9607	1	229	227	0.0
midgard_s29_A	midgard	29	A	US	Core destroyed	301	v520	48	208	300	300	160	159	153	0.0062	0.9563	1	160	160	0.0
midgard_s29_B	midgard	29	B	US	Core destroyed	237	v520	47	181	236	236	134	133	120	0.0075	0.8955	1	134	130	0.0
midgard_s30_A	midgard	30	A	OPP	Core destroyed	501	v520	52	46	-1	500	0	0	0			1	0	0	
midgard_s30_B	midgard	30	B	OPP	Core destroyed	317	v520	49	-1	-1	316	268	266	257	0.0075	0.959	0	268	258	0.0
nordkap_s28_A	nordkap	28	A	OPP	Core destroyed	575	v520	8	-1	-1	574	567	269	19	0.5256	0.0335	0	278	34	0.5097
nordkap_s28_B	nordkap	28	B	US	Core destroyed	153	v520	8	76	152	152	68	60	33	0.1176	0.4853	1	68	58	0.0
nordkap_s29_A	nordkap	29	A	US	Core destroyed	419	v520	8	55	418	418	47	43	24	0.0851	0.5106	1	47	45	0.0
nordkap_s29_B	nordkap	29	B	OPP	Core destroyed	243	v520	12	-1	-1	242	231	161	82	0.303	0.355	0	162	100	0.2987
nordkap_s30_A	nordkap	30	A	OPP	Core destroyed	526	v520	8	36	-1	525	28	23	4	0.1786	0.1429	1	28	17	0.0
nordkap_s30_B	nordkap	30	B	OPP	Core destroyed	597	v520	8	84	-1	596	76	67	39	0.1184	0.5132	1	76	74	0.0
yulerune_s28_A	yulerune	28	A	OPP	Core destroyed	147	v520	31	-1	-1	146	116	115	56	0.0086	0.4828	0	116	59	0.0
yulerune_s28_B	yulerune	28	B	OPP	Core destroyed	317	v520	31	-1	-1	316	286	96	77	0.6643	0.2692	0	99	84	0.6538
yulerune_s29_A	yulerune	29	A	US	Core destroyed	397	v520	33	359	396	396	326	325	322	0.0031	0.9877	1	326	326	0.0
yulerune_s29_B	yulerune	29	B	US	Core destroyed	263	v520	31	221	262	262	190	190	184	0.0	0.9684	1	190	190	0.0
yulerune_s30_A	yulerune	30	A	OPP	Core destroyed	304	v520	33	-1	-1	303	271	79	49	0.7085	0.1808	0	79	55	0.7085
yulerune_s30_B	yulerune	30	B	OPP	Core destroyed	312	v520	30	-1	-1	311	282	281	279	0.0035	0.9894	0	282	281	0.0
atoll_s31_A	atoll	31	A	OPP	Core destroyed	314	v520	10	-1	-1	313	304	78	2	0.7434	0.0066	0	91	6	0.7007
atoll_s31_B	atoll	31	B	US	Core destroyed	211	v520	11	62	210	210	51	32	11	0.3725	0.2157	1	51	45	0.0
atoll_s32_A	atoll	32	A	OPP	Titanium collected (tiebreak)	1000	v520	10	-1	-1	999	990	129	15	0.8697	0.0152	0	134	39	0.8646
atoll_s32_B	atoll	32	B	US	Core destroyed	116	v520	11	60	115	115	49	47	28	0.0408	0.5714	1	49	40	0.0
atoll_s33_A	atoll	33	A	US	Core destroyed	228	v520	10	136	227	227	126	110	85	0.127	0.6746	1	126	126	0.0
atoll_s33_B	atoll	33	B	US	Core destroyed	438	v520	10	130	437	437	120	61	2	0.4917	0.0167	1	68	11	0.4333
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	88	v520	14	32	87	87	18	16	5	0.1111	0.2778	1	18	17	0.0
drakkarfjord_s31_B	drakkarfjord	31	B	US	Core destroyed	100	v520	14	44	99	99	30	24	6	0.2	0.2	1	30	27	0.0
drakkarfjord_s32_A	drakkarfjord	32	A	US	Core destroyed	89	v520	14	33	88	88	19	19	8	0.0	0.4211	1	19	18	0.0
drakkarfjord_s32_B	drakkarfjord	32	B	US	Core destroyed	125	v520	14	41	124	124	27	22	9	0.1852	0.3333	1	27	22	0.0
drakkarfjord_s33_A	drakkarfjord	33	A	US	Core destroyed	101	v520	14	45	100	100	31	26	8	0.1613	0.2581	1	31	21	0.0
drakkarfjord_s33_B	drakkarfjord	33	B	US	Core destroyed	96	v520	14	40	95	95	26	24	12	0.0769	0.4615	1	26	24	0.0
glacierkeep_s31_A	glacierkeep	31	A	US	Core destroyed	217	v520	12	108	216	216	96	88	50	0.0833	0.5208	1	96	94	0.0
glacierkeep_s31_B	glacierkeep	31	B	US	Harvesters (tiebreak)	1000	v520	12	92	-1	999	80	53	6	0.3375	0.075	1	80	62	0.0
glacierkeep_s32_A	glacierkeep	32	A	US	Core destroyed	201	v520	12	80	200	200	68	58	24	0.1471	0.3529	1	68	62	0.0
glacierkeep_s32_B	glacierkeep	32	B	OPP	Core destroyed	773	v520	12	-1	-1	772	761	122	8	0.8397	0.0105	0	157	47	0.7937
glacierkeep_s33_A	glacierkeep	33	A	US	Core destroyed	110	v520	12	52	109	109	40	31	12	0.225	0.3	1	40	38	0.0
glacierkeep_s33_B	glacierkeep	33	B	OPP	Harvesters (tiebreak)	1000	v520	12	116	-1	999	104	73	13	0.2981	0.125	1	104	96	0.0
midgard_s31_A	midgard	31	A	OPP	Core destroyed	245	v520	52	45	-1	244	0	0	0			1	0	0	
midgard_s31_B	midgard	31	B	US	Core destroyed	481	v520	53	328	480	480	275	274	265	0.0036	0.9636	1	275	275	0.0
midgard_s32_A	midgard	32	A	US	Titanium collected (tiebreak)	1000	v520	48	184	-1	999	136	136	128	0.0	0.9412	1	136	134	0.0
midgard_s32_B	midgard	32	B	OPP	Core destroyed	396	v520	50	-1	-1	395	346	32	15	0.9075	0.0434	0	35	21	0.8988
midgard_s33_A	midgard	33	A	US	Core destroyed	220	v520	48	164	219	219	116	116	110	0.0	0.9483	1	116	115	0.0
midgard_s33_B	midgard	33	B	US	Core destroyed	130	v520	50	48	129	129	0	0	0			1	0	0	
nordkap_s31_A	nordkap	31	A	US	Core destroyed	813	v520	8	72	812	812	64	56	21	0.125	0.3281	1	61	41	0.0469
nordkap_s31_B	nordkap	31	B	US	Core destroyed	423	v520	8	104	422	422	96	77	33	0.1979	0.3438	1	96	82	0.0
nordkap_s32_A	nordkap	32	A	US	Core destroyed	483	v520	8	47	482	482	39	29	9	0.2564	0.2308	1	39	38	0.0
nordkap_s32_B	nordkap	32	B	US	Core destroyed	191	v520	8	121	190	190	113	112	57	0.0088	0.5044	1	113	110	0.0
nordkap_s33_A	nordkap	33	A	US	Titanium collected (tiebreak)	1000	v520	8	48	-1	999	40	37	26	0.075	0.65	1	40	40	0.0
nordkap_s33_B	nordkap	33	B	US	Core destroyed	157	v520	8	80	156	156	72	68	30	0.0556	0.4167	1	72	70	0.0
yulerune_s31_A	yulerune	31	A	OPP	Core destroyed	397	v520	29	304	-1	396	275	274	142	0.0036	0.5164	1	275	149	0.0
yulerune_s31_B	yulerune	31	B	OPP	Core destroyed	207	v520	29	192	-1	206	163	162	88	0.0061	0.5399	1	163	93	0.0
yulerune_s32_A	yulerune	32	A	US	Core destroyed	192	v520	32	136	191	191	104	103	94	0.0096	0.9038	1	104	104	0.0
yulerune_s32_B	yulerune	32	B	OPP	Core destroyed	308	v520	32	-1	-1	307	276	89	49	0.6775	0.1775	0	92	61	0.6667
yulerune_s33_A	yulerune	33	A	US	Core destroyed	492	v520	29	436	491	491	407	406	29	0.0025	0.0713	1	407	38	0.0
yulerune_s33_B	yulerune	33	B	US	Core destroyed	179	v520	29	123	178	178	94	92	85	0.0213	0.9043	1	94	91	0.0
atoll_s34_A	atoll	34	A	US	Core destroyed	763	v520	13	741	762	762	728	98	2	0.8654	0.0027	1	106	10	0.8544
atoll_s34_B	atoll	34	B	OPP	Core destroyed	285	v520	11	-1	-1	284	274	19	5	0.9307	0.0182	0	61	16	0.7774
atoll_s35_A	atoll	35	A	OPP	Core destroyed	177	v520	10	-1	-1	176	167	166	84	0.006	0.503	0	167	99	0.0
atoll_s35_B	atoll	35	B	US	Core destroyed	116	v520	17	60	115	115	43	29	2	0.3256	0.0465	1	38	3	0.1163
atoll_s36_A	atoll	36	A	US	Core destroyed	634	v520	11	567	633	633	556	123	25	0.7788	0.045	1	169	42	0.696
atoll_s36_B	atoll	36	B	US	Core destroyed	161	v520	11	60	160	160	49	28	5	0.4286	0.102	1	49	23	0.0
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	88	v520	14	32	87	87	18	16	5	0.1111	0.2778	1	18	17	0.0
drakkarfjord_s34_B	drakkarfjord	34	B	US	Core destroyed	444	v520	14	388	443	443	374	60	10	0.8396	0.0267	1	80	37	0.7861
drakkarfjord_s35_A	drakkarfjord	35	A	US	Core destroyed	93	v520	14	37	92	92	23	18	7	0.2174	0.3043	1	23	19	0.0
drakkarfjord_s35_B	drakkarfjord	35	B	US	Core destroyed	385	v520	14	41	384	384	27	23	10	0.1481	0.3704	1	27	26	0.0
drakkarfjord_s36_A	drakkarfjord	36	A	US	Core destroyed	92	v520	14	36	91	91	22	17	7	0.2273	0.3182	1	21	17	0.0455
drakkarfjord_s36_B	drakkarfjord	36	B	US	Titanium collected (tiebreak)	1000	v520	14	40	-1	999	26	23	10	0.1154	0.3846	1	26	25	0.0
glacierkeep_s34_A	glacierkeep	34	A	US	Core destroyed	161	v520	12	75	160	160	63	53	17	0.1587	0.2698	1	63	63	0.0
glacierkeep_s34_B	glacierkeep	34	B	OPP	Harvesters (tiebreak)	1000	v520	12	92	-1	999	80	58	6	0.275	0.075	1	80	66	0.0
glacierkeep_s35_A	glacierkeep	35	A	US	Core destroyed	119	v520	12	63	118	118	51	42	29	0.1765	0.5686	1	51	48	0.0
glacierkeep_s35_B	glacierkeep	35	B	OPP	Titanium collected (tiebreak)	1000	v520	12	56	-1	999	44	14	9	0.6818	0.2045	1	42	14	0.0455
glacierkeep_s36_A	glacierkeep	36	A	US	Core destroyed	149	v520	12	55	148	148	43	34	14	0.2093	0.3256	1	43	41	0.0
glacierkeep_s36_B	glacierkeep	36	B	US	Harvesters (tiebreak)	1000	v520	12	-1	-1	999	988	274	28	0.7227	0.0283	0	988	113	0.0
midgard_s34_A	midgard	34	A	US	Core destroyed	123	v520	51	47	122	122	0	0	0			1	0	0	
midgard_s34_B	midgard	34	B	OPP	Core destroyed	444	v520	46	387	-1	443	341	64	29	0.8123	0.085	1	64	38	0.8123
midgard_s35_A	midgard	35	A	US	Core destroyed	291	v520	49	213	290	290	164	164	159	0.0	0.9695	1	164	163	0.0
midgard_s35_B	midgard	35	B	US	Core destroyed	869	v520	50	676	868	868	626	513	149	0.1805	0.238	1	626	159	0.0
midgard_s36_A	midgard	36	A	US	Core destroyed	193	v520	49	124	192	192	75	74	65	0.0133	0.8667	1	75	73	0.0
midgard_s36_B	midgard	36	B	US	Core destroyed	205	v520	50	143	204	204	93	93	88	0.0	0.9462	1	93	89	0.0
nordkap_s34_A	nordkap	34	A	US	Core destroyed	625	v520	8	81	624	624	73	55	31	0.2466	0.4247	1	73	57	0.0
nordkap_s34_B	nordkap	34	B	US	Titanium collected (tiebreak)	1000	v520	8	136	-1	999	128	95	41	0.2578	0.3203	1	128	99	0.0
nordkap_s35_A	nordkap	35	A	US	Core destroyed	509	v520	8	48	508	508	40	37	23	0.075	0.575	1	39	37	0.025
nordkap_s35_B	nordkap	35	B	OPP	Core destroyed	174	v520	10	-1	-1	173	164	39	12	0.7622	0.0732	0	49	20	0.7012
nordkap_s36_A	nordkap	36	A	US	Core destroyed	177	v520	8	88	176	176	80	78	66	0.025	0.825	1	80	80	0.0
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	262	v520	8	-1	-1	261	254	19	2	0.9252	0.0079	0	21	4	0.9173
yulerune_s34_A	yulerune	34	A	US	Core destroyed	230	v520	29	174	229	229	145	143	132	0.0138	0.9103	1	145	140	0.0
yulerune_s34_B	yulerune	34	B	OPP	Core destroyed	187	v520	30	-1	-1	186	157	157	155	0.0	0.9873	0	157	156	0.0
yulerune_s35_A	yulerune	35	A	US	Core destroyed	420	v520	30	300	419	419	270	269	266	0.0037	0.9852	1	270	268	0.0
yulerune_s35_B	yulerune	35	B	US	Core destroyed	240	v520	33	200	239	239	167	167	164	0.0	0.982	1	167	167	0.0
yulerune_s36_A	yulerune	36	A	OPP	Core destroyed	228	v520	29	-1	-1	227	199	87	64	0.5628	0.3216	0	89	75	0.5528
yulerune_s36_B	yulerune	36	B	OPP	Core destroyed	448	v520	36	-1	-1	447	412	184	113	0.5534	0.2743	0	184	114	0.5534
atoll_s37_A	atoll	37	A	OPP	Core destroyed	376	v520	11	88	-1	375	77	77	19	0.0	0.2468	1	77	25	0.0
atoll_s37_B	atoll	37	B	US	Titanium collected (tiebreak)	1000	v520	11	-1	-1	999	989	41	2	0.9585	0.002	0	142	4	0.8564
atoll_s38_A	atoll	38	A	OPP	Core destroyed	189	v520	10	68	-1	188	58	56	12	0.0345	0.2069	1	58	36	0.0
atoll_s38_B	atoll	38	B	US	Titanium collected (tiebreak)	1000	v520	11	-1	-1	999	989	511	15	0.4833	0.0152	0	989	39	0.0
atoll_s39_A	atoll	39	A	OPP	Core destroyed	668	v520	10	325	-1	667	315	182	54	0.4222	0.1714	1	252	83	0.2
atoll_s39_B	atoll	39	B	OPP	Core destroyed	480	v520	11	440	-1	479	429	58	1	0.8648	0.0023	1	94	12	0.7809
drakkarfjord_s37_A	drakkarfjord	37	A	US	Core destroyed	116	v520	14	60	115	115	46	36	11	0.2174	0.2391	1	46	37	0.0
drakkarfjord_s37_B	drakkarfjord	37	B	US	Core destroyed	96	v520	14	40	95	95	26	24	12	0.0769	0.4615	1	26	24	0.0
drakkarfjord_s38_A	drakkarfjord	38	A	US	Core destroyed	88	v520	14	32	87	87	18	16	5	0.1111	0.2778	1	18	17	0.0
drakkarfjord_s38_B	drakkarfjord	38	B	US	Core destroyed	125	v520	14	41	124	124	27	22	9	0.1852	0.3333	1	27	22	0.0
drakkarfjord_s39_A	drakkarfjord	39	A	US	Core destroyed	100	v520	14	41	99	99	27	23	7	0.1481	0.2593	1	27	23	0.0
drakkarfjord_s39_B	drakkarfjord	39	B	US	Core destroyed	114	v520	14	40	113	113	26	22	9	0.1538	0.3462	1	26	25	0.0
glacierkeep_s37_A	glacierkeep	37	A	OPP	Core destroyed	431	v520	12	76	-1	430	64	64	44	0.0	0.6875	1	64	62	0.0
glacierkeep_s37_B	glacierkeep	37	B	US	Core destroyed	457	v520	12	349	456	456	337	176	6	0.4777	0.0178	1	322	11	0.0445
glacierkeep_s38_A	glacierkeep	38	A	OPP	Core destroyed	609	v520	12	88	-1	608	76	59	38	0.2237	0.5	1	76	72	0.0
glacierkeep_s38_B	glacierkeep	38	B	OPP	Titanium collected (tiebreak)	1000	v520	12	56	-1	999	44	14	9	0.6818	0.2045	1	42	14	0.0455
glacierkeep_s39_A	glacierkeep	39	A	US	Core destroyed	145	v520	12	89	144	144	77	70	9	0.0909	0.1169	1	77	12	0.0
glacierkeep_s39_B	glacierkeep	39	B	US	Harvesters (tiebreak)	1000	v520	12	-1	-1	999	988	605	71	0.3877	0.0719	0	988	981	0.0
midgard_s37_A	midgard	37	A	OPP	Core destroyed	353	v520	48	-1	-1	352	305	142	106	0.5344	0.3475	0	146	111	0.5213
midgard_s37_B	midgard	37	B	US	Core destroyed	188	v520	47	132	187	187	85	85	80	0.0	0.9412	1	85	80	0.0
midgard_s38_A	midgard	38	A	US	Core destroyed	255	v520	52	199	254	254	147	147	142	0.0	0.966	1	147	147	0.0
midgard_s38_B	midgard	38	B	OPP	Core destroyed	421	v520	50	116	-1	420	66	66	47	0.0	0.7121	1	66	63	0.0
midgard_s39_A	midgard	39	A	OPP	Core destroyed	247	v520	53	47	-1	246	0	0	0			1	0	0	
midgard_s39_B	midgard	39	B	US	Core destroyed	993	v520	47	971	992	992	924	273	162	0.7045	0.1753	1	293	168	0.6829
nordkap_s37_A	nordkap	37	A	OPP	Core destroyed	297	v520	9	123	-1	296	114	114	65	0.0	0.5702	1	114	71	0.0
nordkap_s37_B	nordkap	37	B	OPP	Core destroyed	189	v520	10	-1	-1	188	179	39	12	0.7821	0.067	0	49	20	0.7263
nordkap_s38_A	nordkap	38	A	OPP	Core destroyed	612	v520	8	64	-1	611	56	52	19	0.0714	0.3393	1	56	47	0.0
nordkap_s38_B	nordkap	38	B	OPP	Core destroyed	625	v520	10	-1	-1	624	615	62	12	0.8992	0.0195	0	81	17	0.8683
nordkap_s39_A	nordkap	39	A	OPP	Core destroyed	446	v520	8	48	-1	445	40	35	16	0.125	0.4	1	39	31	0.025
nordkap_s39_B	nordkap	39	B	US	Core destroyed	433	v520	13	144	432	432	131	85	59	0.3511	0.4504	1	131	122	0.0
yulerune_s37_A	yulerune	37	A	OPP	Core destroyed	170	v520	35	-1	-1	169	135	135	38	0.0	0.2815	0	135	45	0.0
yulerune_s37_B	yulerune	37	B	OPP	Core destroyed	155	v520	29	-1	-1	154	126	122	65	0.0317	0.5159	0	126	77	0.0
yulerune_s38_A	yulerune	38	A	US	Core destroyed	251	v520	30	194	250	250	164	164	155	0.0	0.9451	1	164	164	0.0
yulerune_s38_B	yulerune	38	B	OPP	Core destroyed	273	v520	33	-1	-1	272	240	41	29	0.8292	0.1208	0	41	36	0.8292
yulerune_s39_A	yulerune	39	A	OPP	Core destroyed	154	v520	30	-1	-1	153	124	124	65	0.0	0.5242	0	124	70	0.0
yulerune_s39_B	yulerune	39	B	OPP	Core destroyed	287	v520	33	-1	-1	286	254	64	46	0.748	0.1811	0	73	48	0.7126
atoll_s40_A	atoll	40	A	US	Core destroyed	175	v520	10	64	174	174	54	54	17	0.0	0.3148	1	54	39	0.0
atoll_s40_B	atoll	40	B	US	Core destroyed	286	v520	11	176	285	285	165	132	23	0.2	0.1394	1	165	30	0.0
atoll_s41_A	atoll	41	A	US	Core destroyed	245	v520	10	150	244	244	140	135	36	0.0357	0.2571	1	140	132	0.0
atoll_s41_B	atoll	41	B	US	Core destroyed	605	v520	11	177	604	604	166	17	3	0.8976	0.0181	1	43	18	0.741
atoll_s42_A	atoll	42	A	OPP	Core destroyed	174	v520	11	60	-1	173	49	37	5	0.2449	0.102	1	49	27	0.0
atoll_s42_B	atoll	42	B	US	Core destroyed	116	v520	11	60	115	115	49	47	28	0.0408	0.5714	1	49	40	0.0
drakkarfjord_s40_A	drakkarfjord	40	A	US	Core destroyed	99	v520	14	37	98	98	23	18	7	0.2174	0.3043	1	23	19	0.0
drakkarfjord_s40_B	drakkarfjord	40	B	US	Core destroyed	125	v520	14	41	124	124	27	22	9	0.1852	0.3333	1	27	22	0.0
drakkarfjord_s41_A	drakkarfjord	41	A	US	Titanium collected (tiebreak)	1000	v520	14	101	-1	999	87	53	25	0.3908	0.2874	1	87	81	0.0
drakkarfjord_s41_B	drakkarfjord	41	B	US	Core destroyed	101	v520	14	45	100	100	31	26	5	0.1613	0.1613	1	31	28	0.0
drakkarfjord_s42_A	drakkarfjord	42	A	US	Core destroyed	116	v520	14	60	115	115	46	36	10	0.2174	0.2174	1	46	37	0.0
drakkarfjord_s42_B	drakkarfjord	42	B	US	Core destroyed	101	v520	14	45	100	100	31	26	5	0.1613	0.1613	1	31	28	0.0
glacierkeep_s40_A	glacierkeep	40	A	US	Core destroyed	157	v520	12	101	156	156	89	85	60	0.0449	0.6742	1	89	87	0.0
glacierkeep_s40_B	glacierkeep	40	B	US	Core destroyed	873	v520	12	116	872	872	104	30	11	0.7115	0.1058	1	104	91	0.0
glacierkeep_s41_A	glacierkeep	41	A	US	Core destroyed	119	v520	12	63	118	118	51	42	28	0.1765	0.549	1	51	49	0.0
glacierkeep_s41_B	glacierkeep	41	B	US	Core destroyed	512	v520	12	440	511	511	428	336	87	0.215	0.2033	1	428	380	0.0
glacierkeep_s42_A	glacierkeep	42	A	US	Core destroyed	112	v520	12	52	111	111	40	30	13	0.25	0.325	1	40	38	0.0
glacierkeep_s42_B	glacierkeep	42	B	US	Harvesters (tiebreak)	1000	v520	12	92	-1	999	80	51	6	0.3625	0.075	1	80	62	0.0
