tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
yulerune_s2_A	yulerune	2	A	US	Core destroyed	934	flagoff	8	5	38	48	-1	-1	909	902	0.9923	0.55	5	0	38,42,43,48,48	934	0	16,9
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	389	flagoff	8	6	41	71	-1	-1	363	351	0.9669	1.653	6	0	60,55,52,71,50,41	389	1	2,9
yulerune_s3_A	yulerune	3	A	OPP	Core destroyed	257	flagoff	8	5	32	48	-1	-1	158	104	0.6582	3.165	5	0	32,40,34,43,48	257	0	16,9
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	286	flagoff	8	6	32	54	-1	-1	162	99	0.6111	3.704	5	1	54,47,53,44,38,32	286	1	2,9
atoll_s28_A	atoll	28	A	US	Core destroyed	646	flagoff	8	6	7	172	-1	-1	581	57	0.0981	1.033	5	1	172,7,8,13,23,21	646	0	14,2
atoll_s28_B	atoll	28	B	US	Core destroyed	247	flagoff	8	6	7	180	-1	-1	173	39	0.2254	3.468	6	0	15,180,9,19,7,31	247	1	2,14
atoll_s29_A	atoll	29	A	US	Core destroyed	939	flagoff	8	5	8	892	-1	-1	111	40	0.3604	4.505	2	3	92,8,9,892,890	939	0	14,2
atoll_s29_B	atoll	29	B	OPP	Core destroyed	186	flagoff	8	5	8	35	-1	-1	126	52	0.4127	3.968	4	1	20,35,12,32,8	186	1	2,14
atoll_s30_A	atoll	30	A	US	Core destroyed	355	flagoff	8	8	7	266	290	266	270	14	0.0519	2.963	7	1	207,46,266,7,148,8,128,124	355	0	14,2
atoll_s30_B	atoll	30	B	OPP	Core destroyed	315	flagoff	8	0	-1	-1	-1	-1	57	3	0.0526	0.0	0	0		315	1	2,14
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	387	flagoff	8	8	10	230	-1	230	216	0	0.0	3.704	7	1	10,11,31,230,33,43,36,40	387	0	26,4
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	128	flagoff	8	8	10	87	87	87	85	0	0.0	9.412	7	1	84,77,87,74,20,14,11,10	128	1	2,24
drakkarfjord_s29_A	drakkarfjord	29	A	US	Core destroyed	268	flagoff	8	8	10	78	119	78	253	23	0.0909	3.162	7	1	10,11,30,78,32,44,35,41	268	0	26,4
drakkarfjord_s29_B	drakkarfjord	29	B	OPP	Core destroyed	281	flagoff	8	3	10	14	-1	-1	44	0	0.0	6.818	2	1	14,11,10	281	1	2,24
drakkarfjord_s30_A	drakkarfjord	30	A	US	Core destroyed	206	flagoff	8	8	10	53	53	53	188	48	0.2553	4.255	7	1	10,11,53,31,49,35,46,38	206	0	26,4
drakkarfjord_s30_B	drakkarfjord	30	B	US	Core destroyed	236	flagoff	8	8	10	81	81	81	193	0	0.0	4.145	7	1	74,78,71,81,20,14,11,10	236	1	2,24
glacierkeep_s28_A	glacierkeep	28	A	US	Titanium collected (tiebreak)	1000	flagoff	8	8	9	40	43	40	994	102	0.1026	0.805	8	0	35,37,21,40,17,10,14,9	1000	0	14,26
glacierkeep_s28_B	glacierkeep	28	B	US	Core destroyed	253	flagoff	8	8	9	61	61	61	247	54	0.2186	3.239	8	0	33,29,61,26,9,22,10,19	253	1	14,2
glacierkeep_s29_A	glacierkeep	29	A	OPP	Core destroyed	376	flagoff	8	8	9	55	-1	55	49	0	0.0	16.327	7	1	42,46,18,55,17,10,14,9	376	0	14,26
glacierkeep_s29_B	glacierkeep	29	B	US	Titanium collected (tiebreak)	1000	flagoff	8	8	9	36	46	36	206	132	0.6408	3.883	8	0	36,32,14,29,9,25,10,22	1000	1	14,2
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	128	flagoff	8	8	9	47	47	47	122	36	0.2951	6.557	8	0	42,44,27,47,17,10,14,9	128	0	14,26
glacierkeep_s30_B	glacierkeep	30	B	US	Core destroyed	245	flagoff	8	8	9	36	51	36	239	211	0.8828	3.347	8	0	36,32,14,29,9,25,10,22	245	1	14,2
midgard_s28_A	midgard	28	A	OPP	Core destroyed	184	flagoff	8	4	47	93	-1	-1	144	63	0.4375	2.778	4	0	47,51,56,93	184	0	26,26
midgard_s28_B	midgard	28	B	US	Core destroyed	199	flagoff	8	6	57	99	-1	-1	152	150	0.9868	3.947	6	0	64,60,65,57,99,73	199	1	2,2
midgard_s29_A	midgard	29	A	OPP	Core destroyed	156	flagoff	8	5	51	66	-1	-1	37	13	0.3514	13.514	5	0	51,55,59,66,62	156	0	26,26
midgard_s29_B	midgard	29	B	OPP	Core destroyed	258	flagoff	8	7	54	108	-1	-1	212	210	0.9906	3.302	5	2	57,54,60,108,56,99,71	258	1	2,2
midgard_s30_A	midgard	30	A	US	Core destroyed	441	flagoff	8	7	58	104	-1	-1	390	388	0.9949	1.795	4	3	58,70,62,104,68,93,89	441	0	26,26
midgard_s30_B	midgard	30	B	US	Core destroyed	210	flagoff	8	6	55	80	-1	-1	165	158	0.9576	3.636	6	0	62,66,59,55,80,73	210	1	2,2
nordkap_s28_A	nordkap	28	A	US	Core destroyed	164	flagoff	8	8	4	71	71	71	162	57	0.3519	4.938	5	3	42,32,44,36,19,4,71,12	164	0	9,18
nordkap_s28_B	nordkap	28	B	OPP	Core destroyed	373	flagoff	8	6	4	83	-1	-1	197	107	0.5431	3.046	4	2	83,5,4,53,8,15	373	1	9,6
nordkap_s29_A	nordkap	29	A	OPP	Core destroyed	375	flagoff	8	7	4	42	-1	-1	218	66	0.3028	3.211	6	1	27,25,42,22,20,5,4	375	0	9,18
nordkap_s29_B	nordkap	29	B	US	Core destroyed	203	flagoff	8	8	5	48	48	48	201	188	0.9353	3.98	8	0	16,18,10,21,5,48,6,34	203	1	9,6
nordkap_s30_A	nordkap	30	A	OPP	Core destroyed	441	flagoff	8	7	8	144	-1	-1	152	22	0.1447	4.605	6	1	41,47,142,9,144,8,57	441	0	9,18
nordkap_s30_B	nordkap	30	B	US	Core destroyed	447	flagoff	8	8	5	77	77	77	445	204	0.4584	1.798	7	1	16,18,10,45,5,61,6,77	447	1	9,6
yulerune_s28_A	yulerune	28	A	US	Core destroyed	400	flagoff	8	7	32	70	-1	-1	375	368	0.9813	1.867	6	1	32,70,38,38,42,41,44	400	0	16,9
yulerune_s28_B	yulerune	28	B	OPP	Core destroyed	281	flagoff	8	7	33	74	-1	-1	128	108	0.8438	5.469	6	1	40,50,54,49,43,33,74	281	1	2,9
yulerune_s29_A	yulerune	29	A	US	Core destroyed	335	flagoff	8	5	30	46	-1	-1	144	69	0.4792	3.472	5	0	30,38,42,45,46	335	0	16,9
yulerune_s29_B	yulerune	29	B	OPP	Core destroyed	124	flagoff	8	6	33	67	-1	-1	97	90	0.9278	6.186	6	0	33,52,67,49,45,37	124	1	2,9
yulerune_s30_A	yulerune	30	A	OPP	Harvesters (tiebreak)	1000	flagoff	8	5	32	44	-1	-1	975	968	0.9928	0.513	5	0	32,44,34,39,43	1000	0	16,9
yulerune_s30_B	yulerune	30	B	OPP	Core destroyed	309	flagoff	8	6	36	88	-1	-1	152	64	0.4211	3.947	6	0	43,47,48,88,36,39	309	1	2,9
atoll_s31_A	atoll	31	A	US	Core destroyed	223	flagoff	8	2	8	9	-1	-1	21	0	0.0	9.524	2	0	8,9	223	0	14,2
atoll_s31_B	atoll	31	B	OPP	Core destroyed	323	flagoff	8	7	7	52	-1	-1	114	36	0.3158	6.14	7	0	35,52,11,45,7,28,37	323	1	2,14
atoll_s32_A	atoll	32	A	US	Titanium collected (tiebreak)	1000	flagoff	8	6	12	314	-1	-1	828	74	0.0894	0.725	5	1	37,12,111,49,298,314	1000	0	14,2
atoll_s32_B	atoll	32	B	US	Core destroyed	141	flagoff	8	6	7	40	-1	-1	68	33	0.4853	8.824	6	0	15,40,9,20,7,32	141	1	2,14
atoll_s33_A	atoll	33	A	US	Core destroyed	420	flagoff	8	5	7	253	-1	-1	275	15	0.0545	1.818	3	2	94,10,174,7,253	420	0	14,2
atoll_s33_B	atoll	33	B	OPP	Core destroyed	241	flagoff	8	7	40	219	-1	-1	218	55	0.2523	3.211	7	0	72,68,78,61,219,40,42	241	1	2,14
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	800	flagoff	8	5	10	240	-1	-1	156	0	0.0	3.205	2	3	10,11,237,239,240	800	0	26,4
drakkarfjord_s31_B	drakkarfjord	31	B	OPP	Core destroyed	338	flagoff	8	4	10	45	-1	-1	74	0	0.0	5.405	3	1	45,14,11,10	338	1	2,24
drakkarfjord_s32_A	drakkarfjord	32	A	US	Core destroyed	448	flagoff	8	8	10	230	-1	230	249	1	0.004	3.213	7	1	10,11,31,230,33,43,36,40	448	0	26,4
drakkarfjord_s32_B	drakkarfjord	32	B	US	Core destroyed	325	flagoff	8	8	10	46	107	46	233	108	0.4635	3.433	6	2	46,42,10,36,11,35,17,21	325	1	2,24
drakkarfjord_s33_A	drakkarfjord	33	A	US	Core destroyed	276	flagoff	8	8	10	38	-1	38	268	13	0.0485	2.985	6	2	10,11,38,21,34,22,31,27	276	0	26,4
drakkarfjord_s33_B	drakkarfjord	33	B	US	Core destroyed	145	flagoff	8	8	10	46	46	46	92	0	0.0	8.696	7	1	40,36,46,33,21,14,11,10	145	1	2,24
glacierkeep_s31_A	glacierkeep	31	A	US	Core destroyed	313	flagoff	8	8	9	60	-1	60	297	169	0.569	2.694	7	1	43,57,18,60,17,10,14,9	313	0	14,26
glacierkeep_s31_B	glacierkeep	31	B	US	Core destroyed	345	flagoff	8	8	9	59	59	59	243	57	0.2346	3.292	8	0	33,29,59,26,9,22,10,19	345	1	14,2
glacierkeep_s32_A	glacierkeep	32	A	US	Core destroyed	217	flagoff	8	8	9	41	41	41	211	186	0.8815	3.791	8	0	36,38,21,41,17,10,14,9	217	0	14,26
glacierkeep_s32_B	glacierkeep	32	B	US	Core destroyed	193	flagoff	8	8	9	36	54	36	187	158	0.8449	4.278	8	0	36,32,14,29,9,25,10,22	193	1	14,2
glacierkeep_s33_A	glacierkeep	33	A	US	Core destroyed	125	flagoff	8	8	9	41	41	41	119	92	0.7731	6.723	8	0	36,38,21,41,17,10,14,9	125	0	14,26
glacierkeep_s33_B	glacierkeep	33	B	OPP	Core destroyed	598	flagoff	8	8	9	122	131	122	384	31	0.0807	2.083	8	0	122,44,20,48,9,54,10,57	598	1	14,2
midgard_s31_A	midgard	31	A	US	Core destroyed	336	flagoff	8	6	51	80	-1	-1	292	170	0.5822	2.055	6	0	51,80,55,59,66,62	336	0	26,26
midgard_s31_B	midgard	31	B	US	Titanium collected (tiebreak)	1000	flagoff	8	7	53	84	-1	-1	954	951	0.9969	0.734	5	2	66,60,64,84,61,81,53	1000	1	2,2
midgard_s32_A	midgard	32	A	OPP	Core destroyed	285	flagoff	8	7	51	100	-1	-1	241	237	0.9834	2.905	6	1	51,80,55,100,59,66,62	285	0	26,26
midgard_s32_B	midgard	32	B	US	Core destroyed	593	flagoff	8	7	56	86	-1	-1	548	544	0.9927	1.277	6	1	61,56,63,59,86,82,75	593	1	2,2
midgard_s33_A	midgard	33	A	US	Core destroyed	161	flagoff	8	6	51	80	-1	-1	117	107	0.9145	5.128	6	0	51,80,55,59,66,62	161	0	26,26
midgard_s33_B	midgard	33	B	US	Core destroyed	168	flagoff	8	7	56	124	-1	-1	123	117	0.9512	5.691	5	2	62,56,65,69,124,90,82	168	1	2,2
nordkap_s31_A	nordkap	31	A	US	Core destroyed	268	flagoff	8	6	5	24	-1	-1	236	65	0.2754	2.542	6	0	19,24,14,6,10,5	268	0	9,18
nordkap_s31_B	nordkap	31	B	US	Core destroyed	213	flagoff	8	8	4	60	60	60	211	198	0.9384	3.791	7	1	20,24,5,27,4,52,8,60	213	1	9,6
nordkap_s32_A	nordkap	32	A	US	Core destroyed	196	flagoff	8	7	4	108	-1	-1	194	181	0.933	3.608	5	2	15,14,5,101,4,108,7	196	0	9,18
nordkap_s32_B	nordkap	32	B	OPP	Core destroyed	196	flagoff	8	6	5	25	-1	-1	126	86	0.6825	4.762	6	0	25,21,16,6,5,11	196	1	9,6
nordkap_s33_A	nordkap	33	A	US	Core destroyed	353	flagoff	8	8	4	57	-1	57	167	111	0.6647	4.79	7	1	29,25,34,22,57,20,5,4	353	0	9,18
nordkap_s33_B	nordkap	33	B	US	Core destroyed	129	flagoff	8	7	5	27	-1	-1	127	113	0.8898	5.512	7	0	27,23,20,5,18,6,13	129	1	9,6
yulerune_s31_A	yulerune	31	A	OPP	Core destroyed	429	flagoff	8	6	34	61	-1	-1	404	395	0.9777	1.485	6	0	34,44,56,50,61,54	429	0	16,9
yulerune_s31_B	yulerune	31	B	US	Core destroyed	372	flagoff	8	6	34	49	-1	-1	351	295	0.8405	1.709	5	1	45,49,42,48,44,34	372	1	2,9
yulerune_s32_A	yulerune	32	A	US	Core destroyed	332	flagoff	8	6	32	44	-1	-1	307	302	0.9837	1.954	5	1	32,38,37,42,40,44	332	0	16,9
yulerune_s32_B	yulerune	32	B	OPP	Core destroyed	140	flagoff	8	6	30	61	-1	-1	116	107	0.9224	5.172	6	0	49,45,41,61,38,30	140	1	2,9
yulerune_s33_A	yulerune	33	A	US	Core destroyed	427	flagoff	8	7	36	72	-1	-1	405	393	0.9704	1.728	6	1	36,72,50,40,52,43,49	427	0	16,9
yulerune_s33_B	yulerune	33	B	OPP	Core destroyed	241	flagoff	8	6	35	76	-1	-1	67	49	0.7313	8.955	5	1	43,47,76,42,35,39	241	1	2,9
atoll_s34_A	atoll	34	A	US	Titanium collected (tiebreak)	1000	flagoff	8	6	12	58	-1	-1	132	18	0.1364	4.545	6	0	38,58,12,14,21,17	1000	0	14,2
atoll_s34_B	atoll	34	B	OPP	Core destroyed	172	flagoff	8	1	46	46	-1	-1	34	0	0.0	2.941	1	0	46	172	1	2,14
atoll_s35_A	atoll	35	A	US	Core destroyed	458	flagoff	8	5	10	116	-1	-1	392	60	0.1531	1.276	4	1	12,10,36,116,115	458	0	14,2
atoll_s35_B	atoll	35	B	OPP	Core destroyed	214	flagoff	8	7	7	75	-1	-1	80	44	0.55	8.75	7	0	43,75,11,46,7,30,38	214	1	2,14
atoll_s36_A	atoll	36	A	OPP	Core destroyed	168	flagoff	8	6	7	129	-1	-1	92	0	0.0	6.522	5	1	10,7,129,100,105,101	168	0	14,2
atoll_s36_B	atoll	36	B	US	Core destroyed	248	flagoff	8	6	11	187	-1	-1	195	54	0.2769	3.077	6	0	183,38,187,28,11,13	248	1	2,14
drakkarfjord_s34_A	drakkarfjord	34	A	US	Titanium collected (tiebreak)	1000	flagoff	8	7	10	43	-1	-1	81	0	0.0	8.642	6	1	10,11,31,33,43,36,40	1000	0	26,4
drakkarfjord_s34_B	drakkarfjord	34	B	OPP	Core destroyed	712	flagoff	8	3	10	14	-1	-1	116	0	0.0	2.586	2	1	14,11,10	712	1	2,24
drakkarfjord_s35_A	drakkarfjord	35	A	US	Core destroyed	596	flagoff	8	8	10	37	42	37	588	191	0.3248	1.361	7	1	10,11,37,18,33,22,30,26	596	0	26,4
drakkarfjord_s35_B	drakkarfjord	35	B	US	Core destroyed	126	flagoff	8	8	10	48	48	48	118	0	0.0	6.78	7	1	40,36,48,33,21,14,11,10	126	1	2,24
drakkarfjord_s36_A	drakkarfjord	36	A	US	Core destroyed	453	flagoff	8	8	10	71	167	71	445	32	0.0719	1.798	7	1	10,11,31,71,33,43,36,40	453	0	26,4
drakkarfjord_s36_B	drakkarfjord	36	B	US	Titanium collected (tiebreak)	1000	flagoff	8	3	10	14	-1	-1	115	0	0.0	2.609	2	1	14,11,10	1000	1	2,24
glacierkeep_s34_A	glacierkeep	34	A	US	Titanium collected (tiebreak)	1000	flagoff	8	8	9	64	75	64	258	160	0.6202	3.101	7	1	51,61,18,64,17,10,14,9	1000	0	14,26
glacierkeep_s34_B	glacierkeep	34	B	US	Titanium collected (tiebreak)	1000	flagoff	8	8	10	42	42	42	94	0	0.0	8.511	8	0	34,30,42,27,10,23,11,20	1000	1	14,2
glacierkeep_s35_A	glacierkeep	35	A	US	Core destroyed	163	flagoff	8	8	9	50	50	50	157	50	0.3185	5.096	8	0	44,47,29,50,17,10,14,9	163	0	14,26
glacierkeep_s35_B	glacierkeep	35	B	US	Core destroyed	297	flagoff	8	8	9	40	48	40	190	83	0.4368	4.211	8	0	28,30,20,33,9,37,10,40	297	1	14,2
glacierkeep_s36_A	glacierkeep	36	A	US	Core destroyed	181	flagoff	8	8	9	57	57	57	175	63	0.36	4.571	8	0	47,54,21,57,17,10,14,9	181	0	14,26
glacierkeep_s36_B	glacierkeep	36	B	US	Core destroyed	241	flagoff	8	8	9	36	44	36	182	58	0.3187	4.396	8	0	36,32,14,29,9,25,10,22	241	1	14,2
midgard_s34_A	midgard	34	A	US	Core destroyed	240	flagoff	8	7	57	110	-1	-1	194	190	0.9794	3.608	4	3	57,102,57,110,67,73,65	240	0	26,26
midgard_s34_B	midgard	34	B	US	Core destroyed	385	flagoff	8	7	55	102	-1	-1	340	331	0.9735	2.059	6	1	62,66,59,55,84,102,71	385	1	2,2
midgard_s35_A	midgard	35	A	US	Core destroyed	196	flagoff	8	7	54	98	-1	-1	150	148	0.9867	4.667	6	1	54,85,58,98,64,71,67	196	0	26,26
midgard_s35_B	midgard	35	B	OPP	Core destroyed	801	flagoff	8	6	49	80	-1	-1	763	752	0.9856	0.786	6	0	56,60,53,49,80,68	801	1	2,2
midgard_s36_A	midgard	36	A	OPP	Core destroyed	390	flagoff	8	6	53	82	-1	-1	344	340	0.9884	1.744	6	0	53,82,57,61,68,64	390	0	26,26
midgard_s36_B	midgard	36	B	OPP	Core destroyed	298	flagoff	8	4	54	67	-1	-1	251	251	1.0	1.594	3	1	67,54,63,57	298	1	2,2
nordkap_s34_A	nordkap	34	A	US	Core destroyed	374	flagoff	8	7	5	40	-1	-1	228	87	0.3816	3.07	7	0	31,33,16,40,6,10,5	374	0	9,18
nordkap_s34_B	nordkap	34	B	US	Core destroyed	383	flagoff	8	8	9	33	33	33	381	365	0.958	2.1	8	0	17,19,11,22,9,26,33,29	383	1	9,6
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	430	flagoff	8	5	5	73	-1	-1	428	144	0.3364	1.168	4	1	29,31,6,73,5	430	0	9,18
nordkap_s35_B	nordkap	35	B	OPP	Core destroyed	477	flagoff	8	5	4	24	-1	-1	241	139	0.5768	2.075	4	1	24,5,4,8,15	477	1	9,6
nordkap_s36_A	nordkap	36	A	OPP	Core destroyed	337	flagoff	8	6	5	28	-1	-1	106	15	0.1415	5.66	6	0	22,18,28,15,6,5	337	0	9,18
nordkap_s36_B	nordkap	36	B	US	Core destroyed	144	flagoff	8	7	5	38	-1	-1	142	129	0.9085	4.93	7	0	16,18,10,38,5,6,32	144	1	9,6
yulerune_s34_A	yulerune	34	A	US	Core destroyed	183	flagoff	8	7	36	76	-1	-1	161	152	0.9441	4.348	6	1	36,76,44,37,50,43,51	183	0	16,9
yulerune_s34_B	yulerune	34	B	US	Core destroyed	312	flagoff	8	7	37	81	-1	-1	287	281	0.9791	2.439	5	2	45,50,42,53,81,52,37	312	1	2,9
yulerune_s35_A	yulerune	35	A	US	Core destroyed	219	flagoff	8	5	31	51	-1	-1	197	186	0.9442	2.538	5	0	31,46,44,43,51	219	0	16,9
yulerune_s35_B	yulerune	35	B	OPP	Core destroyed	264	flagoff	8	6	37	46	-1	-1	113	94	0.8319	5.31	6	0	46,44,41,41,37,39	264	1	2,9
yulerune_s36_A	yulerune	36	A	US	Core destroyed	172	flagoff	8	7	28	71	-1	-1	150	142	0.9467	4.667	6	1	30,71,35,28,41,48,44	172	0	16,9
yulerune_s36_B	yulerune	36	B	US	Core destroyed	289	flagoff	8	7	35	88	-1	-1	264	177	0.6705	2.652	6	1	49,45,46,42,35,40,88	289	1	2,9
atoll_s37_A	atoll	37	A	OPP	Core destroyed	388	flagoff	8	2	8	9	-1	-1	20	0	0.0	10.0	2	0	8,9	388	0	14,2
atoll_s37_B	atoll	37	B	OPP	Core destroyed	988	flagoff	8	4	7	34	-1	-1	72	17	0.2361	5.556	4	0	34,9,7,15	988	1	2,14
atoll_s38_A	atoll	38	A	OPP	Core destroyed	267	flagoff	8	5	7	43	-1	-1	67	16	0.2388	7.463	5	0	43,7,9,16,12	267	0	14,2
atoll_s38_B	atoll	38	B	OPP	Core destroyed	774	flagoff	8	6	7	158	-1	-1	257	47	0.1829	2.335	4	2	52,158,28,7,10,20	774	1	2,14
atoll_s39_A	atoll	39	A	OPP	Core destroyed	339	flagoff	8	5	7	82	-1	-1	116	12	0.1034	4.31	5	0	31,26,7,10,82	339	0	14,2
atoll_s39_B	atoll	39	B	OPP	Core destroyed	215	flagoff	8	4	68	89	-1	-1	58	9	0.1552	6.897	4	0	69,68,78,89	215	1	2,14
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	Core destroyed	986	flagoff	8	7	10	43	-1	-1	146	33	0.226	4.795	6	1	10,11,31,33,43,36,40	986	0	26,4
drakkarfjord_s37_B	drakkarfjord	37	B	US	Core destroyed	616	flagoff	8	8	10	460	-1	460	186	0	0.0	4.301	7	1	460,166,44,163,91,14,11,10	616	1	2,24
drakkarfjord_s38_A	drakkarfjord	38	A	US	Core destroyed	268	flagoff	8	7	10	63	-1	-1	224	0	0.0	3.125	6	1	10,11,29,31,63,34,42	268	0	26,4
drakkarfjord_s38_B	drakkarfjord	38	B	OPP	Titanium collected (tiebreak)	1000	flagoff	8	8	10	46	46	46	444	0	0.0	1.802	7	1	40,36,46,33,21,14,11,10	1000	1	2,24
