tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
yulerune_s1_B	yulerune	1	B	US	Core destroyed	243	parent	8	7	33	56	-1	-1	216	216	1.0	3.241	5	2	42,39,56,35,54,33,34	243	1	2,9
yulerune_s2_A	yulerune	2	A	US	Core destroyed	573	parent	8	5	32	47	-1	-1	548	544	0.9927	0.912	5	0	32,38,35,40,47	573	0	16,9
yulerune_s2_B	yulerune	2	B	OPP	Core destroyed	166	parent	8	6	34	72	-1	-1	138	68	0.4928	4.348	6	0	38,65,56,72,34,39	166	1	2,9
yulerune_s3_A	yulerune	3	A	OPP	Titanium collected (tiebreak)	1000	parent	8	7	34	72	-1	-1	973	968	0.9949	0.719	6	1	34,72,43,40,45,53,48	1000	0	16,9
yulerune_s3_B	yulerune	3	B	OPP	Core destroyed	194	parent	8	5	32	45	-1	-1	169	162	0.9586	2.959	4	1	41,45,44,38,32	194	1	2,9
atoll_s28_A	atoll	28	A	US	Core destroyed	558	parent	8	7	8	58	-1	-1	338	121	0.358	2.071	7	0	13,8,58,37,39,46,42	558	0	14,2
atoll_s28_B	atoll	28	B	US	Core destroyed	196	parent	8	7	8	65	-1	-1	192	151	0.7865	3.646	7	0	23,41,15,35,8,9,65	196	1	2,14
atoll_s29_A	atoll	29	A	US	Core destroyed	188	parent	8	8	12	123	123	123	184	64	0.3478	4.348	8	0	33,12,62,108,55,114,123,119	188	0	14,2
atoll_s29_B	atoll	29	B	OPP	Core destroyed	843	parent	8	7	10	68	-1	-1	133	23	0.1729	5.263	5	2	27,53,15,68,14,10,11	843	1	2,14
atoll_s30_A	atoll	30	A	US	Core destroyed	158	parent	8	6	8	63	-1	-1	154	24	0.1558	3.896	6	0	10,8,48,63,43,60	158	0	14,2
atoll_s30_B	atoll	30	B	OPP	Core destroyed	642	parent	8	5	8	570	-1	-1	206	53	0.2573	2.427	5	0	10,570,8,16,80	642	1	2,14
drakkarfjord_s28_A	drakkarfjord	28	A	US	Core destroyed	240	parent	8	8	10	37	42	37	232	176	0.7586	3.448	7	1	10,11,37,18,33,22,30,26	240	0	26,4
drakkarfjord_s28_B	drakkarfjord	28	B	US	Core destroyed	712	parent	8	8	10	80	-1	80	387	38	0.0982	2.067	6	2	80,76,45,73,60,14,11,10	712	1	2,24
drakkarfjord_s29_A	drakkarfjord	29	A	OPP	Core destroyed	684	parent	8	7	10	43	-1	-1	114	0	0.0	6.14	6	1	10,11,31,33,43,36,40	684	0	26,4
drakkarfjord_s29_B	drakkarfjord	29	B	US	Titanium collected (tiebreak)	1000	parent	8	8	10	47	47	47	992	0	0.0	0.806	7	1	40,36,47,33,21,14,11,10	1000	1	2,24
drakkarfjord_s30_A	drakkarfjord	30	A	OPP	Core destroyed	676	parent	8	8	10	65	-1	65	82	0	0.0	9.756	6	2	10,11,25,65,27,37,30,34	676	0	26,4
drakkarfjord_s30_B	drakkarfjord	30	B	US	Titanium collected (tiebreak)	1000	parent	8	8	10	68	263	68	992	409	0.4123	0.806	7	1	68,64,45,61,50,14,11,10	1000	1	2,24
glacierkeep_s28_A	glacierkeep	28	A	US	Core destroyed	329	parent	8	8	9	50	50	50	323	67	0.2074	2.477	8	0	44,47,29,50,17,10,14,9	329	0	14,26
glacierkeep_s28_B	glacierkeep	28	B	US	Core destroyed	209	parent	8	8	9	36	59	36	203	171	0.8424	3.941	8	0	36,32,14,29,9,25,10,22	209	1	14,2
glacierkeep_s29_A	glacierkeep	29	A	US	Core destroyed	174	parent	8	8	9	44	44	44	168	59	0.3512	4.762	8	0	39,41,29,44,17,10,14,9	174	0	14,26
glacierkeep_s29_B	glacierkeep	29	B	US	Core destroyed	253	parent	8	8	9	60	60	60	247	55	0.2227	3.239	8	0	33,29,60,26,9,22,10,19	253	1	14,2
glacierkeep_s30_A	glacierkeep	30	A	US	Core destroyed	377	parent	8	8	9	46	46	46	371	116	0.3127	2.156	8	0	41,43,23,46,19,10,14,9	377	0	14,26
glacierkeep_s30_B	glacierkeep	30	B	US	Titanium collected (tiebreak)	1000	parent	8	8	9	36	46	36	206	132	0.6408	3.883	8	0	36,32,14,29,9,25,10,22	1000	1	14,2
midgard_s28_A	midgard	28	A	OPP	Core destroyed	853	parent	8	6	49	100	-1	-1	365	217	0.5945	1.644	6	0	49,100,53,61,84,64	853	0	26,26
midgard_s28_B	midgard	28	B	OPP	Core destroyed	186	parent	8	5	60	75	-1	-1	80	31	0.3875	6.25	5	0	71,75,68,64,60	186	1	2,2
midgard_s29_A	midgard	29	A	OPP	Core destroyed	301	parent	8	2	54	67	-1	-1	42	3	0.0714	4.762	2	0	54,67	301	0	26,26
midgard_s29_B	midgard	29	B	OPP	Core destroyed	285	parent	8	7	57	109	-1	-1	114	87	0.7632	6.14	5	2	66,81,63,109,57,95,67	285	1	2,2
midgard_s30_A	midgard	30	A	US	Titanium collected (tiebreak)	1000	parent	8	7	56	114	-1	-1	951	948	0.9968	0.736	5	2	56,94,60,114,64,71,67	1000	0	26,26
midgard_s30_B	midgard	30	B	US	Core destroyed	235	parent	8	7	55	86	-1	-1	186	186	1.0	3.763	5	2	61,55,63,86,59,79,72	235	1	2,2
nordkap_s28_A	nordkap	28	A	US	Titanium collected (tiebreak)	1000	parent	8	8	5	44	49	44	293	156	0.5324	2.73	8	0	21,25,18,32,18,6,44,5	1000	0	9,18
nordkap_s28_B	nordkap	28	B	OPP	Core destroyed	658	parent	8	8	5	87	87	87	656	645	0.9832	1.22	7	1	16,18,10,38,5,87,6,27	658	1	9,6
nordkap_s29_A	nordkap	29	A	OPP	Core destroyed	311	parent	8	4	5	71	-1	-1	152	79	0.5197	2.632	4	0	65,71,6,5	311	0	9,18
nordkap_s29_B	nordkap	29	B	OPP	Core destroyed	188	parent	8	5	4	24	-1	-1	134	104	0.7761	3.731	4	1	24,5,4,8,15	188	1	9,6
nordkap_s30_A	nordkap	30	A	US	Core destroyed	521	parent	8	8	5	305	-1	305	441	21	0.0476	1.814	8	0	27,33,26,40,20,6,305,5	521	0	9,18
nordkap_s30_B	nordkap	30	B	US	Core destroyed	272	parent	8	8	5	103	103	103	241	198	0.8216	3.32	8	0	16,103,10,56,5,60,6,76	272	1	9,6
yulerune_s28_A	yulerune	28	A	US	Core destroyed	334	parent	8	6	30	45	-1	-1	312	300	0.9615	1.923	6	0	30,38,39,42,42,45	334	0	16,9
yulerune_s28_B	yulerune	28	B	OPP	Core destroyed	128	parent	8	6	28	64	-1	-1	107	101	0.9439	5.607	5	1	36,42,64,44,35,28	128	1	2,9
yulerune_s29_A	yulerune	29	A	US	Core destroyed	280	parent	8	7	32	72	-1	-1	255	248	0.9725	2.745	6	1	32,72,38,38,42,41,45	280	0	16,9
yulerune_s29_B	yulerune	29	B	US	Core destroyed	300	parent	8	7	27	77	-1	-1	279	264	0.9462	2.509	6	1	44,40,44,37,33,27,77	300	1	2,9
yulerune_s30_A	yulerune	30	A	US	Core destroyed	572	parent	8	5	36	49	-1	-1	547	537	0.9817	0.914	5	0	36,41,41,45,49	572	0	16,9
yulerune_s30_B	yulerune	30	B	OPP	Core destroyed	412	parent	8	6	32	54	-1	-1	164	92	0.561	3.659	6	0	54,47,50,44,38,32	412	1	2,9
atoll_s31_A	atoll	31	A	US	Core destroyed	335	parent	8	7	7	166	-1	-1	331	310	0.9366	2.115	7	0	16,11,166,7,48,52,47	335	0	14,2
atoll_s31_B	atoll	31	B	OPP	Core destroyed	149	parent	8	4	8	46	-1	-1	61	3	0.0492	6.557	4	0	46,8,9,18	149	1	2,14
atoll_s32_A	atoll	32	A	US	Core destroyed	660	parent	8	7	10	170	-1	-1	239	5	0.0209	2.929	7	0	12,10,157,48,138,170,163	660	0	14,2
atoll_s32_B	atoll	32	B	OPP	Core destroyed	214	parent	8	6	7	46	-1	-1	168	44	0.2619	3.571	6	0	43,11,46,7,30,38	214	1	2,14
atoll_s33_A	atoll	33	A	OPP	Core destroyed	359	parent	8	6	7	63	-1	-1	148	11	0.0743	4.054	6	0	44,63,7,9,16,12	359	0	14,2
atoll_s33_B	atoll	33	B	OPP	Core destroyed	148	parent	8	7	7	61	-1	-1	71	28	0.3944	9.859	7	0	26,61,20,31,7,8,41	148	1	2,14
drakkarfjord_s31_A	drakkarfjord	31	A	US	Core destroyed	407	parent	8	8	10	37	42	37	228	117	0.5132	3.509	7	1	10,11,37,18,33,22,30,26	407	0	26,4
drakkarfjord_s31_B	drakkarfjord	31	B	US	Core destroyed	129	parent	8	8	10	48	48	48	121	0	0.0	6.612	7	1	40,36,48,33,21,14,11,10	129	1	2,24
drakkarfjord_s32_A	drakkarfjord	32	A	OPP	Core destroyed	270	parent	8	7	10	37	-1	-1	77	0	0.0	9.091	6	1	10,11,25,27,37,30,34	270	0	26,4
drakkarfjord_s32_B	drakkarfjord	32	B	US	Titanium collected (tiebreak)	1000	parent	8	8	10	71	-1	71	298	28	0.094	2.685	7	1	65,67,45,71,56,14,11,10	1000	1	2,24
drakkarfjord_s33_A	drakkarfjord	33	A	US	Core destroyed	132	parent	8	8	10	36	41	36	124	70	0.5645	6.452	7	1	10,11,36,18,32,22,29,25	132	0	26,4
drakkarfjord_s33_B	drakkarfjord	33	B	US	Core destroyed	129	parent	8	8	10	48	48	48	121	0	0.0	6.612	7	1	40,36,48,33,21,14,11,10	129	1	2,24
glacierkeep_s31_A	glacierkeep	31	A	OPP	Core destroyed	521	parent	8	8	9	56	56	56	126	71	0.5635	6.349	8	0	56,52,28,49,17,10,14,9	521	0	14,26
glacierkeep_s31_B	glacierkeep	31	B	US	Titanium collected (tiebreak)	1000	parent	8	8	9	36	44	36	134	57	0.4254	5.97	8	0	36,32,14,29,9,25,10,22	1000	1	14,2
glacierkeep_s32_A	glacierkeep	32	A	US	Core destroyed	173	parent	8	8	9	47	47	47	167	57	0.3413	4.79	8	0	42,44,27,47,17,10,14,9	173	0	14,26
glacierkeep_s32_B	glacierkeep	32	B	US	Core destroyed	865	parent	8	8	9	36	51	36	768	96	0.125	1.042	8	0	36,32,14,29,9,25,10,22	865	1	14,2
glacierkeep_s33_A	glacierkeep	33	A	US	Core destroyed	217	parent	8	8	9	41	41	41	211	136	0.6445	3.791	8	0	36,38,21,41,17,10,14,9	217	0	14,26
glacierkeep_s33_B	glacierkeep	33	B	US	Core destroyed	189	parent	8	8	9	44	46	44	183	46	0.2514	4.372	8	0	33,29,44,26,9,22,10,19	189	1	14,2
midgard_s31_A	midgard	31	A	OPP	Core destroyed	265	parent	8	7	54	104	-1	-1	219	215	0.9817	3.196	5	2	54,88,58,104,63,73,69	265	0	26,26
midgard_s31_B	midgard	31	B	OPP	Core destroyed	493	parent	8	6	55	356	-1	-1	446	443	0.9933	1.345	5	1	101,106,98,356,69,55	493	1	2,2
midgard_s32_A	midgard	32	A	OPP	Core destroyed	246	parent	8	2	52	59	-1	-1	202	30	0.1485	0.99	2	0	52,59	246	0	26,26
midgard_s32_B	midgard	32	B	US	Core destroyed	400	parent	8	7	54	81	-1	-1	352	351	0.9972	1.989	5	2	59,54,62,73,61,81,74	400	1	2,2
midgard_s33_A	midgard	33	A	OPP	Core destroyed	346	parent	8	6	54	113	-1	-1	126	41	0.3254	4.762	6	0	54,58,113,68,75,71	346	0	26,26
midgard_s33_B	midgard	33	B	US	Core destroyed	201	parent	8	6	56	90	-1	-1	156	154	0.9872	3.846	6	0	63,67,60,56,81,90	201	1	2,2
nordkap_s31_A	nordkap	31	A	US	Core destroyed	184	parent	8	8	5	42	42	42	182	170	0.9341	4.396	8	0	42,37,17,34,15,6,10,5	184	0	9,18
nordkap_s31_B	nordkap	31	B	US	Core destroyed	300	parent	8	8	5	65	65	65	298	84	0.2819	2.685	7	1	16,18,10,44,5,50,6,65	300	1	9,6
nordkap_s32_A	nordkap	32	A	US	Core destroyed	269	parent	8	5	8	56	-1	-1	258	8	0.031	1.938	4	1	50,56,47,9,8	269	0	9,18
nordkap_s32_B	nordkap	32	B	US	Core destroyed	725	parent	8	7	5	80	-1	-1	677	403	0.5953	1.034	7	0	16,57,80,44,5,6,28	725	1	9,6
nordkap_s33_A	nordkap	33	A	OPP	Core destroyed	889	parent	8	8	5	99	416	99	887	779	0.8782	0.902	7	1	22,96,18,99,88,5,15,6	889	0	9,18
nordkap_s33_B	nordkap	33	B	US	Core destroyed	482	parent	8	7	5	76	-1	-1	480	438	0.9125	1.458	7	0	20,22,76,5,45,6,70	482	1	9,6
yulerune_s31_A	yulerune	31	A	US	Core destroyed	508	parent	8	7	29	67	-1	-1	486	447	0.9198	1.44	6	1	29,67,39,40,43,43,46	508	0	16,9
yulerune_s31_B	yulerune	31	B	OPP	Core destroyed	180	parent	8	7	39	112	-1	-1	155	145	0.9355	4.516	5	2	44,48,112,49,96,45,39	180	1	2,9
yulerune_s32_A	yulerune	32	A	OPP	Core destroyed	157	parent	8	5	37	47	-1	-1	65	30	0.4615	7.692	5	0	38,44,37,40,47	157	0	16,9
yulerune_s32_B	yulerune	32	B	US	Core destroyed	889	parent	8	6	36	46	-1	-1	863	861	0.9977	0.695	6	0	46,43,41,44,36,39	889	1	2,9
yulerune_s33_A	yulerune	33	A	OPP	Core destroyed	168	parent	8	5	36	47	-1	-1	140	135	0.9643	3.571	4	1	36,44,42,41,47	168	0	16,9
yulerune_s33_B	yulerune	33	B	US	Core destroyed	274	parent	8	6	32	70	-1	-1	252	244	0.9683	2.381	5	1	36,45,70,42,35,32	274	1	2,9
atoll_s34_A	atoll	34	A	OPP	Core destroyed	233	parent	8	5	8	46	-1	-1	60	0	0.0	8.333	5	0	12,8,42,46,41	233	0	14,2
atoll_s34_B	atoll	34	B	US	Core destroyed	616	parent	8	7	8	500	-1	-1	257	31	0.1206	2.724	7	0	500,10,210,8,483,16,80	616	1	2,14
atoll_s35_A	atoll	35	A	OPP	Core destroyed	662	parent	8	7	8	208	-1	-1	312	16	0.0513	2.244	7	0	10,8,60,208,36,46,39	662	0	14,2
atoll_s35_B	atoll	35	B	OPP	Core destroyed	275	parent	8	4	8	212	-1	-1	135	5	0.037	2.963	2	2	129,212,8,51	275	1	2,14
atoll_s36_A	atoll	36	A	US	Core destroyed	657	parent	8	5	7	33	-1	-1	188	30	0.1596	2.66	4	1	7,33,14,18,17	657	0	14,2
atoll_s36_B	atoll	36	B	OPP	Core destroyed	175	parent	8	6	7	49	-1	-1	84	17	0.2024	7.143	6	0	36,31,49,7,8,12	175	1	2,14
drakkarfjord_s34_A	drakkarfjord	34	A	US	Core destroyed	379	parent	8	8	10	93	-1	93	201	20	0.0995	3.98	7	1	10,11,31,93,33,43,36,40	379	0	26,4
drakkarfjord_s34_B	drakkarfjord	34	B	OPP	Core destroyed	902	parent	8	4	10	155	-1	-1	105	0	0.0	3.81	2	2	155,14,11,10	902	1	2,24
drakkarfjord_s35_A	drakkarfjord	35	A	OPP	Core destroyed	290	parent	8	5	10	112	-1	-1	39	0	0.0	12.821	4	1	10,11,112,109,104	290	0	26,4
drakkarfjord_s35_B	drakkarfjord	35	B	US	Core destroyed	161	parent	8	8	10	46	46	46	153	0	0.0	5.229	7	1	40,36,46,33,21,14,11,10	161	1	2,24
drakkarfjord_s36_A	drakkarfjord	36	A	OPP	Core destroyed	588	parent	8	8	10	573	-1	573	134	31	0.2313	5.97	7	1	10,11,31,573,33,43,36,40	588	0	26,4
drakkarfjord_s36_B	drakkarfjord	36	B	US	Core destroyed	150	parent	8	8	10	46	46	46	142	0	0.0	5.634	7	1	40,36,46,33,21,14,11,10	150	1	2,24
glacierkeep_s34_A	glacierkeep	34	A	US	Core destroyed	152	parent	8	8	10	49	49	49	146	51	0.3493	5.479	8	0	44,46,30,49,18,11,15,10	152	0	14,26
glacierkeep_s34_B	glacierkeep	34	B	US	Core destroyed	509	parent	8	8	9	55	55	55	503	60	0.1193	1.59	8	0	33,29,55,26,9,22,10,19	509	1	14,2
glacierkeep_s35_A	glacierkeep	35	A	US	Core destroyed	241	parent	8	8	10	44	44	44	235	206	0.8766	3.404	8	0	39,41,22,44,18,11,15,10	241	0	14,26
glacierkeep_s35_B	glacierkeep	35	B	OPP	Core destroyed	437	parent	8	8	9	36	44	36	138	69	0.5	5.797	8	0	36,32,14,29,9,25,10,22	437	1	14,2
glacierkeep_s36_A	glacierkeep	36	A	US	Core destroyed	163	parent	8	8	9	50	50	50	157	50	0.3185	5.096	8	0	44,47,29,50,17,10,14,9	163	0	14,26
glacierkeep_s36_B	glacierkeep	36	B	US	Core destroyed	509	parent	8	8	9	55	55	55	503	60	0.1193	1.59	8	0	33,29,55,26,9,22,10,19	509	1	14,2
midgard_s34_A	midgard	34	A	OPP	Core destroyed	243	parent	8	5	54	62	-1	-1	76	44	0.5789	6.579	4	1	54,58,62,55,62	243	0	26,26
midgard_s34_B	midgard	34	B	US	Titanium collected (tiebreak)	1000	parent	8	6	56	288	-1	-1	811	461	0.5684	0.74	6	0	63,67,60,56,96,288	1000	1	2,2
midgard_s35_A	midgard	35	A	OPP	Core destroyed	296	parent	8	6	70	92	-1	-1	245	96	0.3918	2.449	5	1	80,70,84,92,73,72	296	0	26,26
midgard_s35_B	midgard	35	B	OPP	Core destroyed	505	parent	8	6	56	81	-1	-1	458	456	0.9956	1.31	6	0	60,56,63,76,67,81	505	1	2,2
midgard_s36_A	midgard	36	A	OPP	Core destroyed	447	parent	8	7	51	95	-1	-1	403	392	0.9727	1.737	5	2	51,86,62,95,66,73,69	447	0	26,26
midgard_s36_B	midgard	36	B	US	Core destroyed	385	parent	8	7	55	102	-1	-1	340	331	0.9735	2.059	6	1	62,66,59,55,84,102,71	385	1	2,2
nordkap_s34_A	nordkap	34	A	OPP	Core destroyed	192	parent	8	5	5	48	-1	-1	190	128	0.6737	2.632	5	0	41,45,48,6,5	192	0	9,18
nordkap_s34_B	nordkap	34	B	US	Core destroyed	541	parent	8	7	4	285	-1	-1	539	529	0.9814	1.299	6	1	285,24,5,4,45,8,15	541	1	9,6
nordkap_s35_A	nordkap	35	A	OPP	Core destroyed	469	parent	8	8	5	80	-1	80	328	194	0.5915	2.439	7	1	20,19,29,11,72,5,80,6	469	0	9,18
nordkap_s35_B	nordkap	35	B	US	Core destroyed	403	parent	8	8	9	29	29	29	360	250	0.6944	2.222	8	0	17,19,11,22,9,24,29,23	403	1	9,6
nordkap_s36_A	nordkap	36	A	OPP	Core destroyed	334	parent	8	3	4	16	-1	-1	305	273	0.8951	0.984	1	2	16,4,12	334	0	9,18
nordkap_s36_B	nordkap	36	B	OPP	Core destroyed	178	parent	8	5	4	31	-1	-1	107	74	0.6916	4.673	4	1	5,4,31,8,15	178	1	9,6
yulerune_s34_A	yulerune	34	A	OPP	Core destroyed	251	parent	8	5	34	63	-1	-1	225	217	0.9644	2.222	5	0	34,44,63,60,54	251	0	16,9
yulerune_s34_B	yulerune	34	B	US	Core destroyed	236	parent	8	6	34	60	-1	-1	215	204	0.9488	2.791	6	0	40,46,48,60,44,34	236	1	2,9
yulerune_s35_A	yulerune	35	A	US	Core destroyed	781	parent	8	6	28	54	-1	-1	759	744	0.9802	0.791	6	0	43,49,28,54,31,51	781	0	16,9
yulerune_s35_B	yulerune	35	B	US	Titanium collected (tiebreak)	1000	parent	8	6	36	60	-1	-1	975	350	0.359	0.615	6	0	40,60,36,56,52,43	1000	1	2,9
yulerune_s36_A	yulerune	36	A	US	Core destroyed	785	parent	8	3	38	42	-1	-1	759	616	0.8116	0.395	3	0	38,42,40	785	0	16,9
yulerune_s36_B	yulerune	36	B	OPP	Core destroyed	237	parent	8	7	42	88	-1	-1	211	204	0.9668	3.318	5	2	64,56,88,53,77,46,42	237	1	2,9
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	8	7	8	63	-1	-1	210	14	0.0667	3.333	7	0	10,8,63,40,42,49,45	531	0	14,2
atoll_s37_B	atoll	37	B	OPP	Core destroyed	128	parent	8	2	48	49	-1	-1	45	0	0.0	4.444	2	0	49,48	128	1	2,14
atoll_s38_A	atoll	38	A	US	Core destroyed	162	parent	8	6	7	66	-1	-1	120	43	0.3583	5.0	6	0	66,7,8,13,23,21	162	0	14,2
atoll_s38_B	atoll	38	B	OPP	Core destroyed	186	parent	8	8	8	179	-1	179	156	51	0.3269	5.128	7	1	20,35,12,32,8,179,146,148	186	1	2,14
atoll_s39_A	atoll	39	A	OPP	Core destroyed	322	parent	8	4	7	114	-1	-1	49	0	0.0	8.163	2	2	46,7,8,114	322	0	14,2
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	8	6	7	54	-1	-1	560	453	0.8089	1.071	6	0	50,9,54,7,17,22	952	1	2,14
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	Core destroyed	276	parent	8	8	10	78	-1	78	162	23	0.142	4.938	7	1	10,11,30,78,32,44,35,41	276	0	26,4
drakkarfjord_s37_B	drakkarfjord	37	B	US	Core destroyed	141	parent	8	8	10	94	94	94	116	30	0.2586	6.897	7	1	94,87,28,84,20,14,11,10	141	1	2,24
drakkarfjord_s38_A	drakkarfjord	38	A	OPP	Core destroyed	608	parent	8	7	10	43	-1	-1	100	4	0.04	7.0	6	1	10,11,31,33,43,36,40	608	0	26,4
drakkarfjord_s38_B	drakkarfjord	38	B	US	Core destroyed	582	parent	8	8	10	68	263	68	574	207	0.3606	1.394	7	1	68,64,45,61,50,14,11,10	582	1	2,24
drakkarfjord_s39_A	drakkarfjord	39	A	OPP	Core destroyed	243	parent	8	7	10	43	-1	-1	66	0	0.0	10.606	6	1	10,11,31,33,43,36,40	243	0	26,4
drakkarfjord_s39_B	drakkarfjord	39	B	US	Core destroyed	129	parent	8	8	10	48	48	48	121	0	0.0	6.612	7	1	40,36,48,33,21,14,11,10	129	1	2,24
glacierkeep_s37_A	glacierkeep	37	A	US	Core destroyed	413	parent	8	8	9	59	59	59	407	73	0.1794	1.966	8	0	59,55,28,52,17,10,14,9	413	0	14,26
