file	eid	thrown	born_rnd	thrown_rnd	removed_rnd	survived_to_end	undamaged	no_damage_removal	dist_bucket	thrown_border	border_any	throw_n	mw	mh	rounds
7b9153f1-bd72-4f20-b7f0-cc2b8bf75419_game_5.replay26	218	0	134	-1	-1	1	1	0	near	-1	-1	0	26	26	144
589cbabc-0b33-4b45-af39-0f758b883d8b_game_1.replay26	3	1	0	10	-1	1	1	0	near	0	0	3	21	8	160
589cbabc-0b33-4b45-af39-0f758b883d8b_game_1.replay26	5	0	1	-1	-1	1	1	0	near	-1	-1	0	21	8	160
589cbabc-0b33-4b45-af39-0f758b883d8b_game_1.replay26	7	1	2	82	-1	1	1	0	near	0	0	1	21	8	160
589cbabc-0b33-4b45-af39-0f758b883d8b_game_1.replay26	10	1	3	60	-1	1	1	0	near	0	0	2	21	8	160
589cbabc-0b33-4b45-af39-0f758b883d8b_game_1.replay26	12	1	4	47	-1	1	1	0	near	0	0	2	21	8	160
fadfd7e9-2df9-4927-ab08-bb82b1a9983e_game_2.replay26	4	0	0	-1	-1	1	1	0	far	-1	-1	0	28	20	144
fadfd7e9-2df9-4927-ab08-bb82b1a9983e_game_2.replay26	6	0	1	-1	-1	1	1	0	far	-1	-1	0	28	20	144
fadfd7e9-2df9-4927-ab08-bb82b1a9983e_game_2.replay26	8	0	2	-1	-1	1	1	0	near	-1	-1	0	28	20	144
fadfd7e9-2df9-4927-ab08-bb82b1a9983e_game_2.replay26	10	0	3	-1	-1	1	1	0	near	-1	-1	0	28	20	144
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	3	0	0	-1	-1	1	1	0	mid	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	5	0	1	-1	-1	1	1	0	near	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	7	0	2	-1	139	0	0	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	9	0	3	-1	-1	1	1	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	12	0	4	-1	-1	1	0	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	76	0	30	-1	410	0	0	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	839	0	426	-1	-1	1	1	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	875	0	454	-1	-1	1	1	0	far	-1	-1	0	25	25	609
c884b1f2-44f1-400f-85e0-9456eb260eed_game_2.replay26	1010	0	552	-1	-1	1	1	0	far	-1	-1	0	25	25	609
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	3	0	0	-1	-1	1	1	0	near	-1	-1	0	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	5	1	1	3	53	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	7	1	2	20	46	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	129	1	48	48	65	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	140	1	54	55	71	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	168	1	66	67	88	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	184	1	72	72	85	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	210	1	83	83	98	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	290	1	121	121	-1	1	1	0	near	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	298	1	124	125	140	0	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	318	1	131	131	-1	1	0	0	far	0	0	1	26	26	148
8a82bb25-d0b7-4c4e-b4b5-b9e03e55a302_game_5.replay26	358	1	143	143	-1	1	1	0	mid	0	0	1	26	26	148
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	4	0	0	-1	-1	1	0	0	far	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	6	1	1	21	-1	1	1	0	far	0	0	1	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	8	1	2	87	372	0	0	0	far	0	0	9	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	10	1	3	145	-1	1	0	0	far	0	0	35	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	13	0	4	-1	-1	1	1	0	mid	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	288	0	241	-1	-1	1	1	0	far	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	289	0	242	-1	-1	1	1	0	far	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	294	0	243	-1	323	0	0	0	far	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	420	0	361	-1	-1	1	1	0	near	-1	-1	0	18	18	390
c06315d5-22a3-4512-a030-d4f5df14a3cd_game_3.replay26	421	0	362	-1	-1	1	1	0	near	-1	-1	0	18	18	390
