file	ver	kind	x	y	build	death	gend	onset	nbelt	eaten	fwd	d2bc	d2opp
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	29	24	98	108	149		0	0	False	1213	13
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	28	22	101	108	149		0	0	False	1076	20
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	29	23	104	113	149		0	0	False	1170	18
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	sentinel	27	23	105	109	149		0	0	False	1066	10
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_1.replay26	47	gunner	29	23	118	147	149		0	0	False	1170	18
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	sentinel	0	24	34	72	419	34	10	1	True	4	1076
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	sentinel	5	22	108	128	419	108	24	0	True	13	765
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	gunner	10	22	280	289	419	280	16	2	True	68	580
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	gunner	9	20	305	321	419	305	16	1	True	65	545
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	sentinel	21	3	359	370	419		0	0	False	802	26
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	sentinel	23	6	399	410	419		0	0	False	765	13
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_2.replay26	47	sentinel	22	1	418		419		0	0	False	929	25
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_3.replay26	47	sentinel	5	16	13	22	144	13	17	1	True	13	445
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_3.replay26	47	sentinel	2	12	55	62	144	55	10	1	True	4	580
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_3.replay26	47	sentinel	0	13	64	105	144	64	9	1	True	5	677
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_3.replay26	47	sentinel	3	18	127		144	127	14	0	True	17	545
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	23	21	60	71	294		0	0	False	580	20
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	7	1	70	77	294	70	26	2	True	20	468
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	7	2	72	85	294	72	29	2	True	13	433
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	4	3	119	132	294	119	27	4	True	5	481
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	3	4	120	129	294	120	25	4	True	5	481
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	21	16	149	160	294		5	0	False	377	13
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	18	18	195	204	294	195	8	0	False	338	2
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	17	22	205	223	294		0	0	False	433	13
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_4.replay26	47	sentinel	18	23	276	287	294		0	0	False	493	17
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_5.replay26	47	sentinel	4	12	8	31	124	8	24	4	True	13	153
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_5.replay26	47	sentinel	0	9	35	71	124	35	17	6	True	4	256
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_5.replay26	47	gunner	10	9	35		124	36	2	0	False	64	36
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_5.replay26	47	sentinel	3	12	74		124	74	24	0	True	10	178
44bc0fbe-adbf-40d9-9574-71c6b7d99838_game_5.replay26	47	sentinel	5	12	116		124	116	24	0	True	18	130
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	sentinel	23	8	60	83	287	60	48	0	True	25	697
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	gunner	23	8	95	101	287	95	34	1	True	25	697
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	gunner	23	8	102	108	287	102	34	1	True	25	697
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	gunner	26	10	109	115	287	109	30	1	True	36	772
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	sentinel	21	5	130	146	287	130	47	1	True	26	722
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	sentinel	26	6	143		287	143	35	17	True	4	900
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_1.replay26	47	sentinel	21	14	187		287	187	30	11	True	125	461
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_2.replay26	47	gunner	14	14	49		122	49	16	3	True	32	162
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_3.replay26	47	sentinel	7	6	11		157		0	0	False	148	4
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_3.replay26	47	gunner	8	16	28	34	157	28	14	0	True	5	101
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_3.replay26	47	gunner	10	13	64	90	157	64	8	0	True	26	50
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_4.replay26	47	sentinel	22	14	28	42	144	28	27	0	True	16	400
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_4.replay26	47	gunner	22	14	56		144	56	21	8	True	16	400
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_4.replay26	47	sentinel	17	19	112		144	112	9	3	True	106	250
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_5.replay26	47	sentinel	4	4	8		167	91	5	3	False	68	4
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_5.replay26	47	gunner	7	11	10	14	167	10	15	0	True	2	50
4c37c98b-bc48-43f1-8fa1-c4c5aefc6408_game_5.replay26	47	sentinel	5	9	51		167	51	17	6	True	10	26
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_1.replay26	47	sentinel	3	14	28	45	157	28	23	0	True	8	340
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_2.replay26	47	sentinel	4	6	5	68	119	5	14	2	False	20	4
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_2.replay26	47	sentinel	3	6	13	21	119	13	13	0	False	17	9
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_3.replay26	47	sentinel	8	9	12	24	103	12	11	0	True	10	82
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	sentinel	9	10	24	35	121	24	26	0	True	41	181
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	gunner	9	10	46	98	121	46	10	3	True	41	181
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	gunner	10	9	62		121	62	12	2	True	41	181
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	sentinel	13	12	68	75	121	68	11	1	False	113	85
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	sentinel	14	12	74		121	74	10	2	False	130	74
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	sentinel	8	9	82		121	82	32	1	True	25	221
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_4.replay26	47	sentinel	12	12	112		121	112	11	0	False	98	98
50a350cf-5b79-415b-99f9-c3c3fd1a51fe_game_5.replay26	47	sentinel	8	9	21	31	155	21	20	0	True	25	181
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_1.replay26	47	gunner	15	24	21	35	122	21	10	2	True	5	485
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_1.replay26	47	gunner	7	20	65	94	122	65	4	1	True	85	373
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	16	5	37	50	212	37	9	2	True	101	557
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	24	4	56	84	212	56	12	2	True	4	884
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	25	10	67	76	212	67	14	2	True	37	725
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	25	12	84	99	212	84	16	3	True	65	673
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	24	14	96	105	212	96	16	1	True	104	584
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	28	18	112	119	212	112	9	0	True	200	712
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	26	21	125	136	212	125	6	1	True	289	585
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	gunner	19	9	154	165	212	154	6	1	True	74	514
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	sentinel	26	0	183		212	183	3	0	True	16	1152
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_2.replay26	47	sentinel	27	0	187		212		1	0	True	17	1201
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	12	2	26	64	174	26	20	6	True	25	317
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	10	5	37	43	174	37	18	1	True	58	202
