Update available: 2.3.6 -> 2.3.7. Run: pip install --upgrade fcode
Running match: _v131loki14off vs _probe_border_raw
BRAW r=38 unit=36 pos=(8,5) alive
BRAW r=38 unit=40 pos=(8,7) alive
BRAW r=39 unit=4 pos=(7,6) alive
BRAW r=39 unit=16 pos=(6,6) alive
BRAW r=39 unit=34 pos=(7,9) alive
BRAW r=39 unit=36 pos=(8,4) alive
BRAW r=39 unit=40 pos=(8,6) alive
BRAW r=40 unit=4 pos=(7,7) alive
BRAW r=40 unit=16 pos=(6,7) alive
BRAW r=40 unit=34 pos=(7,10) alive
BRAW r=40 unit=36 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=40 unit=40 pos=(8,5) alive
BRAW r=41 unit=4 pos=(7,6) alive
BRAW r=41 unit=16 pos=(6,6) alive
BRAW r=41 unit=34 pos=(7,9) alive
BRAW r=41 unit=40 pos=(8,4) alive
BRAW r=41 unit=56 pos=(7,11) alive
BRAW r=42 unit=4 pos=(7,7) alive
BRAW r=42 unit=16 pos=(6,7) alive
BRAW r=42 unit=34 pos=(7,10) alive
BRAW r=42 unit=40 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=42 unit=56 pos=(8,11) alive
BRAW r=43 unit=4 pos=(7,6) alive
BRAW r=43 unit=16 pos=(6,6) alive
BRAW r=43 unit=34 pos=(7,9) alive
BRAW r=43 unit=56 pos=(8,10) alive
BRAW r=44 unit=4 pos=(7,7) alive
BRAW r=44 unit=16 pos=(6,7) alive
BRAW r=44 unit=34 pos=(7,10) alive
BRAW r=44 unit=56 pos=(8,9) alive
BRAW r=45 unit=4 pos=(7,6) alive
BRAW r=45 unit=16 pos=(6,6) alive
BRAW r=45 unit=34 pos=(7,9) alive
BRAW r=45 unit=56 pos=(8,8) alive
BRAW r=46 unit=4 pos=(7,7) alive
BRAW r=46 unit=16 pos=(6,7) alive
BRAW r=46 unit=34 pos=(7,10) alive
BRAW r=46 unit=56 pos=(8,7) alive
BRAW r=47 unit=4 pos=(7,6) alive
BRAW r=47 unit=16 pos=(6,6) alive
BRAW r=47 unit=34 pos=(7,9) alive
BRAW r=47 unit=56 pos=(8,6) alive
BRAW r=48 unit=4 pos=(7,7) alive
BRAW r=48 unit=16 pos=(6,7) alive
BRAW r=48 unit=34 pos=(7,10) alive
BRAW r=48 unit=56 pos=(8,5) alive
BRAW r=49 unit=4 pos=(7,6) alive
BRAW r=49 unit=16 pos=(6,6) alive
BRAW r=49 unit=34 pos=(7,9) alive
BRAW r=49 unit=56 pos=(8,4) alive
BRAW r=50 unit=4 pos=(7,7) alive
BRAW r=50 unit=16 pos=(6,7) alive
BRAW r=50 unit=34 pos=(7,10) alive
BRAW r=50 unit=56 pos=(13,1) alive
Traceback (most recent call last):
  File "/Users/junghard/Projects/Work/florent-code-game/bots/_probe_border_raw/main.py", line 54, in run
    ct.get_tile_env(p.add(d))
    ~~~~~~~~~~~~~~~^^^^^^^^^^
fcode._types.GameError: Position out of bounds
BRAW r=51 unit=4 pos=(7,6) alive
BRAW r=51 unit=16 pos=(6,6) alive
BRAW r=51 unit=34 pos=(7,9) alive
BRAW r=52 unit=4 pos=(7,7) alive
