arm	opp	label	team	core	near_ore	d	h1	h1_seat	h1_pos	c1	walk_lb	harv25	conv25	harv8	conv8	bld8
base	opp_v63	moonrise/B	1	(14, 3)	(11, 5)	5	3	1	(11, 5)	4	3	2	6	1	3	5
arm	opp_v63	moonrise/A	0	(5, 3)	(1, 4)	5	5	3	(9, 5)	7	7	2	6	2	1	5
arm	opp_v63	moonrise/B	1	(14, 3)	(11, 5)	5	3	1	(11, 5)	4	3	2	6	1	3	5
base	opp_v78	moonrise/A	0	(5, 3)	(1, 4)	5	4	2	(9, 5)	6	7	3	8	1	2	6
base	opp_v78	moonrise/B	1	(14, 3)	(11, 5)	5	3	1	(11, 5)	4	3	2	8	1	3	5
arm	opp_v78	moonrise/A	0	(5, 3)	(1, 4)	5	5	3	(9, 5)	9	7	3	3	3	0	5
arm	opp_v78	moonrise/B	1	(14, 3)	(11, 5)	5	3	1	(11, 5)	4	3	1	3	1	3	5
base	opp_v63	nordkap/A	0	(9, 6)	(9, 2)	4	8	3	(10, 11)	9	4	3	8	2	0	5
base	opp_v63	nordkap/B	1	(9, 18)	(9, 23)	5	8	1	(14, 18)	9	6	4	13	2	0	5
arm	opp_v63	nordkap/A	0	(9, 6)	(9, 2)	4	8	1	(9, 2)	9	4	3	9	2	0	5
arm	opp_v63	nordkap/B	1	(9, 18)	(9, 23)	5	7	1	(14, 18)	8	6	5	12	2	1	6
base	opp_v78	nordkap/A	0	(9, 6)	(9, 2)	4	8	3	(10, 11)	9	4	3	7	2	0	5
base	opp_v78	nordkap/B	1	(9, 18)	(9, 23)	5	8	1	(14, 18)	9	6	2	6	2	0	5
arm	opp_v78	nordkap/A	0	(9, 6)	(9, 2)	4	8	1	(9, 2)	9	4	2	6	1	0	5
arm	opp_v78	nordkap/B	1	(9, 18)	(9, 23)	5	7	1	(14, 18)	8	6	2	6	1	1	5
base	opp_v63	ragnarok/A	0	(2, 2)	(6, 2)	4	2	1	(4, 5)	3	3	4	8	2	2	6
base	opp_v63	ragnarok/B	1	(26, 26)	(25, 24)	3	5	1	(25, 24)	6	5	3	8	2	2	6
arm	opp_v63	ragnarok/A	0	(2, 2)	(6, 2)	4	2	1	(4, 5)	3	3	3	5	2	4	5
arm	opp_v63	ragnarok/B	1	(26, 26)	(25, 24)	3	2	1	(25, 24)	5	5	3	9	2	3	5
base	opp_v78	ragnarok/A	0	(2, 2)	(6, 2)	4	2	1	(4, 5)	3	3	4	8	2	2	6
base	opp_v78	ragnarok/B	1	(26, 26)	(25, 24)	3	5	1	(25, 24)	6	5	3	8	2	2	6
arm	opp_v78	ragnarok/A	0	(2, 2)	(6, 2)	4	2	1	(4, 5)	3	3	3	5	2	4	5
arm	opp_v78	ragnarok/B	1	(26, 26)	(25, 24)	3	2	1	(25, 24)	5	5	3	9	2	3	5
base	opp_v63	royale/A	0	(9, 16)	(3, 16)	6	7	1	(3, 17)	8	8	2	10	2	1	6
base	opp_v63	royale/B	1	(9, 2)	(3, 2)	6	11	2	(3, 3)	12	9	4	12	0	0	5
arm	opp_v63	royale/A	0	(9, 16)	(3, 16)	6	7	2	(3, 17)	8	8	2	10	1	1	6
arm	opp_v63	royale/B	1	(9, 2)	(3, 2)	6	7	2	(3, 2)	8	9	4	16	2	1	6
base	opp_v78	royale/A	0	(9, 16)	(3, 16)	6	7	1	(3, 17)	8	8	2	10	2	1	6
base	opp_v78	royale/B	1	(9, 2)	(3, 2)	6	11	2	(3, 3)	12	9	4	11	0	0	5
arm	opp_v78	royale/A	0	(9, 16)	(3, 16)	6	7	2	(3, 17)	8	8	2	10	1	1	6
arm	opp_v78	royale/B	1	(9, 2)	(3, 2)	6	7	2	(3, 2)	8	9	4	16	2	1	6
base	opp_v63	saga/A	0	(4, 4)	(0, 2)	6	8	4	(0, 2)	9	7	4	17	1	0	5
base	opp_v63	saga/B	1	(18, 18)	(13, 19)	6	8	3	(23, 21)	9	8	4	14	1	0	5
arm	opp_v63	saga/A	0	(4, 4)	(0, 2)	6	7	2	(0, 2)	8	7	4	16	1	1	6
arm	opp_v63	saga/B	1	(18, 18)	(13, 19)	6	7	3	(23, 21)	8	8	4	15	1	1	6
base	opp_v78	saga/A	0	(4, 4)	(0, 2)	6	8	4	(0, 2)	9	7	4	17	1	0	5
base	opp_v78	saga/B	1	(18, 18)	(13, 19)	6	8	3	(23, 21)	9	8	4	14	1	0	5
arm	opp_v78	saga/A	0	(4, 4)	(0, 2)	6	7	2	(0, 2)	8	7	4	16	1	1	6
arm	opp_v78	saga/B	1	(18, 18)	(13, 19)	6	7	3	(23, 21)	8	8	4	15	1	1	6
base	opp_v63	snowflake/A	0	(5, 5)	(1, 5)	4	5	1	(1, 6)	6	6	5	13	3	3	6
base	opp_v63	snowflake/B	1	(19, 19)	(15, 19)	4	5	2	(24, 19)	6	6	5	14	2	5	6
arm	opp_v63	snowflake/A	0	(5, 5)	(1, 5)	4	5	1	(1, 5)	6	6	5	14	3	3	6
arm	opp_v63	snowflake/B	1	(19, 19)	(15, 19)	4	5	2	(24, 19)	6	6	4	11	3	3	6
base	opp_v78	snowflake/A	0	(5, 5)	(1, 5)	4	5	1	(1, 6)	6	6	4	11	3	3	6
base	opp_v78	snowflake/B	1	(19, 19)	(15, 19)	4	5	2	(24, 19)	6	6	5	14	2	5	6
arm	opp_v78	snowflake/A	0	(5, 5)	(1, 5)	4	5	1	(1, 5)	6	6	5	14	3	3	6
arm	opp_v78	snowflake/B	1	(19, 19)	(15, 19)	4	5	2	(24, 19)	6	6	5	13	3	3	6
base	opp_v63	valkyrie/A	0	(2, 14)	(2, 7)	7	8	3	(4, 20)	9	9	3	16	1	0	5
base	opp_v63	valkyrie/B	1	(26, 14)	(25, 20)	7	9	4	(25, 20)	10	7	3	18	0	0	5
arm	opp_v63	valkyrie/A	0	(2, 14)	(2, 7)	7	8	3	(4, 20)	9	9	3	16	1	0	5
arm	opp_v63	valkyrie/B	1	(26, 14)	(25, 20)	7	6	1	(25, 20)	7	7	3	13	2	2	6
base	opp_v78	valkyrie/A	0	(2, 14)	(2, 7)	7	8	3	(4, 20)	9	9	3	16	1	0	5
base	opp_v78	valkyrie/B	1	(26, 14)	(25, 20)	7	9	4	(25, 20)	10	7	3	18	0	0	5
arm	opp_v78	valkyrie/A	0	(2, 14)	(2, 7)	7	8	3	(4, 20)	9	9	3	16	1	0	5
arm	opp_v78	valkyrie/B	1	(26, 14)	(25, 20)	7	6	1	(25, 20)	7	7	3	13	2	2	6
base	opp_v63	yulerune/A	0	(2, 9)	(2, 2)	7	9	2	(2, 2)	10	10	4	17	0	0	5
base	opp_v63	yulerune/B	1	(16, 9)	(13, 6)	6	7	2	(13, 13)	8	8	4	15	2	1	6
arm	opp_v63	yulerune/A	0	(2, 9)	(2, 2)	7	7	3	(6, 13)	8	10	4	17	2	1	6
arm	opp_v63	yulerune/B	1	(16, 9)	(13, 6)	6	8	1	(13, 6)	9	8	4	15	1	0	5
base	opp_v78	yulerune/A	0	(2, 9)	(2, 2)	7	9	2	(2, 2)	10	10	4	17	0	0	5
base	opp_v78	yulerune/B	1	(16, 9)	(13, 6)	6	7	2	(13, 13)	8	8	4	15	2	1	6
arm	opp_v78	yulerune/A	0	(2, 9)	(2, 2)	7	7	3	(6, 13)	8	10	4	17	2	1	6
arm	opp_v78	yulerune/B	1	(16, 9)	(13, 6)	6	8	1	(13, 6)	9	8	4	15	1	0	5
