match	game	opp	map	w	h	rounds	rnd	victim	victim_team	thrower_team	amb	ours_threw	enemy_victim	border	d2_launch	launcher_margin	removed_rnd	gap	undamaged_removal	within3
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	172	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	174	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	176	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	181	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	183	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	185	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	190	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	192	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	194	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	199	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	201	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	203	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	208	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	210	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	212	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	217	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	219	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	221	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	226	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	228	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	230	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	235	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	237	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	239	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	244	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	246	3	0	0	one	1	0	0	18	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	248	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	1	gsxWins	fjordgate	10	10	255	253	3	0	1	one	0	0	1	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	3	6	1	1	one	0	1	0	25	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	7	14	0	0	one	1	0	0	25	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	24	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	29	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	34	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	39	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	44	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	2	gsxWins	jackpot	16	16	50	49	3	0	1	one	0	0	1	26	1	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	3	gsxWins	atoll	18	18	122	3	6	1	1	one	0	1	0	25	2	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	3	6	1	1	one	0	1	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	5	6	1	1	one	0	1	0	25	8	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	6	8	1	1	one	0	1	0	25	4	117	111	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	74	10	0	1	one	0	0	0	25	8	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	122	197	1	1	one	0	1	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	150	4	1	1	one	0	1	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	151	4	1	1	one	0	1	0	25	8	-1	-1	0	0
