file	turns	winner
241f038f-6c87-4cac-821e-8668e1f84d45_game_1.replay26	278	1
241f038f-6c87-4cac-821e-8668e1f84d45_game_2.replay26	423	1
241f038f-6c87-4cac-821e-8668e1f84d45_game_3.replay26	661	1
241f038f-6c87-4cac-821e-8668e1f84d45_game_4.replay26	359	1
241f038f-6c87-4cac-821e-8668e1f84d45_game_5.replay26	324	1
2e64439b-5936-4960-b5e4-3c316c2bde7e_game_1.replay26	149	0
2e64439b-5936-4960-b5e4-3c316c2bde7e_game_2.replay26	178	0
2e64439b-5936-4960-b5e4-3c316c2bde7e_game_3.replay26	381	0
2e64439b-5936-4960-b5e4-3c316c2bde7e_game_4.replay26	144	0
2e64439b-5936-4960-b5e4-3c316c2bde7e_game_5.replay26	1000	1
33ee8155-aad2-4329-afd9-b99a25b42e7c_game_1.replay26	197	0
33ee8155-aad2-4329-afd9-b99a25b42e7c_game_2.replay26	207	1
33ee8155-aad2-4329-afd9-b99a25b42e7c_game_3.replay26	1000	0
33ee8155-aad2-4329-afd9-b99a25b42e7c_game_4.replay26	122	1
33ee8155-aad2-4329-afd9-b99a25b42e7c_game_5.replay26	69	0
357cf497-5f28-4fb4-9411-3e550f718cab_game_1.replay26	533	0
357cf497-5f28-4fb4-9411-3e550f718cab_game_2.replay26	81	0
357cf497-5f28-4fb4-9411-3e550f718cab_game_3.replay26	232	1
357cf497-5f28-4fb4-9411-3e550f718cab_game_4.replay26	113	1
357cf497-5f28-4fb4-9411-3e550f718cab_game_5.replay26	79	0
36ecbcff-1107-43ff-b0de-9c27aaa2c6a3_game_1.replay26	149	0
36ecbcff-1107-43ff-b0de-9c27aaa2c6a3_game_2.replay26	384	1
36ecbcff-1107-43ff-b0de-9c27aaa2c6a3_game_3.replay26	263	0
36ecbcff-1107-43ff-b0de-9c27aaa2c6a3_game_4.replay26	232	1
36ecbcff-1107-43ff-b0de-9c27aaa2c6a3_game_5.replay26	292	1
37009599-a53c-4d60-ac1b-e0a114746c5c_game_1.replay26	651	0
37009599-a53c-4d60-ac1b-e0a114746c5c_game_2.replay26	142	0
37009599-a53c-4d60-ac1b-e0a114746c5c_game_3.replay26	132	1
37009599-a53c-4d60-ac1b-e0a114746c5c_game_4.replay26	143	0
37009599-a53c-4d60-ac1b-e0a114746c5c_game_5.replay26	137	0
3ba47b84-df1f-49e7-8b61-f1ea4efae8b8_game_1.replay26	161	1
3ba47b84-df1f-49e7-8b61-f1ea4efae8b8_game_2.replay26	291	1
3ba47b84-df1f-49e7-8b61-f1ea4efae8b8_game_3.replay26	804	1
3ba47b84-df1f-49e7-8b61-f1ea4efae8b8_game_4.replay26	131	1
3ba47b84-df1f-49e7-8b61-f1ea4efae8b8_game_5.replay26	318	1
3bb89262-a8b7-4795-95d2-104d43530bb2_game_1.replay26	321	0
3bb89262-a8b7-4795-95d2-104d43530bb2_game_2.replay26	346	0
3bb89262-a8b7-4795-95d2-104d43530bb2_game_3.replay26	285	1
3bb89262-a8b7-4795-95d2-104d43530bb2_game_4.replay26	413	0
3bb89262-a8b7-4795-95d2-104d43530bb2_game_5.replay26	94	1
431981ae-1a29-49e0-b0c3-b1a1f5f4375d_game_1.replay26	144	1
431981ae-1a29-49e0-b0c3-b1a1f5f4375d_game_2.replay26	172	0
431981ae-1a29-49e0-b0c3-b1a1f5f4375d_game_3.replay26	105	0
431981ae-1a29-49e0-b0c3-b1a1f5f4375d_game_4.replay26	100	0
431981ae-1a29-49e0-b0c3-b1a1f5f4375d_game_5.replay26	80	0
46ee41c7-ae43-4a55-ad74-1f035fb9b04b_game_1.replay26	152	0
46ee41c7-ae43-4a55-ad74-1f035fb9b04b_game_2.replay26	363	0
46ee41c7-ae43-4a55-ad74-1f035fb9b04b_game_3.replay26	785	1
46ee41c7-ae43-4a55-ad74-1f035fb9b04b_game_4.replay26	154	0
46ee41c7-ae43-4a55-ad74-1f035fb9b04b_game_5.replay26	153	0
47fe5287-39c7-45a4-8f35-d5f68a7cc726_game_1.replay26	369	1
47fe5287-39c7-45a4-8f35-d5f68a7cc726_game_2.replay26	301	1
47fe5287-39c7-45a4-8f35-d5f68a7cc726_game_3.replay26	170	1
47fe5287-39c7-45a4-8f35-d5f68a7cc726_game_4.replay26	109	1
47fe5287-39c7-45a4-8f35-d5f68a7cc726_game_5.replay26	70	1
480080f8-d457-4413-9785-e15372b09f60_game_1.replay26	92	0
480080f8-d457-4413-9785-e15372b09f60_game_2.replay26	115	0
480080f8-d457-4413-9785-e15372b09f60_game_3.replay26	216	0
480080f8-d457-4413-9785-e15372b09f60_game_4.replay26	152	0
480080f8-d457-4413-9785-e15372b09f60_game_5.replay26	255	1
48a8118c-d334-4f6b-b81a-03c99b806a95_game_1.replay26	138	1
48a8118c-d334-4f6b-b81a-03c99b806a95_game_2.replay26	199	1
48a8118c-d334-4f6b-b81a-03c99b806a95_game_3.replay26	1000	0
48a8118c-d334-4f6b-b81a-03c99b806a95_game_4.replay26	671	0
48a8118c-d334-4f6b-b81a-03c99b806a95_game_5.replay26	188	1
499500fa-f1db-4265-85c2-4bf13aa76404_game_1.replay26	148	0
499500fa-f1db-4265-85c2-4bf13aa76404_game_2.replay26	117	0
499500fa-f1db-4265-85c2-4bf13aa76404_game_3.replay26	429	1
