group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	0	3	332	EXACT	1	1	1	0	0	7	5	40	330	5	2	1	0	34	1.0307764064044151	0	0	2	327	5	2	0
US	0	1	66	EXACT	1	1	0	1	0	18	4	40	64	5	2	1	0	242	0.9166666666666667	0	0	0	4	2	0	3
US	0	0	53	EXACT	1	1	0	1	0	18	4	40	49	4	2	1	0	365	0.9649468632933068	0	0	0	4	2	0	3
US	0	0	34	EXACT	1	1	0	1	1	18	15	40	30	4	2	2	0	37	0.5068968775248516	0	0	0	16	2	1	0
US	0	1	70	EXACT	1	1	1	0	0	7	5	40	69	1	0	12	0	50	0.5892556509887896	0	0	0	55	5	1	0
US	1	1	98	EXACT	1	1	1	0	0	7	1	40	98	3	2	1	0	13	0.3004626062886658	0	0	1	70	4	2	0
US	1	1	123	EXACT	1	1	1	0	0	7	5	40	120	3	2	1	1	17	0.3435921354681384	0	0	1	77	5	2	0
US	0	1	154	EXACT	1	1	1	0	0	7	5	40	152	1	0	67	0	49	0.5833333333333334	0	0	0	89	5	1	0
US	1	1	160	EXACT	1	1	1	0	0	7	5	40	40	1	0	2	0	17	0.3435921354681384	0	0	0	27	5	4	0
US	1	1	178	EXACT	1	1	1	0	0	7	5	40	73	9	2	1	0	10	0.26352313834736496	0	0	0	27	5	5	0
US	1	2	220	EXACT	1	1	1	0	0	7	5	40	75	1	0	3	0	10	0.26352313834736496	0	0	0	60	5	3	0
US	1	3	274	EXACT	1	1	1	0	0	7	5	40	107	2	1	1	0	2	0.11785113019775793	0	0	0	52	4	5	0
US	1	3	304	EXACT	1	1	1	0	0	7	5	40	144	7	2	1	0	5	0.18633899812498247	0	0	0	96	5	4	0
US	1	3	313	EXACT	1	1	1	0	0	7	5	40	178	1	0	18	0	20	0.37267799624996495	0	1	0	102	5	1	0
US	1	3	313	EXACT	1	1	1	0	0	7	5	40	118	2	1	1	0	5	0.18633899812498247	0	0	0	19	4	4	0
US	1	3	315	EXACT	1	1	1	0	0	7	2	40	190	4	2	1	0	13	0.3004626062886658	0	0	1	160	6	3	0
