file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	70	0	harvester	6	1	29	106	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	73	1	barrier	6	0	125	34	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	74	1	gunner	16	4	61	26	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	74	1	gunner	17	4	72	37	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	74	0	harvester	6	1	29	106	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	75	1	barrier	6	1	106	29	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	78	1	sentinel	10	2	65	2	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	80	1	sentinel	10	4	37	2	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	84	1	sentinel	10	5	26	5	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	93	1	sentinel	12	5	26	5	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	96	0	gunner	8	2	10	73	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	96	0	core	11	3	0	49	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	0	0	builder_bot	2	22	4	722	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	0	1	builder_bot	23	5	8	666	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	1	0	builder_bot	1	22	5	761	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	1	1	builder_bot	22	5	5	625	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	2	0	builder_bot	4	20	4	578	25	25
