tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v531fix_yulerune_s1_B	yulerune	1	B	v531fix	OPP	_v488beltbreak2	Core destroyed	500	0	40	2260
nomouth_yulerune_s1_B	yulerune	1	B	nomouth	US	nomouth_arm	Core destroyed	95	0	180	0
cap6_yulerune_s1_B	yulerune	1	B	cap6	US	cap6_arm	Core destroyed	109	0	90	0
parent_yulerune_s2_A	yulerune	2	A	parent	US	parent_arm	Core destroyed	88	0	240	0
flagoff_yulerune_s2_A	yulerune	2	A	flagoff	US	flagoff_arm	Core destroyed	93	0	190	0
v531fix_yulerune_s2_A	yulerune	2	A	v531fix	US	_v531fix	Core destroyed	349	0	820	0
nomouth_yulerune_s2_A	yulerune	2	A	nomouth	US	nomouth_arm	Core destroyed	97	0	200	0
cap6_yulerune_s2_A	yulerune	2	A	cap6	US	cap6_arm	Core destroyed	141	0	100	0
parent_yulerune_s2_B	yulerune	2	B	parent	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	240	920
flagoff_yulerune_s2_B	yulerune	2	B	flagoff	US	flagoff_arm	Core destroyed	98	0	530	0
v531fix_yulerune_s2_B	yulerune	2	B	v531fix	US	_v531fix	Core destroyed	217	0	40	20
nomouth_yulerune_s2_B	yulerune	2	B	nomouth	US	nomouth_arm	Core destroyed	89	0	190	0
cap6_yulerune_s2_B	yulerune	2	B	cap6	US	cap6_arm	Core destroyed	109	0	180	0
parent_antler_s1_A	antler	1	A	parent	US	parent_arm	Core destroyed	261	0	1020	810
flagoff_antler_s1_A	antler	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	137	0	370	930
v531fix_antler_s1_A	antler	1	A	v531fix	OPP	_v488beltbreak2	Core destroyed	145	0	760	970
nomouth_antler_s1_A	antler	1	A	nomouth	OPP	_v488beltbreak2	Core destroyed	238	0	1670	1980
cap6_antler_s1_A	antler	1	A	cap6	OPP	_v488beltbreak2	Core destroyed	325	0	1170	2160
parent_antler_s1_B	antler	1	B	parent	US	parent_arm	Core destroyed	206	0	1850	0
flagoff_antler_s1_B	antler	1	B	flagoff	OPP	_v488beltbreak2	Core destroyed	276	0	740	730
v531fix_antler_s1_B	antler	1	B	v531fix	OPP	_v488beltbreak2	Core destroyed	466	0	3190	3190
nomouth_antler_s1_B	antler	1	B	nomouth	OPP	_v488beltbreak2	Core destroyed	215	0	1040	1870
cap6_antler_s1_B	antler	1	B	cap6	US	cap6_arm	Core destroyed	99	0	650	200
parent_antler_s2_A	antler	2	A	parent	US	parent_arm	Core destroyed	332	0	1890	430
flagoff_antler_s2_A	antler	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	191	0	930	1130
v531fix_antler_s2_A	antler	2	A	v531fix	OPP	_v488beltbreak2	Core destroyed	168	0	1190	1160
nomouth_antler_s2_A	antler	2	A	nomouth	OPP	_v488beltbreak2	Core destroyed	315	0	1530	1540
cap6_antler_s2_A	antler	2	A	cap6	OPP	_v488beltbreak2	Core destroyed	182	0	390	1220
parent_antler_s2_B	antler	2	B	parent	US	parent_arm	Titanium collected (tiebreak)	1000	0	700	80
flagoff_antler_s2_B	antler	2	B	flagoff	US	flagoff_arm	Core destroyed	468	0	2870	1150
v531fix_antler_s2_B	antler	2	B	v531fix	US	_v531fix	Core destroyed	262	0	2740	580
nomouth_antler_s2_B	antler	2	B	nomouth	OPP	_v488beltbreak2	Core destroyed	132	0	620	1030
cap6_antler_s2_B	antler	2	B	cap6	US	cap6_arm	Core destroyed	116	0	480	0
parent_fjordgate_s1_A	fjordgate	1	A	parent	US	parent_arm	Core destroyed	269	0	730	150
