tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v537socket_midgard_s14_B	midgard	14	B	v537socket	US	_v537socket	Core destroyed	183	0	1780	1010
v538refine_midgard_s14_B	midgard	14	B	v538refine	US	_v538refine	Core destroyed	297	0	3750	530
v536trust_midgard_s15_A	midgard	15	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	406	0	1240	2960
v537socket_midgard_s15_A	midgard	15	A	v537socket	US	_v537socket	Core destroyed	290	0	2400	1010
v538refine_midgard_s15_A	midgard	15	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	160	0	320	1340
v536trust_midgard_s15_B	midgard	15	B	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	306	0	2160	2170
v537socket_midgard_s15_B	midgard	15	B	v537socket	US	_v537socket	Core destroyed	192	0	1980	1050
v538refine_midgard_s15_B	midgard	15	B	v538refine	US	_v538refine	Core destroyed	257	0	3340	520
v536trust_midgard_s16_A	midgard	16	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	246	0	960	2930
v537socket_midgard_s16_A	midgard	16	A	v537socket	US	_v537socket	Core destroyed	164	0	1700	990
v538refine_midgard_s16_A	midgard	16	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	321	0	3070	2810
v536trust_midgard_s16_B	midgard	16	B	v536trust	US	_v536trustport	Core destroyed	212	0	1570	1120
v537socket_midgard_s16_B	midgard	16	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	169	0	790	1230
v538refine_midgard_s16_B	midgard	16	B	v538refine	US	_v538refine	Core destroyed	203	0	1660	1440
v536trust_midgard_s17_A	midgard	17	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	308	0	390	3210
v537socket_midgard_s17_A	midgard	17	A	v537socket	US	_v537socket	Core destroyed	163	0	1690	1140
v538refine_midgard_s17_A	midgard	17	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	93	0	290	520
v536trust_midgard_s17_B	midgard	17	B	v536trust	US	_v536trustport	Core destroyed	212	0	1570	1120
v537socket_midgard_s17_B	midgard	17	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	428	0	5370	4680
v538refine_midgard_s17_B	midgard	17	B	v538refine	US	_v538refine	Core destroyed	275	0	2520	1960
v536trust_midgard_s18_A	midgard	18	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	93	0	290	520
v537socket_midgard_s18_A	midgard	18	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	210	0	1110	2130
v538refine_midgard_s18_A	midgard	18	A	v538refine	US	_v538refine	Core destroyed	481	0	3540	520
v536trust_midgard_s18_B	midgard	18	B	v536trust	US	_v536trustport	Core destroyed	230	0	2510	1210
v537socket_midgard_s18_B	midgard	18	B	v537socket	US	_v537socket	Core destroyed	205	0	1480	620
v538refine_midgard_s18_B	midgard	18	B	v538refine	US	_v538refine	Core destroyed	244	0	2710	620
v536trust_midgard_s19_A	midgard	19	A	v536trust	US	_v536trustport	Core destroyed	191	0	1610	1040
v537socket_midgard_s19_A	midgard	19	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	98	0	230	720
v538refine_midgard_s19_A	midgard	19	A	v538refine	US	_v538refine	Core destroyed	230	0	2190	1230
v536trust_midgard_s19_B	midgard	19	B	v536trust	US	_v536trustport	Core destroyed	482	0	4360	2480
v537socket_midgard_s19_B	midgard	19	B	v537socket	US	_v537socket	Core destroyed	205	0	1480	620
v538refine_midgard_s19_B	midgard	19	B	v538refine	US	_v538refine	Core destroyed	419	0	2730	2160
v536trust_midgard_s20_A	midgard	20	A	v536trust	US	_v536trustport	Core destroyed	244	0	2330	690
v537socket_midgard_s20_A	midgard	20	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	580	0	4860	6280
v538refine_midgard_s20_A	midgard	20	A	v538refine	US	_v538refine	Core destroyed	558	0	4440	3210
v536trust_midgard_s20_B	midgard	20	B	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	538	0	7610	4230
