file	team	band	metric	n
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r150-200	build_barrier	2
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r200-300	shot	163
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r200-300	batk	26
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r200-300	build_gunner	10
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r200-300	build_barrier	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r200-300	build_conveyor	12
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	1	r200-300	build_builder_bot	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	0	r300+	shot	8
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_builder_bot	5
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	build_builder_bot	9
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	build_harvester	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_harvester	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	build_conveyor	16
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_conveyor	49
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	batk	139
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_gunner	12
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	shot	127
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	build_gunner	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	shot	9
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_barrier	9
