created_at_utc	match_id	match_type	opponent_id	opponent_name	our_version	arm_tag	runner	source
2026-08-15T07:36:56.698876+00:00	24f8f862-df0e-479b-b15f-dfa41ef10795	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:36:59.299763+00:00	19ae25a4-407d-48b6-abce-440d21982172	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:37:02.020926+00:00	4f8262d4-a602-4a45-90ca-8f3521431d24	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:37:04.583947+00:00	b90838c0-2b39-422e-9db6-0f34b45a490f	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:57:04.075346+00:00	0db49aae-63d2-400e-87f7-340c789f8d60	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:57:06.691498+00:00	28f6bbd8-e761-4f69-b0c0-0d22b86fd731	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:57:09.269020+00:00	dd97689f-d7a9-4d71-a90d-2a3a1f76c335	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:57:11.819488+00:00	72f47587-16d7-4a9e-9b01-2d355d1a3987	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T07:57:14.295181+00:00	f4a0c483-73f0-45d0-8192-44e4f225b425	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T08:17:14.367123+00:00	d24e999a-0e0d-4636-87af-ee035db6d034	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T08:17:16.898031+00:00	201e74b1-aac2-4fea-b472-2fc816b12373	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-15T08:17:19.534606+00:00	3a6c7181-148b-4654-9fe0-d4dd615f26c2	unrated	12fdece5-48c9-4913-9533-6d95b73e22ab	12fdece5-48c9-4913-9533-6d95b73e22ab	v140	unrated_v140_20260815T065628Z	unrated_run.sh	live
2026-08-16T06:25:40.639222+00:00	14274b7c-7a7a-463f-b6b4-7ca12e8db75a	unrated	32087804-2dde-4265-acb2-b6ec9039fbee	32087804-2dde-4265-acb2-b6ec9039fbee	v140	unrated_v140_20260816T062533Z	unrated_run.sh	live
2026-08-16T06:25:43.239295+00:00	e06c3e77-3d51-41c7-8de3-8fc37defe49a	unrated	32087804-2dde-4265-acb2-b6ec9039fbee	32087804-2dde-4265-acb2-b6ec9039fbee	v140	unrated_v140_20260816T062533Z	unrated_run.sh	live
2026-08-16T06:25:45.775449+00:00	855c1b7a-6a3c-439e-8825-cc06159621a4	unrated	32087804-2dde-4265-acb2-b6ec9039fbee	32087804-2dde-4265-acb2-b6ec9039fbee	v140	unrated_v140_20260816T062533Z	unrated_run.sh	live
2026-08-16T06:25:48.306608+00:00	555a9724-ae27-452d-bd5f-5338a79cc74c	unrated	32087804-2dde-4265-acb2-b6ec9039fbee	32087804-2dde-4265-acb2-b6ec9039fbee	v140	unrated_v140_20260816T062533Z	unrated_run.sh	live
