file	match	game	opp	oppver	ourver	oppbef	map	cond	turns	won	our_team
0d8531b4-c6c3-4903-b9a3-5e1cc00cea26_game_4.replay26	0d8531b4-c6c3-4903-b9a3-5e1cc00cea26	4	Team 48	None	72	1587.209477869797	atoll	core_destroyed	79	0	0
0d8531b4-c6c3-4903-b9a3-5e1cc00cea26_game_5.replay26	0d8531b4-c6c3-4903-b9a3-5e1cc00cea26	5	Team 48	None	72	1587.209477869797	lighthouse	core_destroyed	269	0	0
0f9481bc-1598-4581-9c8e-ce309e3620e2_game_1.replay26	0f9481bc-1598-4581-9c8e-ce309e3620e2	1	The Bisons	None	87	1490.2145641200411	fjordgate	core_destroyed	684	1	1
0f9481bc-1598-4581-9c8e-ce309e3620e2_game_2.replay26	0f9481bc-1598-4581-9c8e-ce309e3620e2	2	The Bisons	None	87	1490.2145641200411	heart	core_destroyed	87	1	1
0f9481bc-1598-4581-9c8e-ce309e3620e2_game_3.replay26	0f9481bc-1598-4581-9c8e-ce309e3620e2	3	The Bisons	None	87	1490.2145641200411	saga	core_destroyed	102	1	1
0f9481bc-1598-4581-9c8e-ce309e3620e2_game_4.replay26	0f9481bc-1598-4581-9c8e-ce309e3620e2	4	The Bisons	None	87	1490.2145641200411	antler	core_destroyed	281	0	1
0f9481bc-1598-4581-9c8e-ce309e3620e2_game_5.replay26	0f9481bc-1598-4581-9c8e-ce309e3620e2	5	The Bisons	None	87	1490.2145641200411	lighthouse	core_destroyed	65	1	1
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_1.replay26	126d9e1a-0b16-40a6-9ef5-e44457cf32e0	1	Team 48	None	72	1615.1823616589766	nordkap	core_destroyed	70	1	0
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_2.replay26	126d9e1a-0b16-40a6-9ef5-e44457cf32e0	2	Team 48	None	72	1615.1823616589766	atoll	core_destroyed	305	0	0
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_3.replay26	126d9e1a-0b16-40a6-9ef5-e44457cf32e0	3	Team 48	None	72	1615.1823616589766	drumlin	core_destroyed	64	0	0
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_4.replay26	126d9e1a-0b16-40a6-9ef5-e44457cf32e0	4	Team 48	None	72	1615.1823616589766	fjordgate	core_destroyed	198	1	0
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_5.replay26	126d9e1a-0b16-40a6-9ef5-e44457cf32e0	5	Team 48	None	72	1615.1823616589766	moonrise	core_destroyed	65	1	0
