file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	478	r300+	0	sentinel	16	3	485	25	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	496	r300+	0	sentinel	17	4	481	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_1.replay26	529	r300+	0	sentinel	13	11	202	128	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	10	r0-150	0	gunner	14	10	50	26	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	14	r0-150	1	gunner	15	9	16	64	HOME	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	32	r0-150	1	gunner	6	7	173	5	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	39	r0-150	0	sentinel	6	5	17	185	HOME	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	68	r0-150	1	gunner	7	13	160	16	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	68	r0-150	0	gunner	17	10	101	5	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	78	r0-150	1	gunner	9	12	109	13	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	78	r0-150	0	gunner	17	11	104	8	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	149	r0-150	1	gunner	5	8	197	5	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	167	r150-200	1	gunner	11	10	65	17	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	200	r200-300	1	gunner	13	12	45	45	HOME	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	223	r200-300	1	gunner	11	14	89	41	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	239	r200-300	1	gunner	14	11	29	53	HOME	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	263	r200-300	1	gunner	8	16	170	50	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	279	r200-300	1	gunner	10	16	130	58	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	292	r200-300	1	gunner	6	14	194	26	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	308	r300+	1	gunner	6	12	178	10	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_2.replay26	359	r300+	1	gunner	5	7	200	8	FORWARD	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	28	r0-150	0	gunner	10	12	37	37	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	40	r0-150	1	gunner	8	6	145	1	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	48	r0-150	0	gunner	8	4	5	197	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	62	r0-150	0	sentinel	9	9	9	81	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	71	r0-150	1	gunner	5	12	52	52	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	80	r0-150	1	gunner	8	11	50	26	FORWARD	0
