file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
dodge_ouroboros_nordkap_0.replay26	1	gunner	r100_249	789	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	sentinel	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	core	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	core	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	builder_bot	r250_499	338	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	builder_bot	r250_499	559	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	0	sentinel	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_0.replay26	1	gunner	r250_499	869	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	core	r0_99	100	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	core	r0_99	100	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	builder_bot	r0_99	310	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	builder_bot	r0_99	412	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	gunner	r0_99	185	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	sentinel	r0_99	91	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	core	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	core	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	builder_bot	r100_249	549	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	builder_bot	r100_249	694	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	gunner	r100_249	789	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	sentinel	r100_249	150	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	core	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	core	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	builder_bot	r250_499	338	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	builder_bot	r250_499	559	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	0	sentinel	r250_499	85	0	0	0	0
dodge_ouroboros_nordkap_1.replay26	1	gunner	r250_499	869	0	0	0	0
off_kladde_hive_0.replay26	0	core	r0_99	100	0	0	0	0
off_kladde_hive_0.replay26	1	core	r0_99	100	0	0	0	0
off_kladde_hive_0.replay26	0	builder_bot	r0_99	484	0	0	0	0
off_kladde_hive_0.replay26	1	builder_bot	r0_99	616	0	0	0	0
off_kladde_hive_0.replay26	0	launcher	r0_99	86	0	0	0	0
off_kladde_hive_0.replay26	1	gunner	r0_99	78	0	0	0	0
off_kladde_hive_0.replay26	1	sentinel	r0_99	51	0	0	0	0
off_kladde_hive_0.replay26	0	sentinel	r0_99	22	0	0	0	0
off_kladde_hive_0.replay26	0	core	r100_249	150	0	0	0	0
off_kladde_hive_0.replay26	1	core	r100_249	150	0	0	0	0
off_kladde_hive_0.replay26	0	builder_bot	r100_249	750	0	0	0	0
off_kladde_hive_0.replay26	1	builder_bot	r100_249	1306	0	0	0	0
off_kladde_hive_0.replay26	0	launcher	r100_249	150	0	0	0	0
off_kladde_hive_0.replay26	1	gunner	r100_249	249	0	0	0	0
off_kladde_hive_0.replay26	1	sentinel	r100_249	361	0	0	0	0
off_kladde_hive_0.replay26	0	sentinel	r100_249	173	0	0	0	0
off_kladde_hive_0.replay26	0	core	r250_499	250	0	0	0	0
off_kladde_hive_0.replay26	1	core	r250_499	250	0	0	0	0
off_kladde_hive_0.replay26	0	builder_bot	r250_499	1250	0	0	0	0
off_kladde_hive_0.replay26	1	builder_bot	r250_499	1766	0	0	0	0
off_kladde_hive_0.replay26	0	launcher	r250_499	250	0	0	0	0
off_kladde_hive_0.replay26	1	gunner	r250_499	500	0	0	0	0
off_kladde_hive_0.replay26	1	sentinel	r250_499	750	0	0	0	0
off_kladde_hive_0.replay26	0	sentinel	r250_499	500	0	0	0	0
off_kladde_hive_0.replay26	0	core	r500p	500	0	0	0	0
off_kladde_hive_0.replay26	1	core	r500p	500	0	0	0	0
off_kladde_hive_0.replay26	0	builder_bot	r500p	2499	0	0	0	0
off_kladde_hive_0.replay26	1	builder_bot	r500p	3500	0	0	0	0
