tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
parent_atoll_s2_A	atoll	2	A	359	1	5	0	3	0.0	2	5	2	3	27	3	3	3	4	2	2	3	10	12	4	8	4	45	120	100	70	270	160	14	410	160	12	660	160	1050	160	2	2	4	2	1	3	2	2	2	4	4	1	3	2	2	1	3	3	1	3	2	2	1	3	3	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	4	4	0	2	2	2	0	4	2	2	0	4	27	27	4	0	1.983	5	6	298	0.3792	0.0638	6	8	8	3	3	0.6	0	22	5	0.227	2	2	5	17	6	5	5	0	30	2	5	4	3	9	9	8	11	0	builder_attack	theirs	25	1	2	2	9	8	336	0.936	0.978	344	2	9	350	0.975	9	3	10	2	2	0	0	67	18	4	3	0	2	2	3	2	0.5	82	0	10	23	10	129	35	30	-1	500	500	97	0	384	1	359	Core destroyed
flagoff_atoll_s2_A	atoll	2	A	244	1	9	0	3	0.0	2	5	2	3	27	3	3	3	4	3	5	3	9	17	13	9	11	44	120	140	81	330	420	116	540	820	48	1040	1440	1260	1540	3	2	4	2	1	3	2	3	2	9	5	1	3	3	3	2	7	5	1	3	3	3	2	7	5	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	5	5	0	0	5	5	0	0	5	5	0	0	20	20	5	0	4.402	9	8	723	0.4952	0.0512	6	8	8	6	5	0.667	1	22	5	0.227	2	2	5	31	6	5	5	0	30	2	5	4	5	9	12	5	13	1	sentinel	theirs	19	3	2	2	8	8	96	0.393	0.697	105	2	12	232	0.951	5	6	9	4	0	0	0	149	18	4	3	0	0	4	3	2	0.5	149	0	18	54	10	64	19	24	-1	500	500	69	0	482	1	244	Core destroyed
v531fix_atoll_s2_A	atoll	2	A	189	1	5	0	3	0.0	2	5	5	3	27	2	2	2	4	3	3	2	3	3	8	6	2	54	40	90	62	120	140	16	220	140	14	310	140	310	140	2	1	3	3	1	3	2	2	1	3	4	1	3	2	2	1	3	5	1	3	2	2	0	2	5	1	3	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	1	4	4	0	2	4	4	0	2	4	4	0	1	23	23	4	0	3.349	5	5	613	0.7064	0.0098	6	8	8	2	2	0.4	1	22	5	0.227	2	2	6	76	6	6	6	0	34	2	5	3	3	14	10	12	12	0	builder_attack	theirs	25	1	2	2	8	8	181	0.958	0.958	283	2	10	179	0.947	12	2	132	1	0	0	0	140	140	1	1	0	0	1	1	1	1.0	140	0	48	0	10	28	11	30	18	466	500	93	0	104	1	189	Core destroyed
nomouth_atoll_s2_A	atoll	2	A	285	0	5	0	3	0.0	2	5	2	3	27	2	2	3	4	3	4	3	4	4	12	8	9	19	100	120	94	240	270	65	250	410	12	250	950	250	1580	2	2	4	2	1	3	2	2	1	3	7	1	3	2	2	0	2	7	1	3	2	3	0	2	7	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	5	5	0	1	5	5	0	1	5	5	0	1	25	25	5	0	3.898	5	10	792	0.7614	0.0088	6	8	8	3	3	0.6	0	22	5	0.227	2	2	6	67	6	5	5	1	25	2	5	5	4	11	9	11	11	0	builder_attack	theirs	25	1	2	2	9	8	270	0.947	0.965	354	2	9	275	0.965	7	3	91	1	0	0	0	100	100	1	5	0	0	1	1	1	1.0	100	0	66	12	22	30	0	61	168	0	500	-1	500	500	0	285	Core destroyed
cap6_atoll_s2_A	atoll	2	A	148	1	5	0	3	0.0	2	5	5	3	27	2	2	2	4	3	4	2	3	3	11	6	1	23	40	120	27	120	210	16	200	210	26	320	210	320	210	2	1	3	2	1	3	2	2	1	3	4	1	3	2	2	1	3	6	1	3	2	0	0	0	0	-1	-1	0	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	3	3	0	3	4	4	0	1	-1	-1	-1	-1	27	27	4	0	2.926	5	6	528	0.6818	0.0739	6	8	8	2	2	0.4	1	22	5	0.227	2	2	6	63	6	5	6	0	34	2	5	4	3	25	9	19	11	0	builder_attack	theirs	24	1	2	2	8	8	140	0.946	0.946	266	2	9	139	0.939	11	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	31	0	40	28	7	30	-1	500	500	81	0	0	1	148	Core destroyed
parent_atoll_s2_B	atoll	2	B	766	0	7	0	3	1.061	3	5	2	3	22	2	2	3	4	3	3	3	4	4	8	10	5	26	120	120	75	230	220	24	260	320	7	260	570	260	1980	2	2	4	2	1	3	2	2	1	2	2	1	3	1	2	0	0	4	2	3	0	2	0	0	5	2	3	0	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	2	2	2	0	4	4	4	0	2	5	5	0	3	23	23	7	0	4.172	7	9	834	0.446	0.0791	6	8	8	6	5	0.857	0	22	5	0.227	2	2	7	221	6	5	7	0	47	2	5	5	3	9	9	9	11	1	sentinel	theirs	19	3	2	2	8	8	85	0.111	0.136	102	2	9	757	0.988	8	6	21	5	0	0	0	367	29	5	4	0	0	5	2	4	0.8	367	0	298	0	20	40	6	10	16	0	464	66	410	410	0	766	Core destroyed
flagoff_atoll_s2_B	atoll	2	B	673	1	6	0	3	1.061	3	5	2	3	22	2	4	5	3	2	2	3	4	12	4	8	3	87	120	130	116	260	280	7	460	480	12	820	980	2000	2370	2	2	4	2	1	3	2	4	2	4	2	1	3	2	4	2	4	2	1	3	2	4	1	2	6	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	2	2	0	3	2	2	0	3	6	6	0	0	21	21	7	0	5.413	6	6	840	0.7024	0.0762	6	8	8	4	3	0.667	2	22	5	0.227	2	2	7	16	6	5	7	0	47	2	5	4	3	19	11	14	13	1	sentinel	theirs	22	1	2	2	8	8	58	0.086	0.089	70	2	11	662	0.984	6	4	41	3	0	0	0	27	21	3	3	0	0	3	1	3	1.0	27	0	314	9	10	184	0	0	14	52	458	99	0	168	1	673	Core destroyed
v531fix_atoll_s2_B	atoll	2	B	160	0	5	0	3	1.061	3	5	5	3	22	1	1	2	3	3	5	2	3	3	12	6	4	31	0	110	18	0	260	12	0	460	49	0	760	0	760	1	0	3	3	1	3	2	1	0	2	7	1	3	1	1	0	1	7	1	3	1	2	0	1	7	1	3	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	1	6	6	0	1	6	6	0	0	21	21	7	0	5.05	5	6	261	0.6322	0.0958	6	8	8	2	2	0.4	2	22	5	0.227	2	2	5	4	6	5	5	0	31	2	5	5	3	6	9	6	12	1	sentinel	theirs	20	2	2	2	9	8	60	0.375	0.381	67	2	11	149	0.931	5	2	9	2	0	0	0	69	17	2	2	0	0	2	2	1	0.5	69	0	36	0	20	0	36	4	101	0	50	-1	500	500	0	160	Core destroyed
nomouth_atoll_s2_B	atoll	2	B	158	1	5	0	3	1.061	3	5	2	3	22	2	2	2	4	2	4	3	4	4	4	5	3	52	120	120	101	260	260	14	460	360	30	750	500	750	500	2	2	4	0	1	3	2	2	2	4	3	1	3	2	2	2	4	3	1	3	2	2	2	4	3	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	4	3	3	0	2	3	3	0	2	3	3	0	1	40	40	3	0	2.171	5	6	362	0.5055	0.0221	6	8	8	3	2	0.6	0	22	5	0.227	2	2	4	25	6	4	4	0	30	2	5	4	2	10	10	10	16	1	sentinel	theirs	20	2	2	2	8	8	145	0.918	0.949	181	2	10	148	0.937	9	3	70	1	0	0	0	79	79	1	1	0	0	1	1	1	1.0	79	0	43	0	0	61	0	32	19	372	378	63	0	36	1	158	Core destroyed
cap6_atoll_s2_B	atoll	2	B	190	0	5	0	3	1.061	3	5	5	3	22	2	2	2	3	2	2	2	7	7	4	3	4	6	0	120	7	0	270	7	0	470	4	0	910	0	910	2	0	3	1	1	3	2	2	0	1	3	1	3	1	2	0	1	3	1	3	1	2	0	1	3	1	3	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	3	2	2	0	2	2	2	0	2	2	2	0	2	27	27	2	0	1.684	5	5	122	0.3443	0.0246	6	8	8	2	2	0.4	0	22	5	0.227	2	2	6	6	6	6	6	0	33	3	5	3	1	7	9	7	12	0	builder_attack	theirs	25	1	2	2	9	8	181	0.953	0.958	351	2	9	181	0.953	7	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	120	9	10	0	0	8	22	0	148	-1	500	500	0	190	Core destroyed
parent_drakkarfjord_s1_A	drakkarfjord	1	A	1000	1	5	0	3	1.376	4	4	9	9	33	2	2	3	12	3	3	10	10	10	11	10	1	75	50	0	80	200	180	87	340	260	18	340	260	340	260	2	2	10	0	1	9	1	2	2	10	5	1	9	1	2	0	1	7	1	9	1	2	0	0	8	3	9	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	5	5	0	2	6	6	0	1	7	7	0	0	42	42	7	0	6.605	5	6	4776	0.9012	0.0004	6	12	14	2	2	0.4	0	42	9	0.214	5	5	10	0	6	10	10	0	66	2	5	5	4	94	11	21	17	1	sentinel	theirs	43	2	2	2	14	14	985	0.985	0.986	1947	2	15	985	0.985	12	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	162	0	26	0	378	20	-1	500	500	-1	500	500	1	1000	Titanium collected (tiebreak)
flagoff_drakkarfjord_s1_A	drakkarfjord	1	A	106	1	4	0	3	1.376	4	4	9	9	33	2	2	3	12	3	3	10	10	10	10	6	1	69	50	0	22	200	0	52	400	0	7	410	0	410	0	2	2	10	0	1	9	1	2	2	10	4	1	9	1	2	2	10	8	1	9	1	0	0	0	0	-1	-1	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	4	4	0	3	7	7	0	0	-1	-1	-1	-1	44	44	7	0	3.075	4	6	387	0.6667	0.0026	6	12	14	2	2	0.5	0	42	9	0.214	5	5	10	0	6	10	10	0	66	4	5	5	3	14	11	14	18	1	sentinel	theirs	42	1	2	2	14	14	30	0.283	0.849	50	2	15	91	0.858	12	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	3	0	14	35	0	0	-1	500	500	37	0	0	1	106	Core destroyed
v531fix_drakkarfjord_s1_A	drakkarfjord	1	A	143	1	5	0	3	1.376	4	5	14	11	31	1	1	1	12	3	3	9	10	10	11	8	1	17	10	0	63	90	0	16	190	0	14	290	0	290	0	1	1	10	0	1	11	1	1	1	10	3	1	11	1	1	1	10	3	1	11	1	0	0	0	0	-1	-1	0	9	9	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	2	2	0	4	2	2	0	4	-1	-1	-1	-1	44	44	2	0	1.273	5	6	632	0.6582	0.0016	6	12	14	2	2	0.4	0	42	9	0.214	5	5	10	3	6	10	10	0	66	3	5	5	4	21	11	17	17	1	sentinel	theirs	43	2	2	2	14	14	128	0.895	0.902	211	2	15	128	0.895	12	2	124	1	0	0	0	136	136	1	0	0	0	1	1	1	1.0	136	0	17	0	4	30	4	0	-1	500	500	77	0	0	1	143	Core destroyed
nomouth_drakkarfjord_s1_A	drakkarfjord	1	A	104	1	4	0	3	1.376	4	4	9	9	33	2	2	2	10	3	3	10	10	10	21	6	0	43	40	0	22	200	0	12	300	0	22	300	0	300	0	2	2	10	0	1	9	1	2	2	10	5	1	9	1	2	0	1	8	1	9	1	0	0	0	0	-1	-1	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	5	5	0	2	7	7	0	0	-1	-1	-1	-1	44	44	7	0	3.337	4	6	358	0.5168	0.0028	6	12	14	2	2	0.5	0	42	9	0.214	5	5	10	0	6	10	10	0	66	3	5	5	3	14	11	14	36	0	builder_attack	theirs	40	2	2	2	14	14	89	0.856	0.865	145	2	15	89	0.856	11	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	10	28	0	10	-1	500	500	49	0	0	1	104	Core destroyed
cap6_drakkarfjord_s1_A	drakkarfjord	1	A	127	1	4	0	3	1.376	4	4	9	9	33	2	2	2	10	2	2	10	10	10	14	6	1	43	40	0	22	200	0	12	360	0	12	360	0	360	0	2	2	10	0	1	9	1	2	2	10	4	1	9	1	2	0	1	8	1	9	1	0	0	0	0	-1	-1	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	4	4	0	3	6	6	0	0	-1	-1	-1	-1	44	44	6	0	3.268	4	6	410	0.6122	0.0024	6	12	14	2	2	0.5	0	42	9	0.214	5	5	10	0	6	10	10	0	66	6	5	5	3	17	11	16	18	1	sentinel	theirs	42	1	2	2	14	14	109	0.858	0.89	203	2	15	112	0.882	10	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	12	0	10	45	0	2	-1	500	500	38	0	0	1	127	Core destroyed
parent_drakkarfjord_s1_B	drakkarfjord	1	B	98	1	4	0	3	1.376	4	4	9	9	33	2	2	2	16	3	3	10	17	18	15	6	1	1	30	0	24	200	0	12	320	0	12	320	0	320	0	2	1	8	0	1	9	1	2	2	18	4	1	9	2	0	0	0	0	-1	-1	0	0	0	0	0	-1	-1	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	4	4	0	2	-1	-1	-1	-1	-1	-1	-1	-1	44	44	6	0	2.612	4	5	300	0.4833	0.0033	6	12	14	2	2	0.5	0	42	9	0.214	5	5	10	0	6	10	10	0	68	3	5	5	3	15	11	15	18	1	sentinel	theirs	42	1	2	2	14	14	83	0.847	0.857	126	2	15	83	0.847	9	2	76	1	0	0	0	88	88	1	0	0	0	1	1	1	1.0	88	0	11	0	20	28	0	0	-1	500	500	43	0	0	1	98	Core destroyed
