file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_1.replay26	18	18	1000	A	titanium_collected	102	76	5060	2700	4/4	1/1	2/4	1/1	4/4	1/1	506	270	16	9,3	81	14,5	45	11,3	29	7,5	20	3,17							3	1,17	2	16,0	5	1,16	4	15,0					11	5	1	1	4	1	47	4	0	0	0	0	0	0	6	4	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_2.replay26	16	16	1000	A	titanium_collected	250	88	4970	750	3/3	0/1	2/3	0/1	3/3	1/1	497	75	7	7,7	7	11,7	24	9,9	31	9,10	18	2,3							7	4,8	9	7,12	9	4,7	11	8,12					14	2	1	1	3	1	90	3	0	0	0	0	0	1	4	6	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_3.replay26	25	25	259	A	core_destroyed	36	47	2000	1280	3/4	1/3	3/4	1/3	4/4	2/3	200	128	28	17,8			206	19,5	33	20,8	16	1,22							4	1,17	5	23,7	6	1,18	7	23,6					6	6	1	0	4	3	70	14	0	0	0	0	0	0	2	8	1	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_4.replay26	26	26	1000	B	titanium_collected	55	10375	12180	24220	2/4	19/20	2/4	19/20	4/4	20/20	1218	2422	22	16,16	23	16,21	37	17,17	70	14,16	21	7,7							6	4,2	3	21,23	8	5,2	5	20,23					8	14	1	1	4	20	34	114	0	0	0	0	0	6	0	17	0	0
1b24e13c-dea9-4070-940b-ed3d0f9a3dc4_game_5.replay26	21	8	1000	B	titanium_collected	10	48	380	3990	0/0	2/2	0/0	2/2	0/0	2/2	38	399	3	9,4			62	11,3	4	10,4							88	13,3	8	1,4	3	11,5	10	2,4	6	11,4					3	5	1	1	0	2	1	5	0	0	0	0	0	0	0	11	0	0
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_1.replay26	16	16	1000	A	titanium_collected	1492	19	6520	4960	4/8	4/4	3/8	2/4	6/8	4/4	652	496	17	10,10	28	13,10	40	12,12	21	11,10	35	0,3			701	0,3	51	13,13	4	1,4	3	10,15	6	1,3	5	11,15					8	3	1	1	8	4	48	19	0	0	1	0	5	2	0	6	0	0
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_2.replay26	24	24	519	B	core_destroyed	2912	368	6820	9660	3/3	21/21	2/3	20/21	3/3	21/21	682	966	54	14,14	68	11,17			326	12,14	16	3,4							10	0,2	5	23,21	12	1,2	7	22,21					2	8	0	1	3	21	49	105	0	0	0	0	0	4	0	20	1	0
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_3.replay26	25	25	1000	B	titanium_collected	9996	10090	13950	18320	5/9	10/10	5/9	10/10	9/9	10/10	1395	1832	15	14,14	52	16,16			18	14,17	80	7,8			198	8,9			8	1,7	6	23,17	10	2,7	8	23,18					2	5	1	1	9	10	97	67	0	0	0	0	1	3	0	16	1	0
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_4.replay26	14	18	150	A	core_destroyed	21	6	1080	480	2/4	2/2	2/4	1/2	4/4	2/2	108	48	1	6,7			49	6,11	3	6,10					10	6,8			5	7,2	3	5,16	7	6,3	5	5,15					5	4	1	0	4	2	23	3	0	0	1	0	0	0	2	0	0	0
92d2e09a-819b-4c5a-ac45-b9d1e0aec04d_game_5.replay26	18	18	1000	A	titanium_collected	2116	144	5350	4410	4/5	2/2	2/5	2/2	5/5	2/2	535	441	16	9,3					31	9,5	519	8,7			787	7,15			2	1,17	2	16,0	4	1,16	4	15,0					14	6	1	1	5	2	87	10	0	0	1	0	0	0	0	14	0	0
4bad25f4-ecf5-41fe-9670-2af849a63e87_game_1.replay26	14	18	171	A	core_destroyed	28	12	910	570	2/2	1/3	2/2	1/3	2/2	2/3	91	57	4	7,7	27	7,11	40	7,9	42	11,11	20	5,4							4	7,2	5	3,10	6	7,3	7	3,11					5	5	1	0	2	3	33	8	0	0	0	0	0	0	2	3	1	0
4bad25f4-ecf5-41fe-9670-2af849a63e87_game_2.replay26	16	16	259	B	core_destroyed	4	147	1260	2830	1/3	7/8	1/3	5/8	3/3	8/8	126	283	97	11,11	100	11,13	124	12,12	120	1,4	48	2,3							4	1,4	3	14,11	6	1,3	5	14,12					5	7	0	1	3	8	24	47	0	0	0	0	0	3	0	5	0	0
4bad25f4-ecf5-41fe-9670-2af849a63e87_game_3.replay26	28	20	219	B	core_destroyed	107	239	1360	4780	2/2	11/11	2/2	11/11	2/2	11/11	136	478	7	14,10	80	14,12	20	16,9	81	13,11	92	11,9					20	18,9	3	8,13	3	15,10	5	8,12	5	16,10					3	7	0	1	2	11	22	34	0	0	0	1	0	6	0	12	0	0
4bad25f4-ecf5-41fe-9670-2af849a63e87_game_4.replay26	21	8	1000	A	titanium_collected	7552	28	10070	120	3/3	0/2	3/3	0/2	3/3	2/2	1007	12	3	9,4	4	12,4	28	11,4			109	3,5							7	9,5	3	11,5	9	8,5	8	11,1					10	4	1	1	3	2	68	2	0	0	0	0	0	2	1	0	1	0
4bad25f4-ecf5-41fe-9670-2af849a63e87_game_5.replay26	20	26	227	B	core_destroyed	59	298	1280	3600	2/3	9/11	2/3	9/11	3/3	11/11	128	360	9	10,13	54	8,11	57	9,11	68	8,11	34	8,6							5	10,11	3	10,14	7	10,10	5	10,15					3	7	0	1	3	11	24	34	0	0	0	0	0	3	0	6	0	0
b4add3ad-b984-42cf-8232-37c6c88fd1a8_game_1.replay26	16	16	1000	B	titanium_collected	20	1504	4970	7290	2/3	7/9	2/3	2/9	3/3	8/9	497	729	17	7,5	17	5,5	29	5,3	30	3,3			26	15,13					3	1,4	4	14,11	5	1,3	6	14,12					6	12	1	1	3	9	11	104	0	0	0	0	2	3	2	0	0	1
b4add3ad-b984-42cf-8232-37c6c88fd1a8_game_2.replay26	16	16	779	A	core_destroyed	231	486	7500	2060	4/5	1/1	4/5	1/1	5/5	1/1	750	206	76	2,4	10	8,8	37	2,6	99	8,8			9	12,9			202	12,7	3	8,4	5	11,7	5	7,4	6	13,13					7	2	1	0	5	1	20	20	0	0	0	0	3	0	21	0	0	1
b4add3ad-b984-42cf-8232-37c6c88fd1a8_game_3.replay26	26	26	242	A	core_destroyed	245	25	5570	1420	14/15	4/4	13/15	4/4	15/15	4/4	557	142	61	7,2	34	9,10	54	8,9	85	8,7			21	21,21	86	7,6			3	10,6	6	24,19	5	9,6	13	16,19					7	8	1	0	15	4	97	40	0	0	1	0	9	0	7	0	0	1
b4add3ad-b984-42cf-8232-37c6c88fd1a8_game_4.replay26	26	26	1000	A	titanium_collected	14843	11731	23030	18480	13/16	15/17	11/16	14/17	16/16	16/17	2303	1848	49	9,4	28	9,9	92	3,9	41	8,8			23	20,21			83	13,7	7	4,2	5	23,19	9	5,2	7	23,20					14	13	1	1	16	17	72	67	0	0	0	0	3	0	2	0	0	1
b4add3ad-b984-42cf-8232-37c6c88fd1a8_game_5.replay26	18	18	1000	B	titanium_collected	549	1651	4690	5030	2/2	2/6	2/2	2/6	2/2	6/6	469	503	19	1,11	16	3,9	24	5,11	25	3,11			19	16,1	27	3,13	245	14,7	3	5,16	2	12,1	7	4,16	4	13,1					8	9	1	1	2	6	4	49	0	0	1	0	0	1	2	2	0	1
54107b82-c56c-4712-bd6d-611254395cfb_game_1.replay26	25	25	594	A	core_destroyed	227	776	6860	1780	8/8	1/1	8/8	1/1	8/8	1/1	686	178	191	17,7	32	7,16	64	7,17					25	20,2			7	20,4	6	1,17	4	23,7	8	1,18	6	23,6					14	6	1	0	8	1	57	5	0	0	0	0	4	0	10	0	0	1
54107b82-c56c-4712-bd6d-611254395cfb_game_2.replay26	28	20	396	A	core_destroyed	2937	4085	9490	7700	13/14	6/7	13/14	5/7	14/14	7/7	949	770	52	6,8	12	13,10	77	13,11	112	9,12			13	21,9					3	12,10	7	19,13	5	11,10	9	19,12					8	7	1	0	14	7	49	29	0	0	0	0	7	0	1	0	0	1
54107b82-c56c-4712-bd6d-611254395cfb_game_3.replay26	28	20	162	B	core_destroyed	4	8	0	690	0/2	2/2	0/2	2/2	1/2	2/2	0	69	18	11,8	15	13,10			47	11,10									10	12,5	10	26,11	14	13,6	12	25,11					4	5	0	1	2	2	5	23	0	0	0	0	0	1	0	2	0	0
54107b82-c56c-4712-bd6d-611254395cfb_game_4.replay26	20	26	905	A	core_destroyed	12658	1483	23310	4120	13/13	1/3	13/13	1/3	13/13	3/3	2331	412	69	5,9	65	9,13	51	7,13					24	8,18					3	10,11	5	9,23	5	10,10	7	9,22					12	7	1	0	13	3	51	16	0	0	0	0	11	0	5	0	0	0
54107b82-c56c-4712-bd6d-611254395cfb_game_5.replay26	25	15	263	B	core_destroyed	30	0	530	930	0/3	3/3	0/3	3/3	3/3	3/3	53	93	2	11,6	1	11,9	187	8,6	216	12,5									5	16,6	6	16,11	7	16,5	8	16,12					5	5	0	1	3	3	8	17	0	0	0	0	3	0	3	2	0	0
e6f5b4c3-bc7c-4cd2-b48f-5557ac43199e_game_1.replay26	26	26	1000	A	titanium_collected	10745	425	19670	17280	8/13	11/12	6/13	7/12	13/13	12/12	1967	1728	18	15,16	33	21,18	28	17,18	93	18,17	22	7,5							9	1,6	3	15,19	11	2,6	5	16,19					3	7	1	1	13	12	107	71	0	0	0	0	4	6	0	15	1	0
e6f5b4c3-bc7c-4cd2-b48f-5557ac43199e_game_2.replay26	18	18	1000	A	titanium_collected	1420	94	4960	4940	6/6	2/2	2/6	2/2	6/6	2/2	496	494	20	9,3	20	9,0	28	11,3	24	11,1	15	4,14			116	5,13			2	1,17	3	12,1	4	1,16	7	13,1					12	3	1	1	6	2	42	4	0	0	1	0	0	2	1	3	1	0
e6f5b4c3-bc7c-4cd2-b48f-5557ac43199e_game_3.replay26	25	25	319	B	core_destroyed	36	129	1050	2420	1/2	4/4	1/2	4/4	2/2	4/4	105	242	29	17,8	92	3,17			49	20,6	20	1,22							11	1,17	6	23,7	13	1,18	8	23,6					4	6	0	1	2	4	9	30	0	0	0	0	0	4	0	4	1	0
e6f5b4c3-bc7c-4cd2-b48f-5557ac43199e_game_4.replay26	24	24	413	B	core_destroyed	1385	246	5330	7420	8/11	20/20	6/11	20/20	11/11	20/20	533	742	68	14,14	85	11,17			199	10,15	19	3,4			78	20,8			10	0,2	9	13,19	12	1,2	11	14,19					12	10	0	1	11	20	77	94	0	0	1	0	0	7	0	7	1	0
e6f5b4c3-bc7c-4cd2-b48f-5557ac43199e_game_5.replay26	21	8	1000	A	titanium_collected	4509	1916	7470	6480	2/2	3/4	2/2	3/4	2/2	4/4	747	648	15	8,2	72	14,1	138	11,4	46	13,2	306	9,0			442	8,3	242	13,2	4	9,5	3	11,5	6	9,4	5	11,4					1	8	1	1	2	4	28	12	0	0	0	1	0	3	0	5	0	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	16	16	1000	B	titanium_collected	27	5826	6100	14090	1/5	6/7	1/5	6/7	5/5	7/7	610	1409	786	4,3	194	4,5	77	12,12	93	11,11	17	3,0					81	0,13	4	1,4	3	10,15	6	1,3	5	11,15					5	10	1	1	5	7	40	47	0	0	0	13	0	2	0	11	1	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_2.replay26	21	8	1000	A	titanium_collected	5962	88	13450	2680	5/5	1/3	5/5	1/3	5/5	2/3	1345	268	7	8,2	35	11,3	36	10,3	5	9,3	48	7,2					177	13,3	10	1,4	3	11,5	12	2,4	5	11,4					11	2	1	1	5	3	66	3	0	0	0	0	2	1	3	3	1	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_3.replay26	10	10	659	B	core_destroyed	8	8	100	1620	0/1	1/2	0/1	1/2	1/1	2/2	10	162	5	6,5					4	5,5									8	1,8	4	6,2	10	1,7	17	4,7					4	5	0	1	1	2	4	4	0	0	0	0	1	0	0	5	0	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_4.replay26	20	26	190	A	core_destroyed	48	46	1210	600	3/5	1/2	3/5	1/2	5/5	2/2	121	60	6	10,13	68	9,12	78	9,15	6	9,13									10	9,2	5	9,23	12	9,3	7	9,22					3	1	1	0	5	2	33	5	0	0	0	0	1	0	2	1	0	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_5.replay26	25	25	462	A	core_destroyed	451	117	4650	2280	5/6	3/3	5/6	2/3	6/6	3/3	465	228	30	17,8	60	14,5	88	19,6	32	19,10	17	2,18					136	20,5	6	1,17	5	23,7	8	1,18	7	23,6					8	5	1	0	6	3	89	28	0	0	0	3	0	1	0	7	1	0
d61337ce-b406-4474-9081-bc07a7d4fe3f_game_1.replay26	26	26	1000	B	titanium_collected	13443	10848	19660	27420	10/10	16/16	8/10	14/16	10/10	16/16	1966	2742	18	15,16	20	18,16	28	17,18	37	19,18	25	4,8					87	18,20	9	1,6	4	21,24	11	2,6	6	20,24					12	13	1	1	10	16	74	112	0	0	0	21	0	4	0	9	1	0
d61337ce-b406-4474-9081-bc07a7d4fe3f_game_2.replay26	20	26	1000	A	titanium_collected	7522	105	12060	6360	7/13	2/2	6/13	2/2	13/13	2/2	1206	636	5	10,13	14	7,13	89	11,13	6	9,13							195	14,11	10	10,11	5	9,23	12	10,10	7	9,22					5	4	1	1	13	2	89	6	0	0	0	8	1	0	0	12	0	0
d61337ce-b406-4474-9081-bc07a7d4fe3f_game_3.replay26	28	20	1000	A	titanium_collected	10094	254	24670	12180	10/11	5/6	9/11	5/6	11/11	6/6	2467	1218	13	14,10	49	18,12	36	16,10	14	14,9	11	6,8					56	18,10	7	11,12	3	21,6	9	11,11	5	20,6					5	4	1	1	11	6	81	27	0	0	0	24	0	3	0	25	1	0
d61337ce-b406-4474-9081-bc07a7d4fe3f_game_4.replay26	26	26	1000	B	titanium_collected	8274	2837	12190	14540	4/4	13/16	4/4	13/16	4/4	16/16	1219	1454	22	16,16	23	16,21	44	17,17	44	18,18	13	5,8					74	5,10	6	2,6	3	21,23	8	2,5	5	20,23					13	14	1	1	4	16	42	65	0	0	0	15	0	3	0	8	1	0
d61337ce-b406-4474-9081-bc07a7d4fe3f_game_5.replay26	24	24	623	B	core_destroyed	120	372	1520	10460	1/1	16/20	1/1	16/20	1/1	19/20	152	1046	29	14,14	38	14,18			29	12,16	26	6,2					311	5,10	9	0,2	5	23,21	11	1,2	7	22,21					6	11	0	1	1	20	24	98	0	0	0	11	0	4	0	20	1	0
a1fc1139-c3f0-4f81-916c-4d8ab86a40d4_game_1.replay26	28	20	177	A	core_destroyed	22	27	850	960	2/2	2/3	2/2	2/3	2/2	3/3	85	96					4	16,9	6	16,8	1	10,9			27	15,10			5	6,6	3	21,6	6	8,12	5	20,6					3	2	1	0	2	3	13	9	0	0	1	0	0	0	1	6	1	0
a1fc1139-c3f0-4f81-916c-4d8ab86a40d4_game_2.replay26	24	24	1000	B	titanium_collected	77	425	2460	12040	1/1	4/19	1/1	4/19	1/1	19/19	246	1204	154	2,3	111	21,20	54	21,16	56	21,17	4	7,7			170	13,14	194	8,11	10	0,2	5	23,21	12	1,2	7	22,21					5	12	1	1	1	19	17	65	0	0	0	11	1	5	0	17	0	0
a1fc1139-c3f0-4f81-916c-4d8ab86a40d4_game_3.replay26	16	16	1000	B	titanium_collected	2267	4694	5130	8230	2/2	5/6	2/2	5/6	2/2	6/6	513	823	96	0,3	921	0,8	15	12,12	17	10,13	2	3,3			196	7,8	106	2,6	3	1,4	3	10,15	4	1,3	5	11,15					1	12	1	1	2	6	21	36	0	0	0	12	0	1	0	10	1	0
a1fc1139-c3f0-4f81-916c-4d8ab86a40d4_game_4.replay26	26	26	1000	A	titanium_collected	10758	3862	18000	10780	12/15	5/7	11/15	5/7	13/15	7/7	1800	1078	123	12,7	23	20,14	20	17,17	60	16,16	9	8,10			63	19,14	85	1,17	6	4,2	3	21,23	8	5,2	5	20,23					5	11	1	1	15	7	64	22	0	0	4	5	4	3	1	10	0	0
a1fc1139-c3f0-4f81-916c-4d8ab86a40d4_game_5.replay26	25	15	268	A	core_destroyed	27	125	3170	3020	5/6	7/9	5/6	4/9	6/6	9/9	317	302	68	12,8	61	12,9	73	11,7	71	8,8	1	12,6			49	7,8			6	16,6	6	6,13	8	16,5	8	7,13					9	3	1	0	6	9	40	41	0	0	0	0	0	0	3	8	0	0
4d9dbc76-b802-48a0-9acf-284487dab5ba_game_1.replay26	26	26	1000	B	titanium_collected	14161	15939	14650	21330	6/7	13/18	6/7	11/18	7/7	18/18	1465	2133	20	16,16	23	16,21	137	22,17	43	18,18	23	7,7					74	4,11	6	4,2	3	21,23	8	5,2	5	20,23					4	14	1	1	7	18	44	73	0	0	0	7	0	3	0	15	1	0
4d9dbc76-b802-48a0-9acf-284487dab5ba_game_2.replay26	18	18	1000	A	titanium_collected	7210	201	10400	4740	4/5	2/2	4/5	2/2	5/5	2/2	1040	474	17	9,3	99	8,15	24	11,3	19	12,3	13	4,13			237	2,11	152	10,10	3	1,17	2	16,0	7	1,16	4	15,0					12	6	1	1	5	2	63	9	0	0	3	13	2	0	0	19	1	0
4d9dbc76-b802-48a0-9acf-284487dab5ba_game_3.replay26	25	15	157	A	core_destroyed	21	83	790	910	2/3	4/5	2/3	3/5	3/3	4/5	79	91	3	12,5	4	12,9	48	12,7	32	10,9									6	16,3	6	6,13	8	16,2	8	7,13					4	4	1	0	3	5	42	17	0	0	0	0	1	1	1	2	0	0
4d9dbc76-b802-48a0-9acf-284487dab5ba_game_4.replay26	16	16	207	A	core_destroyed	75	59	1400	450	3/3	1/1	3/3	1/1	3/3	1/1	140	45	8	7,7	12	7,11	33	8,7	19	7,8	74	5,2							7	4,8	7	11,7	9	4,7	9	11,8					5	2	1	0	3	1	56	4	0	0	0	0	1	0	3	3	1	0
4d9dbc76-b802-48a0-9acf-284487dab5ba_game_5.replay26	28	20	1000	A	titanium_collected	2079	181	7790	7190	5/5	4/4	3/5	4/4	5/5	4/4	779	719	8	14,10	8	17,7	21	16,9	15	12,8	7	6,8					99	12,6	4	8,13	3	21,6	6	8,12	5	20,6					1	7	1	1	5	4	133	20	0	0	0	2	3	2	0	12	1	0
ae1b86af-c11c-4665-8fd0-0034f6d7436d_game_1.replay26	20	26	459	B	core_destroyed	0	240	1650	6730	1/4	11/11	1/4	11/11	4/4	11/11	165	673	10	10,13	29	10,17			11	9,13							396	15,10	6	10,11	5	9,23	8	10,10	7	9,22					3	11	0	1	4	11	21	39	0	0	0	6	0	4	0	12	0	0
ae1b86af-c11c-4665-8fd0-0034f6d7436d_game_2.replay26	16	16	1000	A	titanium_collected	1886	145	10420	9440	2/2	5/5	2/2	4/5	2/2	5/5	1042	944	11	7,7			24	9,9	16	10,7	15	2,1					362	9,2	4	1,6	7	11,7	6	2,6	9	11,8					4	3	1	1	2	5	39	19	0	0	0	5	0	0	1	13	1	0
ae1b86af-c11c-4665-8fd0-0034f6d7436d_game_3.replay26	25	15	323	B	core_destroyed	34	107	470	1490	0/3	2/2	0/3	2/2	3/3	2/2	47	149	1	12,5	4	12,9	63	12,7	31	12,8							85	12,9	7	7,6	6	6,13	9	8,6	8	7,13					3	4	0	1	3	2	19	7	0	0	0	1	0	0	1	7	0	0
ae1b86af-c11c-4665-8fd0-0034f6d7436d_game_4.replay26	25	25	1000	B	titanium_collected	3709	10477	12700	21960	6/6	13/14	6/6	13/14	6/6	14/14	1270	2196	18	14,14	34	14,16	344	10,9	20	14,17	18	3,6					121	11,13	7	10,6	6	23,17	13	5,7	8	23,18					4	4	1	1	6	14	57	102	0	0	0	12	5	2	0	16	1	0
ae1b86af-c11c-4665-8fd0-0034f6d7436d_game_5.replay26	25	25	769	B	core_destroyed	7	244	2500	6930	0/1	4/4	0/1	4/4	1/1	4/4	250	693	26	17,8	503	8,20	57	21,7	44	19,6	71	0,19					126	19,11	8	1,17	5	23,7	10	1,18	7	23,6					3	6	0	1	1	4	55	38	0	0	0	42	0	2	0	21	0	0
d540fe5a-b907-47aa-b255-4bbdcf397c0f_game_1.replay26	16	16	1000	B	titanium_collected	64	6136	4050	11960	1/2	6/6	1/2	6/6	2/2	6/6	405	1196	8	7,7	361	8,7	29	8,11	14	5,9	61	2,7					101	0,8	6	1,6	7	11,7	8	2,6	9	11,8					6	7	1	1	2	6	20	23	0	0	0	3	0	2	1	13	1	0
d540fe5a-b907-47aa-b255-4bbdcf397c0f_game_2.replay26	26	26	1000	B	titanium_collected	15236	15278	21580	28370	10/11	14/16	8/11	13/16	11/11	16/16	2158	2837	20	15,16	23	19,16	35	16,19	52	16,19	13	6,3					191	25,8	8	1,5	4	21,24	10	2,5	6	20,24					6	14	1	1	11	16	133	118	0	0	0	17	0	2	0	30	1	0
d540fe5a-b907-47aa-b255-4bbdcf397c0f_game_3.replay26	28	20	818	B	core_destroyed	45	392	5960	13080	3/4	15/15	3/4	15/15	3/4	15/15	596	1308	8	14,10	8	17,7	72	13,11	15	12,8	18	9,7					87	11,8	6	4,11	3	21,6	8	5,11	5	20,6					6	11	0	1	4	15	20	55	0	0	0	5	0	4	0	7	0	0
d540fe5a-b907-47aa-b255-4bbdcf397c0f_game_4.replay26	25	25	246	B	core_destroyed	843	203	1310	3260	1/1	8/8	1/1	8/8	1/1	8/8	131	326	30	17,8	190	6,18	65	2,15	32	19,10	16	0,20					177	9,17	10	9,17	5	23,7	12	8,17	7	23,6					6	9	0	1	1	8	13	70	0	0	0	3	0	3	3	8	1	0
d540fe5a-b907-47aa-b255-4bbdcf397c0f_game_5.replay26	26	26	1000	A	titanium_collected	11523	88	16930	14770	6/7	11/15	5/7	11/15	7/7	15/15	1693	1477	22	16,16	23	16,21	37	17,17	46	15,17	25	4,4					264	14,13	5	2,6	3	21,23	7	2,5	5	20,23					10	14	1	1	7	15	66	69	0	0	0	17	0	3	0	25	1	0
02aa5ed0-8156-4e0f-a9b3-72358e9dfb60_game_1.replay26	14	18	1000	B	titanium_collected	54	1454	4800	11460	2/2	5/7	2/2	5/7	2/2	7/7	480	1146	6	7,7			47	6,9	8	6,7							59	5,3	8	3,7	3	5,16	10	4,7	5	5,15					4	12	1	1	2	7	27	27	0	0	0	8	0	0	0	12	0	0
