file	match	game	us_side	our_won	ourver	oppver	completedAt	game_winner_side
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_2.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	2	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_3.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	3	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_4.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	4	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_5.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	5	b	1	76	44	2026-08-08T12:36:40.797Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_1.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	1	b	0	79	44	2026-08-08T13:38:50.156Z	a
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_2.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	2	b	1	79	44	2026-08-08T13:38:50.156Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_3.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	3	b	0	79	44	2026-08-08T13:38:50.156Z	a
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_4.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	4	b	1	79	44	2026-08-08T13:38:50.156Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_5.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	5	b	0	79	44	2026-08-08T13:38:50.156Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_1.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	1	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_2.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	2	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_3.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	3	b	1	80	44	2026-08-08T15:03:21.755Z	b
b8a10d95-4d33-443e-8616-90717e2eb721_game_4.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	4	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_5.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	5	b	0	80	44	2026-08-08T15:03:21.755Z	a
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_1.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	1	a	0	80	44	2026-08-08T16:15:52.918Z	b
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_2.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	2	a	1	80	44	2026-08-08T16:15:52.918Z	a
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_3.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	3	a	1	80	44	2026-08-08T16:15:52.918Z	a
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_4.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	4	a	0	80	44	2026-08-08T16:15:52.918Z	b
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_5.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	5	a	0	80	44	2026-08-08T16:15:52.918Z	b
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_1.replay26	cfb0faf5-641d-4593-8adf-6a27040c5ebd	1	b	0	81	44	2026-08-08T17:58:38.016Z	a
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_2.replay26	cfb0faf5-641d-4593-8adf-6a27040c5ebd	2	b	0	81	44	2026-08-08T17:58:38.016Z	a
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_3.replay26	cfb0faf5-641d-4593-8adf-6a27040c5ebd	3	b	0	81	44	2026-08-08T17:58:38.016Z	a
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_4.replay26	cfb0faf5-641d-4593-8adf-6a27040c5ebd	4	b	0	81	44	2026-08-08T17:58:38.016Z	a
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_5.replay26	cfb0faf5-641d-4593-8adf-6a27040c5ebd	5	b	0	81	44	2026-08-08T17:58:38.016Z	a
ef7f11f0-da6d-4f46-a933-99a440a22d54_game_1.replay26	ef7f11f0-da6d-4f46-a933-99a440a22d54	1	a	0	84	44	2026-08-08T19:47:01.499Z	b
ef7f11f0-da6d-4f46-a933-99a440a22d54_game_2.replay26	ef7f11f0-da6d-4f46-a933-99a440a22d54	2	a	1	84	44	2026-08-08T19:47:01.499Z	a
ef7f11f0-da6d-4f46-a933-99a440a22d54_game_3.replay26	ef7f11f0-da6d-4f46-a933-99a440a22d54	3	a	1	84	44	2026-08-08T19:47:01.499Z	a
ef7f11f0-da6d-4f46-a933-99a440a22d54_game_4.replay26	ef7f11f0-da6d-4f46-a933-99a440a22d54	4	a	0	84	44	2026-08-08T19:47:01.499Z	b
ef7f11f0-da6d-4f46-a933-99a440a22d54_game_5.replay26	ef7f11f0-da6d-4f46-a933-99a440a22d54	5	a	0	84	44	2026-08-08T19:47:01.499Z	b
7beb69d8-fd78-46fb-ba3e-b87605042baa_game_1.replay26	7beb69d8-fd78-46fb-ba3e-b87605042baa	1	b	1	80	44	2026-08-08T21:35:18.639Z	b
7beb69d8-fd78-46fb-ba3e-b87605042baa_game_2.replay26	7beb69d8-fd78-46fb-ba3e-b87605042baa	2	b	1	80	44	2026-08-08T21:35:18.639Z	b
7beb69d8-fd78-46fb-ba3e-b87605042baa_game_3.replay26	7beb69d8-fd78-46fb-ba3e-b87605042baa	3	b	1	80	44	2026-08-08T21:35:18.639Z	b
7beb69d8-fd78-46fb-ba3e-b87605042baa_game_4.replay26	7beb69d8-fd78-46fb-ba3e-b87605042baa	4	b	0	80	44	2026-08-08T21:35:18.639Z	a
7beb69d8-fd78-46fb-ba3e-b87605042baa_game_5.replay26	7beb69d8-fd78-46fb-ba3e-b87605042baa	5	b	1	80	44	2026-08-08T21:35:18.639Z	b
d318ad37-39ba-47df-9a47-d7f1def60223_game_1.replay26	d318ad37-39ba-47df-9a47-d7f1def60223	1	b	0	80	44	2026-08-08T23:46:02.717Z	a
d318ad37-39ba-47df-9a47-d7f1def60223_game_2.replay26	d318ad37-39ba-47df-9a47-d7f1def60223	2	b	1	80	44	2026-08-08T23:46:02.717Z	b
d318ad37-39ba-47df-9a47-d7f1def60223_game_3.replay26	d318ad37-39ba-47df-9a47-d7f1def60223	3	b	0	80	44	2026-08-08T23:46:02.717Z	a
d318ad37-39ba-47df-9a47-d7f1def60223_game_4.replay26	d318ad37-39ba-47df-9a47-d7f1def60223	4	b	1	80	44	2026-08-08T23:46:02.717Z	b
d318ad37-39ba-47df-9a47-d7f1def60223_game_5.replay26	d318ad37-39ba-47df-9a47-d7f1def60223	5	b	0	80	44	2026-08-08T23:46:02.717Z	a
7d2234bf-e507-4f07-9281-c29e8a5e83d8_game_1.replay26	7d2234bf-e507-4f07-9281-c29e8a5e83d8	1	a	1	80	44	2026-08-09T01:08:59.765Z	a
