game	map	round	frm	to	cls	throw_dsq_from_core
v513_log-atoll-s2-B	atoll	612	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	616	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	620	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	624	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	628	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	632	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	636	1,15	0,11	ON_SEAT	1
v513_log-atoll-s2-B	atoll	637	0,15	1,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	641	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	649	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	653	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	656	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	657	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	661	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	665	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	667	1,16	0,11	ON_CORNER	2
v513_log-atoll-s2-B	atoll	669	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	673	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	677	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	681	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	685	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	689	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	693	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	693	4,12	10,12	OFF_RING	2
v513_log-atoll-s2-B	atoll	697	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	701	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	705	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	709	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	713	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	717	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	721	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	725	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	729	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	733	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	737	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	741	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	745	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	749	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	753	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	757	0,15	0,11	OFF_RING	1
v513_log-atoll-s2-B	atoll	761	0,15	0,11	OFF_RING	1
v513_log-atoll-s3-A	atoll	9	14,6	8,5	OFF_RING	9
v513_log-atoll-s3-A	atoll	140	15,6	17,0	OFF_RING	9
v513_log-atoll-s3-A	atoll	205	11,3	12,9	OFF_RING	4
v513_log-atoll-s3-A	atoll	209	11,5	17,5	OFF_RING	8
v513_log-atoll-s3-A	atoll	210	17,4	17,10	OFF_RING	5
v513_log-atoll-s3-A	atoll	214	17,6	11,5	OFF_RING	13
v513_log-atoll-s3-B	atoll	8	5,14	5,8	OFF_RING	4
v513_log-atoll-s3-B	atoll	14	1,11	0,17	OFF_RING	5
v513_log-atoll-s3-B	atoll	18	0,11	6,12	OFF_RING	5
v513_log-atoll-s3-B	atoll	22	2,12	0,7	OFF_RING	1
v513_log-atoll-s3-B	atoll	27	1,11	0,17	OFF_RING	5
v513_log-atoll-s3-B	atoll	42	0,13	0,7	OFF_RING	2
v513_log-atoll-s3-B	atoll	47	1,11	0,17	OFF_RING	5
v513_log-atoll-s3-B	atoll	51	0,13	0,7	OFF_RING	2
v513_log-atoll-s3-B	atoll	128	3,16	9,17	ON_SEAT	1
v513_log-atoll-s3-B	atoll	219	1,13	0,7	ON_CORNER	2
v513_log-midgard-s1-A	midgard	14	23,25	27,20	OFF_RING	5
v513_log-midgard-s1-A	midgard	30	23,25	27,20	OFF_RING	5
v513_log-midgard-s1-A	midgard	188	23,25	27,20	OFF_RING	5
v513_log-midgard-s1-B	midgard	12	6,5	0,6	OFF_RING	13
v513_log-midgard-s1-B	midgard	34	5,4	8,9	OFF_RING	5
v513_log-midgard-s2-B	midgard	27	6,4	2,9	OFF_RING	10
v513_log-midgard-s2-B	midgard	39	5,4	8,9	OFF_RING	5
v513_log-midgard-s3-A	midgard	14	23,25	27,20	OFF_RING	5
v513_log-midgard-s3-A	midgard	37	25,29	24,23	OFF_RING	5
v513_log-midgard-s3-A	midgard	38	23,23	23,29	OFF_RING	8
v513_log-midgard-s3-A	midgard	39	24,29	24,23	OFF_RING	5
v513_log-midgard-s3-A	midgard	40	23,23	23,29	OFF_RING	8
v513_log-midgard-s3-A	midgard	41	24,29	24,23	OFF_RING	5
v513_log-midgard-s3-A	midgard	42	23,23	23,29	OFF_RING	8
v513_log-midgard-s3-A	midgard	43	24,29	24,23	OFF_RING	5
v513_log-midgard-s3-A	midgard	44	23,23	23,29	OFF_RING	8
v513_log-midgard-s3-A	midgard	63	23,23	23,29	OFF_RING	8
v513_log-midgard-s3-A	midgard	77	23,24	29,23	OFF_RING	5
v513_log-midgard-s3-A	midgard	158	29,27	29,21	OFF_RING	4
v513_log-midgard-s3-A	midgard	201	28,26	29,21	ON_SEAT	1
v513_log-midgard-s3-A	midgard	223	28,25	28,21	ON_CORNER	2
v513_log-midgard-s3-B	midgard	12	6,4	2,9	OFF_RING	10
v513_log-midgard-s3-B	midgard	38	5,4	8,9	OFF_RING	5
v513_log-nordkap-s1-B	nordkap	98	10,10	16,9	OFF_RING	9
v513_log-nordkap-s1-B	nordkap	102	12,9	6,8	OFF_RING	8
v513_log-nordkap-s1-B	nordkap	298	10,10	16,9	OFF_RING	9
v513_log-nordkap-s1-B	nordkap	302	12,9	6,8	OFF_RING	8
v513_log-nordkap-s1-B	nordkap	334	10,10	16,9	OFF_RING	9
v513_log-nordkap-s1-B	nordkap	338	12,9	6,8	OFF_RING	8
