game	map	tile	osr	notbuildable	b_noadj	b_adj_nofund	b_adj_fund	b_adj_fund_gateopen
v513_log-glacierkeep-s2-B	glacierkeep	13,2	25	2	22	0	1	0
v513_log-glacierkeep-s3-A	glacierkeep	14,25	15	2	12	0	1	1
v513_log-glacierkeep-s3-A	glacierkeep	15,25	11	1	9	0	1	1
v513_log-glacierkeep-s3-A	glacierkeep	16,26	6	0	5	0	1	1
v513_log-glacierkeep-s3-A	glacierkeep	16,27	1	0	0	0	1	1
v513_log-glacierkeep-s3-A	glacierkeep	15,28	2	0	0	0	2	2
v513_log-glacierkeep-s3-A	glacierkeep	14,28	37	0	36	0	1	0
v513_log-glacierkeep-s3-A	glacierkeep	13,27	40	0	39	0	1	0
v513_log-glacierkeep-s3-A	glacierkeep	13,26	47	1	45	0	1	1
v513_log-glacierkeep-s3-B	glacierkeep	14,1	923	223	697	3	0	0
v513_log-glacierkeep-s3-B	glacierkeep	15,1	907	98	804	2	3	2
v513_log-glacierkeep-s3-B	glacierkeep	16,2	2	0	0	0	2	2
v513_log-glacierkeep-s3-B	glacierkeep	16,3	11	0	10	0	1	1
v513_log-glacierkeep-s3-B	glacierkeep	15,4	14	0	13	0	1	1
v513_log-glacierkeep-s3-B	glacierkeep	14,4	18	0	17	0	1	0
v513_log-glacierkeep-s3-B	glacierkeep	13,3	21	0	20	0	1	0
v513_log-glacierkeep-s3-B	glacierkeep	13,2	25	0	24	0	1	0
v513_log-midgard-s1-A	midgard	26,25	120	111	9	0	0	0
v513_log-midgard-s1-A	midgard	27,25	120	120	0	0	0	0
v513_log-midgard-s1-A	midgard	28,26	120	2	118	0	0	0
v513_log-midgard-s1-A	midgard	28,27	120	0	120	0	0	0
v513_log-midgard-s1-A	midgard	27,28	120	0	120	0	0	0
v513_log-midgard-s1-A	midgard	26,28	95	0	94	0	1	0
v513_log-midgard-s1-A	midgard	25,27	120	120	0	0	0	0
v513_log-midgard-s1-A	midgard	25,26	59	0	58	0	1	1
v513_log-midgard-s1-B	midgard	2,1	0	0	0	0	0	0
v513_log-midgard-s1-B	midgard	3,1	0	0	0	0	0	0
v513_log-midgard-s1-B	midgard	4,2	11	10	0	0	1	1
v513_log-midgard-s1-B	midgard	4,3	0	0	0	0	0	0
v513_log-midgard-s1-B	midgard	3,4	12	12	0	0	0	0
v513_log-midgard-s1-B	midgard	2,4	12	12	0	0	0	0
v513_log-midgard-s1-B	midgard	1,3	0	0	0	0	0	0
v513_log-midgard-s1-B	midgard	1,2	0	0	0	0	0	0
v513_log-midgard-s2-A	midgard	26,25	18	0	17	0	1	1
v513_log-midgard-s2-A	midgard	27,25	217	217	0	0	0	0
v513_log-midgard-s2-A	midgard	28,26	8	0	7	0	1	1
v513_log-midgard-s2-A	midgard	28,27	3	0	2	0	1	1
v513_log-midgard-s2-A	midgard	27,28	2	0	0	0	2	2
v513_log-midgard-s2-A	midgard	26,28	1	0	0	0	1	1
v513_log-midgard-s2-A	midgard	25,27	38	0	37	0	1	1
v513_log-midgard-s2-A	midgard	25,26	56	0	55	0	1	1
v513_log-midgard-s2-B	midgard	2,1	38	0	38	0	0	0
v513_log-midgard-s2-B	midgard	3,1	38	0	38	0	0	0
v513_log-midgard-s2-B	midgard	4,2	38	38	0	0	0	0
v513_log-midgard-s2-B	midgard	4,3	38	38	0	0	0	0
v513_log-midgard-s2-B	midgard	3,4	38	38	0	0	0	0
v513_log-midgard-s2-B	midgard	2,4	38	38	0	0	0	0
v513_log-midgard-s2-B	midgard	1,3	38	13	25	0	0	0
v513_log-midgard-s2-B	midgard	1,2	38	0	38	0	0	0
