game	map	seat	tile	ring_rounds	D	d_body	E	b	o	empty	ever_denied	dominant	enemy_kinds	enemy_bldg_predates_arrival
v513_log-drakkarfjord-s1-A	drakkarfjord	A	28,5	215	185	0	0	0	0	30	1	D	-	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	27,6	215	182	0	0	0	0	33	1	D	-	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	26,6	215	0	0	193	0	0	22	0	E	conveyor:193	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	25,5	215	31	0	182	0	0	2	1	E	conveyor:182	0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	25,4	215	110	3	0	0	0	102	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	2,23	108	24	3	0	4	0	77	1	.	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	3,23	108	107	0	0	0	0	1	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	4,24	108	90	0	0	0	0	18	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	4,25	108	97	0	0	0	0	11	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	3,26	108	80	2	0	0	0	26	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	2,26	108	82	0	0	0	0	26	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	1,25	108	76	0	0	0	0	32	1	D	-	0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	1,24	108	72	0	0	0	0	36	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	26,3	158	138	0	0	0	0	20	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	27,3	158	136	0	0	0	0	22	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	28,4	158	133	0	0	0	0	25	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	28,5	158	127	0	0	0	0	31	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	27,6	158	124	0	0	0	0	34	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	26,6	158	74	3	58	0	0	23	1	D	conveyor:58	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	25,5	158	146	0	0	0	0	12	1	D	-	0
v513_log-drakkarfjord-s2-A	drakkarfjord	A	25,4	158	124	3	0	0	0	31	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	2,23	118	14	0	0	0	0	104	1	.	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	3,23	118	107	0	0	0	0	11	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	4,24	118	117	0	0	0	0	1	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	4,25	118	96	2	0	0	0	20	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	3,26	118	114	0	0	0	0	4	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	2,26	118	95	0	0	0	0	23	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	1,25	118	92	0	0	0	0	26	1	D	-	0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	1,24	118	88	0	0	0	0	30	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	26,3	204	183	0	0	0	0	21	1	D	-	0
