arm	map	seed	seat	ok	winner	turns	cond	treat_won
flagoff	drakkarfjord	524510	B	True	B	113	core_destroyed	True
v522	drakkarfjord	524510	B	True	B	98	core_destroyed	True
flagoff	drakkarfjord	524511	A	True	A	92	core_destroyed	True
v522	drakkarfjord	524511	A	True	A	88	core_destroyed	True
flagoff	drakkarfjord	524511	B	True	B	101	core_destroyed	True
v522	drakkarfjord	524511	B	True	B	116	core_destroyed	True
flagoff	drumlin	524512	A	True	A	124	core_destroyed	True
v522	drumlin	524512	A	True	B	285	core_destroyed	False
v522	drumlin	524512	B	True	B	149	core_destroyed	True
flagoff	drumlin	524513	A	True	B	169	core_destroyed	False
flagoff	drumlin	524512	B	True	B	572	core_destroyed	True
flagoff	drumlin	524513	B	True	B	117	core_destroyed	True
v522	drumlin	524513	B	True	B	149	core_destroyed	True
v522	drumlin	524513	A	True	A	1000	titanium_collected	True
flagoff	drumlin	524514	A	True	A	189	core_destroyed	True
flagoff	drumlin	524514	B	True	B	108	core_destroyed	True
v522	drumlin	524514	A	True	B	285	core_destroyed	False
v522	drumlin	524514	B	True	B	94	core_destroyed	True
flagoff	fjordgate	524515	A	True	B	283	core_destroyed	False
v522	fjordgate	524515	A	True	A	156	core_destroyed	True
flagoff	fjordgate	524515	B	True	A	254	core_destroyed	False
v522	fjordgate	524515	B	True	B	228	core_destroyed	True
flagoff	fjordgate	524516	B	True	B	148	core_destroyed	True
flagoff	fjordgate	524516	A	True	B	286	core_destroyed	False
v522	fjordgate	524516	B	True	A	189	core_destroyed	False
v522	fjordgate	524516	A	True	B	316	core_destroyed	False
flagoff	fjordgate	524517	B	True	A	112	core_destroyed	False
flagoff	fjordgate	524517	A	True	B	260	core_destroyed	False
v522	fjordgate	524517	A	True	A	230	core_destroyed	True
v522	fjordgate	524517	B	True	B	1000	titanium_collected	True
flagoff	frostgate	524518	A	True	A	151	core_destroyed	True
flagoff	frostgate	524518	B	True	B	377	core_destroyed	True
v522	frostgate	524518	A	True	B	223	core_destroyed	False
v522	frostgate	524518	B	True	B	159	core_destroyed	True
flagoff	frostgate	524519	A	True	A	142	core_destroyed	True
flagoff	frostgate	524519	B	True	B	116	core_destroyed	True
v522	frostgate	524519	A	True	A	192	core_destroyed	True
v522	frostgate	524519	B	True	B	159	core_destroyed	True
flagoff	frostgate	524520	A	True	B	353	core_destroyed	False
v522	frostgate	524520	A	True	B	206	core_destroyed	False
flagoff	frostgate	524520	B	True	B	205	core_destroyed	True
v522	frostgate	524520	B	True	B	303	core_destroyed	True
flagoff	glacierkeep	524521	A	True	A	143	core_destroyed	True
v522	glacierkeep	524521	A	True	A	159	core_destroyed	True
flagoff	glacierkeep	524522	A	True	A	173	core_destroyed	True
v522	glacierkeep	524521	B	True	A	579	core_destroyed	False
flagoff	glacierkeep	524521	B	True	A	773	core_destroyed	False
v522	glacierkeep	524522	A	True	A	149	core_destroyed	True
flagoff	glacierkeep	524523	A	True	A	127	core_destroyed	True
v522	glacierkeep	524523	A	True	A	141	core_destroyed	True
v522	glacierkeep	524522	B	True	B	249	core_destroyed	True
flagoff	glacierkeep	524522	B	True	A	893	core_destroyed	False
v522	glacierkeep	524523	B	True	B	337	core_destroyed	True
flagoff	glacierkeep	524523	B	True	B	1000	harvesters	True
flagoff	icefloe	524524	B	True	B	117	core_destroyed	True
v522	icefloe	524524	A	True	A	709	core_destroyed	True
v522	icefloe	524524	B	True	B	117	core_destroyed	True
flagoff	icefloe	524524	A	True	B	575	core_destroyed	False
flagoff	icefloe	524525	B	True	B	116	core_destroyed	True
v522	icefloe	524525	B	True	B	116	core_destroyed	True
flagoff	icefloe	524526	A	True	A	98	core_destroyed	True
flagoff	icefloe	524525	A	True	B	643	core_destroyed	False
v522	icefloe	524525	A	True	A	526	core_destroyed	True
flagoff	icefloe	524526	B	True	B	141	core_destroyed	True
v522	icefloe	524526	B	True	B	141	core_destroyed	True
v522	icefloe	524526	A	True	A	933	core_destroyed	True
flagoff	midgard	524527	A	True	A	577	core_destroyed	True
v522	midgard	524527	A	True	B	605	core_destroyed	False
flagoff	midgard	524527	B	True	A	265	core_destroyed	False
v522	midgard	524527	B	True	B	421	core_destroyed	True
v522	midgard	524528	A	True	A	289	core_destroyed	True
v522	midgard	524528	B	True	B	205	core_destroyed	True
flagoff	midgard	524528	B	True	B	343	core_destroyed	True
flagoff	midgard	524528	A	True	A	1000	titanium_collected	True
flagoff	midgard	524529	A	True	A	215	core_destroyed	True
flagoff	midgard	524529	B	True	B	196	core_destroyed	True
v522	midgard	524529	A	True	A	195	core_destroyed	True
flagoff	nordkap	524530	A	True	A	173	core_destroyed	True
v522	midgard	524529	B	True	A	208	core_destroyed	False
flagoff	nordkap	524530	B	True	A	197	core_destroyed	False
v522	nordkap	524530	A	True	A	905	core_destroyed	True
v522	nordkap	524531	A	True	A	277	core_destroyed	True
flagoff	nordkap	524531	A	True	A	621	core_destroyed	True
v522	nordkap	524530	B	True	B	697	core_destroyed	True
flagoff	nordkap	524531	B	True	B	217	core_destroyed	True
flagoff	nordkap	524532	A	True	A	120	core_destroyed	True
v522	nordkap	524532	A	True	A	104	core_destroyed	True
v522	nordkap	524531	B	True	A	571	core_destroyed	False
flagoff	nordkap	524532	B	True	A	536	core_destroyed	False
flagoff	ragnarok	524533	A	True	A	199	core_destroyed	True
v522	nordkap	524532	B	True	A	410	core_destroyed	False
v522	ragnarok	524533	B	True	B	479	core_destroyed	True
flagoff	ragnarok	524533	B	True	A	305	core_destroyed	False
flagoff	ragnarok	524534	A	True	A	261	core_destroyed	True
v522	ragnarok	524534	B	True	B	245	core_destroyed	True
v522	ragnarok	524533	A	True	A	1000	titanium_collected	True
v522	ragnarok	524534	A	True	A	1000	titanium_collected	True
flagoff	ragnarok	524534	B	True	A	1000	titanium_collected	False
v522	ragnarok	524535	A	True	A	479	core_destroyed	True
flagoff	ragnarok	524535	A	True	A	1000	titanium_collected	True
v522	ragnarok	524535	B	True	A	334	core_destroyed	False
v522	royale	524536	A	True	A	86	core_destroyed	True
flagoff	royale	524536	A	True	B	344	core_destroyed	False
flagoff	ragnarok	524535	B	True	B	767	core_destroyed	True
v522	royale	524536	B	True	B	108	core_destroyed	True
flagoff	royale	524537	A	True	A	121	core_destroyed	True
flagoff	royale	524536	B	True	B	261	core_destroyed	True
v522	royale	524537	A	True	A	129	core_destroyed	True
flagoff	royale	524537	B	True	A	144	core_destroyed	False
flagoff	royale	524538	A	True	A	129	core_destroyed	True
v522	royale	524537	B	True	B	185	core_destroyed	True
flagoff	valkyrie	524539	A	True	A	158	core_destroyed	True
flagoff	royale	524538	B	True	B	291	core_destroyed	True
v522	royale	524538	A	True	A	347	core_destroyed	True
v522	royale	524538	B	True	A	1000	titanium_collected	False
v522	valkyrie	524539	B	True	B	134	core_destroyed	True
flagoff	valkyrie	524539	B	True	B	1000	titanium_collected	True
flagoff	valkyrie	524540	A	True	B	493	core_destroyed	False
v522	valkyrie	524539	A	True	A	548	core_destroyed	True
flagoff	valkyrie	524540	B	True	B	123	core_destroyed	True
v522	valkyrie	524540	A	True	A	412	core_destroyed	True
v522	valkyrie	524540	B	True	B	168	core_destroyed	True
v522	valkyrie	524541	A	True	B	281	core_destroyed	False
flagoff	valkyrie	524541	A	True	B	421	core_destroyed	False
flagoff	yulerune	524542	A	True	A	221	core_destroyed	True
flagoff	valkyrie	524541	B	True	A	417	core_destroyed	False
v522	yulerune	524542	A	True	B	193	core_destroyed	False
v522	valkyrie	524541	B	True	B	427	core_destroyed	True
v522	yulerune	524542	B	True	B	808	core_destroyed	True
flagoff	yulerune	524543	A	True	A	292	core_destroyed	True
v522	yulerune	524543	A	True	A	183	core_destroyed	True
flagoff	yulerune	524542	B	True	B	828	core_destroyed	True
v522	yulerune	524543	B	True	B	290	core_destroyed	True
flagoff	yulerune	524543	B	True	B	355	core_destroyed	True
v522	yulerune	524544	A	True	B	457	core_destroyed	False
flagoff	yulerune	524544	A	True	A	404	core_destroyed	True
flagoff	yulerune	524544	B	True	A	248	core_destroyed	False
v522	yulerune	524544	B	True	B	243	core_destroyed	True
