r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
226	500	500	157	24	860	76	24	170	4	2	0	5	2	2	0	0
227	500	500	177	24	870	86	24	170	4	2	0	5	2	2	0	0
228	500	500	105	24	870	86	24	170	4	2	0	5	2	2	0	0
229	500	500	115	24	880	86	24	170	4	2	0	5	2	2	0	0
230	500	500	115	24	880	86	24	170	4	2	0	5	2	2	0	0
231	500	500	134	20	890	96	24	170	4	2	0	5	2	2	0	0
232	500	500	129	24	890	56	24	170	4	2	0	5	2	2	0	0
233	500	500	139	24	900	56	24	170	4	2	0	5	2	2	0	0
234	500	500	128	20	900	56	24	170	4	2	0	5	2	2	0	0
235	500	500	144	24	910	66	24	170	4	2	0	5	2	2	0	0
236	500	500	133	20	910	66	24	170	4	2	0	5	2	2	0	0
237	500	500	139	24	920	66	24	170	4	2	0	5	2	2	0	0
238	500	500	128	20	920	60	24	170	4	2	0	5	2	2	0	0
239	500	500	143	0	930	70	24	170	4	2	0	5	2	2	0	0
240	500	500	126	16	930	65	24	170	4	2	0	5	2	2	0	0
241	500	500	127	20	940	64	24	170	4	2	0	5	2	2	0	0
242	500	500	122	20	940	63	24	170	4	2	0	5	2	2	0	0
243	500	500	138	20	950	72	24	170	4	2	0	5	2	2	0	0
244	500	500	144	20	960	71	24	170	4	2	0	5	2	2	0	0
245	500	500	140	20	960	70	24	170	4	2	0	5	2	2	0	0
246	500	500	136	20	960	69	24	170	4	2	0	5	2	2	0	0
247	500	500	162	20	980	78	24	170	4	2	0	5	2	2	0	0
248	500	500	158	20	980	73	24	170	4	2	0	5	2	2	0	0
249	500	500	164	20	990	72	24	170	4	2	0	5	2	2	0	0
250	500	500	170	20	1000	71	24	170	4	2	0	5	2	2	0	0
251	500	500	186	20	1010	80	24	170	4	2	0	5	2	2	0	0
252	500	500	108	20	1010	79	24	170	4	2	0	5	2	2	0	0
253	500	500	104	20	1010	78	24	170	4	2	0	5	2	2	0	0
254	500	500	110	20	1020	77	24	170	4	2	0	5	2	2	0	0
255	500	500	136	20	1040	86	24	170	4	2	0	5	2	2	0	0
256	500	500	132	20	1040	85	24	170	4	2	0	5	2	2	0	0
257	500	500	138	20	1050	84	24	170	4	2	0	5	2	2	0	0
258	500	500	123	20	1050	83	24	170	4	2	0	5	2	2	0	0
259	500	500	139	20	1060	92	24	170	4	2	0	5	2	2	0	0
260	500	500	124	20	1060	91	24	170	4	2	0	5	2	2	0	0
261	500	500	120	20	1060	90	24	170	4	2	0	5	2	2	0	0
262	500	500	115	20	1070	89	24	170	4	2	0	5	2	2	0	0
263	500	500	141	20	1090	94	24	170	4	2	0	5	2	2	0	0
264	500	500	126	20	1090	94	24	170	4	2	0	5	2	2	0	0
265	500	500	132	20	1100	89	24	170	4	2	0	5	2	2	0	0
266	500	500	127	20	1110	89	24	170	4	2	0	5	2	2	0	0
267	500	500	132	20	1120	94	24	170	4	2	0	5	2	2	0	0
268	500	500	128	24	1120	94	24	170	4	2	0	5	2	2	0	0
269	500	500	128	24	1120	89	24	170	4	2	0	5	2	2	0	0
270	500	500	138	24	1130	89	24	170	4	2	0	5	2	2	0	0
271	500	500	168	24	1150	94	24	170	4	2	0	5	2	2	0	0
272	500	500	168	24	1150	89	24	170	4	2	0	5	2	2	0	0
273	500	500	178	24	1160	89	24	170	4	2	0	5	2	2	0	0
274	500	500	112	24	1170	84	24	170	4	2	0	5	2	2	0	0
275	500	500	132	24	1180	94	24	170	4	2	0	5	2	2	0	0
276	500	500	132	24	1180	89	24	170	4	2	0	5	2	2	0	0
277	500	500	132	24	1180	89	24	170	4	2	0	5	2	2	0	0
278	500	500	142	24	1190	84	24	170	4	2	0	5	2	2	0	0
279	500	500	172	24	1210	94	24	170	4	2	0	5	2	2	0	0
280	500	500	161	24	1210	94	24	170	4	2	0	5	2	2	0	0
281	500	500	171	24	1220	94	24	170	4	2	0	5	2	2	0	0
282	500	500	104	24	1230	94	24	170	4	2	0	5	2	2	0	0
283	500	500	124	24	1240	104	24	170	4	2	0	5	2	2	0	0
284	500	500	124	24	1240	104	24	170	4	2	0	5	2	2	0	0
285	500	500	124	24	1240	104	24	170	4	2	0	5	2	2	0	0
286	500	500	134	24	1250	104	24	170	4	2	0	5	2	2	0	0
287	500	500	164	24	1270	114	24	170	4	2	0	5	2	2	0	0
288	500	500	164	24	1270	114	24	170	4	2	0	5	2	2	0	0
289	500	500	174	24	1280	114	24	170	4	2	0	5	2	2	0	0
290	500	500	184	24	1290	114	24	170	4	2	0	5	2	2	0	0
291	500	500	204	24	1300	124	24	170	4	2	0	5	2	2	0	0
292	500	500	204	24	1300	65	24	170	4	2	0	5	2	2	0	0
293	500	500	204	24	1300	65	24	170	4	2	0	5	2	2	0	0
294	500	500	214	24	1310	65	24	170	4	2	0	5	2	2	0	0
295	500	500	244	24	1330	75	24	170	4	2	0	5	2	2	0	0
296	500	500	244	24	1330	75	24	170	4	2	0	5	2	2	0	0
297	500	500	254	24	1340	75	24	170	4	2	0	5	2	2	0	0
298	500	500	264	24	1350	75	24	170	4	2	0	5	2	2	0	0
299	500	500	284	24	1360	85	24	170	4	2	0	5	2	2	0	0
300	500	500	167	24	1360	42	24	170	4	2	0	6	2	2	0	0
301	500	500	85	24	1360	30	24	170	4	2	1	6	2	2	0	0
