tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
parent_yulerune_s1_A	yulerune	1	A	parent	US	base_arm	Core destroyed	90	0	490	0
flagoff_yulerune_s1_A	yulerune	1	A	flagoff	US	flagoff_arm	Core destroyed	97	0	230	0
v529_yulerune_s1_B	yulerune	1	B	v529	US	_v529merge	Core destroyed	119	0	320	0
v527_yulerune_s1_B	yulerune	1	B	v527	US	_v527collar	Core destroyed	164	0	380	0
v528_yulerune_s1_B	yulerune	1	B	v528	US	_v528eco	Core destroyed	127	0	470	0
parent_yulerune_s1_B	yulerune	1	B	parent	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	210	2160
flagoff_yulerune_s1_B	yulerune	1	B	flagoff	US	flagoff_arm	Core destroyed	83	0	290	0
v529_yulerune_s2_A	yulerune	2	A	v529	US	_v529merge	Core destroyed	90	0	440	0
v527_yulerune_s2_A	yulerune	2	A	v527	US	_v527collar	Core destroyed	333	0	210	110
v528_yulerune_s2_A	yulerune	2	A	v528	US	_v528eco	Core destroyed	93	0	190	0
parent_yulerune_s2_A	yulerune	2	A	parent	US	base_arm	Core destroyed	112	0	190	0
flagoff_yulerune_s2_A	yulerune	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	636	0	230	770
v529_yulerune_s2_B	yulerune	2	B	v529	US	_v529merge	Core destroyed	88	0	250	0
v527_yulerune_s2_B	yulerune	2	B	v527	US	_v527collar	Core destroyed	101	0	160	0
v528_yulerune_s2_B	yulerune	2	B	v528	OPP	_v488beltbreak2	Core destroyed	956	0	300	1220
parent_yulerune_s2_B	yulerune	2	B	parent	US	base_arm	Titanium collected (tiebreak)	1000	0	240	0
flagoff_yulerune_s2_B	yulerune	2	B	flagoff	US	flagoff_arm	Core destroyed	920	0	4460	0
v529_antler_s1_A	antler	1	A	v529	US	_v529merge	Core destroyed	170	0	1220	1070
v527_antler_s1_A	antler	1	A	v527	US	_v527collar	Core destroyed	153	0	670	540
v528_antler_s1_A	antler	1	A	v528	US	_v528eco	Core destroyed	176	0	890	560
parent_antler_s1_A	antler	1	A	parent	US	base_arm	Core destroyed	124	0	570	410
flagoff_antler_s1_A	antler	1	A	flagoff	US	flagoff_arm	Core destroyed	195	0	1280	320
v529_antler_s1_B	antler	1	B	v529	OPP	_v488beltbreak2	Core destroyed	305	0	1600	3230
v527_antler_s1_B	antler	1	B	v527	US	_v527collar	Core destroyed	181	0	880	50
v528_antler_s1_B	antler	1	B	v528	OPP	_v488beltbreak2	Core destroyed	432	0	3480	3050
parent_antler_s1_B	antler	1	B	parent	US	base_arm	Core destroyed	225	0	1280	550
