tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
twinA_archipelago_s10_B	archipelago	10	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	188	0	200	1240
twinB_archipelago_s10_B	archipelago	10	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	161	0	680	1770
twinA_yulerune_s6_A	yulerune	6	A	twinA	US	twinA	Core destroyed	402	0	1340	10
twinB_yulerune_s6_A	yulerune	6	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	219	0	340	1550
twinA_yulerune_s6_B	yulerune	6	B	twinA	US	twinA	Core destroyed	510	0	5740	1310
twinB_yulerune_s6_B	yulerune	6	B	twinB	US	twinB	Core destroyed	651	0	4630	4530
twinA_yulerune_s7_A	yulerune	7	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	362	0	630	1180
twinB_yulerune_s7_A	yulerune	7	A	twinB	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	320	7280
twinA_yulerune_s7_B	yulerune	7	B	twinA	US	twinA	Core destroyed	631	0	4760	10
twinB_yulerune_s7_B	yulerune	7	B	twinB	US	twinB	Core destroyed	315	0	3180	0
twinA_yulerune_s8_A	yulerune	8	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	377	0	340	470
twinB_yulerune_s8_A	yulerune	8	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	327	0	290	770
twinA_yulerune_s8_B	yulerune	8	B	twinA	US	twinA	Core destroyed	92	0	270	0
twinB_yulerune_s8_B	yulerune	8	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	717	0	2690	820
twinA_yulerune_s9_A	yulerune	9	A	twinA	US	twinA	Core destroyed	396	0	230	360
twinB_yulerune_s9_A	yulerune	9	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	421	0	290	750
twinA_yulerune_s9_B	yulerune	9	B	twinA	US	twinA	Titanium collected (tiebreak)	1000	0	730	420
twinB_yulerune_s9_B	yulerune	9	B	twinB	US	twinB	Core destroyed	111	0	320	0
twinA_yulerune_s10_A	yulerune	10	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	239	0	330	1810
twinB_yulerune_s10_A	yulerune	10	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	413	0	290	2470
twinA_yulerune_s10_B	yulerune	10	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	592	0	480	430
twinB_yulerune_s10_B	yulerune	10	B	twinB	US	twinB	Core destroyed	272	0	1000	0
twinA_glacierkeep_s6_A	glacierkeep	6	A	twinA	US	twinA	Core destroyed	569	0	0	690
twinB_glacierkeep_s6_A	glacierkeep	6	A	twinB	US	twinB	Harvesters (tiebreak)	1000	0	0	0
twinA_glacierkeep_s6_B	glacierkeep	6	B	twinA	US	twinA	Titanium collected (tiebreak)	1000	0	3020	2550
twinB_glacierkeep_s6_B	glacierkeep	6	B	twinB	US	twinB	Core destroyed	277	0	0	0
twinA_glacierkeep_s7_A	glacierkeep	7	A	twinA	US	twinA	Core destroyed	548	0	0	0
twinB_glacierkeep_s7_A	glacierkeep	7	A	twinB	US	twinB	Core destroyed	315	0	210	0
twinA_glacierkeep_s7_B	glacierkeep	7	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	412	0	0	1130
twinB_glacierkeep_s7_B	glacierkeep	7	B	twinB	US	twinB	Core destroyed	373	0	0	0
twinA_glacierkeep_s8_A	glacierkeep	8	A	twinA	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	0	5450
twinB_glacierkeep_s8_A	glacierkeep	8	A	twinB	US	twinB	Core destroyed	399	0	220	0
twinA_glacierkeep_s8_B	glacierkeep	8	B	twinA	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	2040	7580
