arm	tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v542	skald_s21_B	skald	21	B	OPP	opp_mjol	Core destroyed	374	0	1800	1330
v542	skald_s22_A	skald	22	A	US	v542	Core destroyed	346	0	940	860
v542	skald_s22_B	skald	22	B	OPP	opp_mjol	Core destroyed	378	0	1820	1340
v542	stavkirke_s21_A	stavkirke	21	A	US	v542	Core destroyed	231	0	390	130
v542	stavkirke_s21_B	stavkirke	21	B	US	v542	Core destroyed	405	0	970	0
v542	stavkirke_s22_A	stavkirke	22	A	US	v542	Core destroyed	231	0	390	130
v542	stavkirke_s22_B	stavkirke	22	B	US	v542	Core destroyed	405	0	970	0
v542	valkyrie_s21_A	valkyrie	21	A	US	v542	Core destroyed	311	0	2420	650
v542	valkyrie_s21_B	valkyrie	21	B	US	v542	Core destroyed	246	0	1620	930
v542	valkyrie_s22_A	valkyrie	22	A	US	v542	Core destroyed	311	0	2420	650
v542	valkyrie_s22_B	valkyrie	22	B	US	v542	Core destroyed	246	0	1620	930
v542	yggdrasil_s21_A	yggdrasil	21	A	OPP	opp_mjol	Core destroyed	201	0	470	1010
v542	yggdrasil_s21_B	yggdrasil	21	B	US	v542	Titanium collected (tiebreak)	1000	0	2460	2030
v542	yggdrasil_s22_A	yggdrasil	22	A	OPP	opp_mjol	Core destroyed	201	0	470	1010
v542	yggdrasil_s22_B	yggdrasil	22	B	US	v542	Titanium collected (tiebreak)	1000	0	2460	2030
v542	auroraveil_s23_A	auroraveil	23	A	US	v542	Core destroyed	175	0	580	0
v542	auroraveil_s23_B	auroraveil	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
v542	auroraveil_s24_A	auroraveil	24	A	US	v542	Core destroyed	175	0	580	0
v542	auroraveil_s24_B	auroraveil	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	10430	11410
v542	bifrost_s23_A	bifrost	23	A	OPP	opp_mjol	Core destroyed	372	0	930	990
v542	bifrost_s23_B	bifrost	23	B	US	v542	Titanium collected (tiebreak)	1000	0	3860	940
v542	bifrost_s24_A	bifrost	24	A	OPP	opp_mjol	Core destroyed	372	0	930	990
v542	bifrost_s24_B	bifrost	24	B	US	v542	Titanium collected (tiebreak)	1000	0	3860	940
v542	fimbulwinter_s23_A	fimbulwinter	23	A	OPP	opp_mjol	Core destroyed	277	0	670	150
v542	fimbulwinter_s23_B	fimbulwinter	23	B	US	v542	Core destroyed	287	0	1270	0
v542	fimbulwinter_s24_A	fimbulwinter	24	A	OPP	opp_mjol	Core destroyed	277	0	670	150
v542	fimbulwinter_s24_B	fimbulwinter	24	B	US	v542	Core destroyed	287	0	1270	0
v542	glacierkeep_s23_A	glacierkeep	23	A	US	v542	Core destroyed	569	0	0	690
v542	glacierkeep_s23_B	glacierkeep	23	B	US	v542	Core destroyed	420	0	570	350
v542	glacierkeep_s24_A	glacierkeep	24	A	US	v542	Core destroyed	569	0	0	690
v542	glacierkeep_s24_B	glacierkeep	24	B	US	v542	Core destroyed	420	0	570	350
v542	helheim_s23_A	helheim	23	A	US	v542	Core destroyed	289	0	810	70
v542	helheim_s23_B	helheim	23	B	OPP	opp_mjol	Core destroyed	297	0	220	960
v542	helheim_s24_A	helheim	24	A	US	v542	Core destroyed	289	0	810	70
v542	helheim_s24_B	helheim	24	B	OPP	opp_mjol	Core destroyed	297	0	220	960
v542	holmgang_s23_A	holmgang	23	A	US	v542	Core destroyed	102	0	560	0
v542	holmgang_s23_B	holmgang	23	B	US	v542	Core destroyed	302	0	1460	330
v542	holmgang_s24_A	holmgang	24	A	US	v542	Core destroyed	102	0	560	0
v542	holmgang_s24_B	holmgang	24	B	US	v542	Core destroyed	302	0	1460	330
v542	icefloe_s23_A	icefloe	23	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
v542	icefloe_s23_B	icefloe	23	B	US	v542	Core destroyed	449	0	1420	0
v542	icefloe_s24_A	icefloe	24	A	OPP	opp_mjol	Core destroyed	294	0	0	2080
v542	icefloe_s24_B	icefloe	24	B	US	v542	Core destroyed	449	0	1420	0
v542	jotunheim_s23_A	jotunheim	23	A	OPP	opp_mjol	Core destroyed	814	0	620	570
v542	jotunheim_s23_B	jotunheim	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
v542	jotunheim_s24_A	jotunheim	24	A	OPP	opp_mjol	Core destroyed	814	0	620	570
v542	jotunheim_s24_B	jotunheim	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	0	3610
v542	longhouse_s23_A	longhouse	23	A	US	v542	Core destroyed	217	0	1010	280
v542	longhouse_s23_B	longhouse	23	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
v542	longhouse_s24_A	longhouse	24	A	US	v542	Core destroyed	217	0	1010	280
v542	longhouse_s24_B	longhouse	24	B	OPP	opp_mjol	Titanium collected (tiebreak)	1000	0	2460	9390
v542	midgard_s23_A	midgard	23	A	US	v542	Core destroyed	298	0	2080	1600
v542	midgard_s23_B	midgard	23	B	US	v542	Core destroyed	629	0	9260	6630
v542	midgard_s24_A	midgard	24	A	US	v542	Core destroyed	298	0	2080	1600
v542	midgard_s24_B	midgard	24	B	OPP	opp_mjol	Core destroyed	592	0	6960	7280
v542	paths_s23_A	paths	23	A	OPP	opp_mjol	Core destroyed	163	0	760	740
v542	paths_s23_B	paths	23	B	OPP	opp_mjol	Core destroyed	266	0	160	1180
v542	paths_s24_A	paths	24	A	OPP	opp_mjol	Core destroyed	163	0	760	740
v542	paths_s24_B	paths	24	B	OPP	opp_mjol	Core destroyed	266	0	160	1180
v542	skald_s23_A	skald	23	A	US	v542	Core destroyed	346	0	940	860
v542	skald_s23_B	skald	23	B	OPP	opp_mjol	Core destroyed	378	0	1820	1340
v542	skald_s24_A	skald	24	A	US	v542	Core destroyed	346	0	940	860
v542	skald_s24_B	skald	24	B	OPP	opp_mjol	Core destroyed	378	0	1820	1340
v542	stavkirke_s23_A	stavkirke	23	A	US	v542	Core destroyed	231	0	390	130
v542	stavkirke_s23_B	stavkirke	23	B	US	v542	Core destroyed	405	0	970	0
v542	stavkirke_s24_A	stavkirke	24	A	US	v542	Core destroyed	231	0	390	130
v542	stavkirke_s24_B	stavkirke	24	B	US	v542	Core destroyed	405	0	970	0
v542	valkyrie_s23_A	valkyrie	23	A	US	v542	Core destroyed	311	0	2420	650
