tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
drakkarfjord_s3_B	144	r300	283	84	80	19	0	9	15	0	20	40
drakkarfjord_s3_B	144	end	283	84	80	19	0	9	15	0	20	40
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	76	first_fwd_sentinel	284	85	120	10	0	9	5	0	20	20
glacierkeep_s1_A	300	r300	241	72	80	9	0	7	5	0	20	20
glacierkeep_s1_A	729	end	267	80	80	25	0	7	15	0	40	0
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	64	first_fwd_sentinel	260	78	120	10	0	10	0	0	0	20
glacierkeep_s1_B	300	r300	195	58	60	8	0	7	0	0	0	20
glacierkeep_s1_B	999	end	205	61	60	8	0	7	10	0	0	20
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	87	first_fwd_sentinel	286	85	120	10	0	11	5	0	20	20
glacierkeep_s2_A	280	r300	277	83	100	18	0	9	10	0	20	20
glacierkeep_s2_A	280	end	277	83	100	18	0	9	10	0	20	20
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_B	109	first_fwd_sentinel	270	81	120	9	0	11	0	10	0	20
glacierkeep_s2_B	216	r300	269	80	120	8	0	11	0	10	0	20
glacierkeep_s2_B	216	end	269	80	120	8	0	11	0	10	0	20
glacierkeep_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_A	107	first_fwd_sentinel	312	93	100	42	0	10	20	0	20	20
glacierkeep_s3_A	162	r300	291	87	80	41	0	10	20	0	20	20
glacierkeep_s3_A	162	end	291	87	80	41	0	10	20	0	20	20
glacierkeep_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_B	67	first_fwd_sentinel	264	79	120	10	0	9	5	0	0	20
glacierkeep_s3_B	144	r300	261	78	120	7	0	9	5	0	0	20
glacierkeep_s3_B	144	end	261	78	120	7	0	9	5	0	0	20
glacierkeep_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_A	265	r300	291	87	60	35	0	1	25	10	40	20
midgard_s1_A	265	end	291	87	60	35	0	1	25	10	40	20
midgard_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s1_B	117	r300	248	74	80	14	0	4	20	10	0	20
midgard_s1_B	117	end	248	74	80	14	0	4	20	10	0	20
midgard_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_A	323	first_fwd_sentinel	296	88	80	10	0	6	20	20	20	40
midgard_s2_A	300	r300	276	82	80	10	0	6	20	20	20	20
midgard_s2_A	378	end	295	88	80	10	0	5	20	20	20	40
midgard_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s2_B	123	r300	252	75	80	22	0	0	20	10	0	20
midgard_s2_B	123	end	252	75	80	22	0	0	20	10	0	20
midgard_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_A	531	first_fwd_sentinel	656	196	200	50	0	6	30	10	120	140
midgard_s3_A	300	r300	437	131	80	26	0	6	25	20	60	120
midgard_s3_A	615	end	601	180	120	50	0	6	35	10	120	160
midgard_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_B	42	first_fwd_sentinel	223	66	60	13	0	0	20	10	0	20
midgard_s3_B	163	r300	234	70	60	10	0	4	20	0	20	20
midgard_s3_B	163	end	234	70	60	10	0	4	20	0	20	20
midgard_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_A	300	r300	217	65	60	4	0	8	5	20	20	0
nordkap_s1_A	339	end	228	68	60	10	0	8	10	20	20	0
nordkap_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_B	92	first_fwd_sentinel	327	98	120	6	0	11	10	0	40	40
nordkap_s1_B	151	r300	326	97	120	6	0	10	10	0	40	40
nordkap_s1_B	151	end	326	97	120	6	0	10	10	0	40	40
nordkap_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s2_A	207	first_fwd_sentinel	305	91	120	6	0	9	10	0	20	40
nordkap_s2_A	262	r300	305	91	120	6	0	9	10	0	20	40
nordkap_s2_A	262	end	305	91	120	6	0	9	10	0	20	40
nordkap_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s2_B	100	first_fwd_sentinel	296	88	100	6	0	10	10	10	40	20
nordkap_s2_B	251	r300	346	103	100	10	0	11	15	10	80	20
nordkap_s2_B	251	end	346	103	100	10	0	11	15	10	80	20
nordkap_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s3_A	100	first_fwd_sentinel	270	81	100	5	0	10	5	10	0	40
nordkap_s3_A	155	r300	270	81	100	5	0	10	5	10	0	40
nordkap_s3_A	155	end	270	81	100	5	0	10	5	10	0	40
nordkap_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s3_B	336	first_fwd_sentinel	345	103	100	5	0	10	10	20	40	60
nordkap_s3_B	300	r300	325	97	100	5	0	10	10	20	40	40
nordkap_s3_B	408	end	345	103	100	5	0	10	10	20	40	60
nordkap_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
