arm	map	seed	seat	ok	winner	turns	cond	treat_won
v524	frostgate	524266	A	True	B	265	core_destroyed	False
v522	frostgate	524266	A	True	A	220	core_destroyed	True
v524	frostgate	524267	B	True	A	165	core_destroyed	False
v522	frostgate	524267	B	True	A	330	core_destroyed	False
v524	frostgate	524268	A	True	A	131	core_destroyed	True
v522	frostgate	524268	A	True	B	195	core_destroyed	False
v524	frostgate	524270	A	True	A	169	core_destroyed	True
v524	frostgate	524269	B	True	A	240	core_destroyed	False
v522	frostgate	524269	B	True	A	308	core_destroyed	False
v522	frostgate	524270	A	True	B	236	core_destroyed	False
v524	frostgate	524271	B	True	B	193	core_destroyed	True
v524	frostgate	524272	A	True	A	229	core_destroyed	True
v522	frostgate	524272	A	True	B	176	core_destroyed	False
v524	frostgate	524273	B	True	B	229	core_destroyed	True
v522	frostgate	524273	B	True	A	249	core_destroyed	False
v524	frostgate	524274	A	True	A	150	core_destroyed	True
v522	frostgate	524274	A	True	B	160	core_destroyed	False
v524	frostgate	524275	B	True	B	127	core_destroyed	True
v522	frostgate	524275	B	True	B	208	core_destroyed	True
v522	frostgate	524271	B	True	B	734	core_destroyed	True
v524	frostgate	524276	A	True	B	159	core_destroyed	False
v522	frostgate	524276	A	True	A	86	core_destroyed	True
v524	frostgate	524277	B	True	B	181	core_destroyed	True
v522	frostgate	524277	B	True	B	221	core_destroyed	True
v522	frostgate	524278	A	True	B	151	core_destroyed	False
v524	frostgate	524278	A	True	B	196	core_destroyed	False
v524	frostgate	524279	B	True	B	189	core_destroyed	True
v522	frostgate	524279	B	True	A	237	core_destroyed	False
v522	frostgate	524280	A	True	B	165	core_destroyed	False
v524	frostgate	524280	A	True	B	201	core_destroyed	False
v524	frostgate	524281	B	True	A	289	core_destroyed	False
v522	frostgate	524281	B	True	B	336	core_destroyed	True
v524	frostgate	524282	A	True	B	189	core_destroyed	False
v522	frostgate	524282	A	True	B	525	core_destroyed	False
v524	frostgate	524283	B	True	A	303	core_destroyed	False
v522	frostgate	524283	B	True	A	220	core_destroyed	False
v522	frostgate	524284	A	True	A	189	core_destroyed	True
v524	frostgate	524284	A	True	B	448	core_destroyed	False
v524	frostgate	524285	B	True	B	157	core_destroyed	True
v522	frostgate	524285	B	True	B	154	core_destroyed	True
v524	frostgate	524286	A	True	A	293	core_destroyed	True
v522	frostgate	524286	A	True	A	384	core_destroyed	True
v524	frostgate	524287	B	True	A	165	core_destroyed	False
v522	frostgate	524287	B	True	A	225	core_destroyed	False
v524	frostgate	524288	A	True	A	165	core_destroyed	True
