arm	map	seed	seat	ok	winner	turns	cond	treat_won	traceback
v524parent	ragnarok	525566	A	True	A	116	core_destroyed	True	False
flagoff	ragnarok	525566	A	True	A	480	core_destroyed	True	False
v524parent	ragnarok	525567	B	True	A	475	core_destroyed	False	False
flagoff	ragnarok	525568	A	True	A	378	core_destroyed	True	False
flagoff	ragnarok	525567	B	True	A	1000	titanium_collected	False	False
v524parent	ragnarok	525568	A	True	A	324	core_destroyed	True	False
v524parent	ragnarok	525569	B	True	A	214	core_destroyed	False	False
flagoff	ragnarok	525569	B	True	B	366	core_destroyed	True	False
flagoff	ragnarok	525570	A	True	A	161	core_destroyed	True	False
v524parent	ragnarok	525570	A	True	A	246	core_destroyed	True	False
v524parent	ragnarok	525571	B	True	B	124	core_destroyed	True	False
flagoff	royale	525572	A	True	A	451	core_destroyed	True	False
flagoff	ragnarok	525571	B	True	A	1000	titanium_collected	False	False
v524parent	royale	525572	A	True	A	117	core_destroyed	True	False
v524parent	royale	525573	B	True	B	157	core_destroyed	True	False
flagoff	royale	525573	B	True	A	204	core_destroyed	False	False
flagoff	royale	525574	A	True	A	115	core_destroyed	True	False
v524parent	royale	525574	A	True	B	473	core_destroyed	False	False
flagoff	royale	525575	B	True	A	474	core_destroyed	False	False
flagoff	royale	525576	A	True	A	160	core_destroyed	True	False
v524parent	royale	525575	B	True	B	1000	titanium_collected	True	False
v524parent	royale	525576	A	True	A	161	core_destroyed	True	False
flagoff	royale	525577	B	True	B	262	core_destroyed	True	False
flagoff	valkyrie	525578	A	True	B	184	core_destroyed	False	False
v524parent	royale	525577	B	True	A	291	core_destroyed	False	False
flagoff	valkyrie	525579	B	True	A	256	core_destroyed	False	False
v524parent	valkyrie	525578	A	True	B	493	core_destroyed	False	False
flagoff	valkyrie	525580	A	True	A	144	core_destroyed	True	False
v524parent	valkyrie	525580	A	True	B	132	core_destroyed	False	False
v524parent	valkyrie	525579	B	True	A	525	core_destroyed	False	False
flagoff	valkyrie	525581	B	True	B	377	core_destroyed	True	False
v524parent	valkyrie	525581	B	True	A	407	core_destroyed	False	False
flagoff	valkyrie	525582	A	True	B	233	core_destroyed	False	False
v524parent	valkyrie	525582	A	True	B	334	core_destroyed	False	False
flagoff	valkyrie	525583	B	True	B	349	core_destroyed	True	False
v524parent	valkyrie	525583	B	True	A	324	core_destroyed	False	False
flagoff	yulerune	525584	A	True	B	160	core_destroyed	False	False
v524parent	yulerune	525584	A	True	B	319	core_destroyed	False	False
flagoff	yulerune	525585	B	True	A	523	core_destroyed	False	False
v524parent	yulerune	525585	B	True	B	248	core_destroyed	True	False
v524parent	yulerune	525586	A	True	B	348	core_destroyed	False	False
flagoff	yulerune	525586	A	True	B	1000	titanium_collected	False	False
flagoff	yulerune	525587	B	True	B	180	core_destroyed	True	False
v524parent	yulerune	525587	B	True	A	241	core_destroyed	False	False
flagoff	yulerune	525588	A	True	A	221	core_destroyed	True	False
v524parent	yulerune	525588	A	True	B	249	core_destroyed	False	False
flagoff	yulerune	525589	B	True	B	268	core_destroyed	True	False
v524parent	yulerune	525589	B	True	B	513	core_destroyed	True	False
